,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,95.0,36.0,,98.0,,94,45,65,39,18,23,29
Albany-Schenectady-Troy NY,36.0,26.0,51.0,43.0,55.0,49,31,34,42,33,21,44
Albuquerque-Santa Fe NM,30.0,49.0,59.0,52.0,68.0,72,73,77,73,61,44,64
Amarillo TX,35.0,21.0,33.0,,98.0,26,31,43,81,34,41,33
Atlanta GA,48.0,41.0,53.0,83.0,77.0,66,47,57,64,50,44,49
Augusta GA,49.0,62.0,83.0,85.0,73.0,58,32,51,46,45,34,35
Austin TX,45.0,42.0,48.0,67.0,59.0,37,38,43,46,48,38,50
Bakersfield CA,100.0,100.0,53.0,64.0,100.0,100,100,100,86,100,100,91
Baltimore MD,51.0,35.0,35.0,61.0,55.0,66,43,49,52,48,35,51
Baton Rouge LA,31.0,11.0,43.0,59.0,51.0,46,29,48,46,41,41,51
Birmingham AL,49.0,31.0,58.0,36.0,46.0,55,38,44,55,51,36,49
Boise ID,68.0,18.0,16.0,39.0,38.0,30,35,37,44,20,26,27
Boston MA-Manchester NH,45.0,32.0,45.0,47.0,44.0,39,28,31,33,37,29,30
Buffalo NY,50.0,52.0,47.0,33.0,44.0,39,27,44,42,46,37,53
Burlington VT-Plattsburgh NY,52.0,18.0,17.0,49.0,37.0,33,28,33,39,28,20,26
Champaign & Springfield-Decatur IL,16.0,23.0,55.0,12.0,29.0,33,36,27,35,41,33,35
Charleston SC,35.0,23.0,33.0,22.0,63.0,63,35,58,58,54,33,35
Charleston-Huntington WV,20.0,43.0,40.0,12.0,53.0,42,39,46,50,31,30,51
Charlotte NC,47.0,33.0,48.0,57.0,60.0,55,50,51,59,49,41,47
Chattanooga TN,48.0,33.0,41.0,81.0,61.0,44,52,45,46,44,41,51
Chicago IL,55.0,41.0,52.0,61.0,57.0,54,46,46,56,54,45,61
Cincinnati OH,42.0,30.0,45.0,58.0,52.0,57,38,40,49,45,39,54
Cleveland-Akron (Canton) OH,43.0,34.0,40.0,61.0,50.0,56,39,43,47,40,38,60
Colorado Springs-Pueblo CO,67.0,53.0,68.0,67.0,48.0,61,52,84,86,67,50,70
Columbia SC,56.0,43.0,63.0,64.0,57.0,48,48,55,50,60,48,56
Columbus OH,44.0,39.0,51.0,57.0,56.0,47,39,45,56,44,48,83
Dallas-Ft. Worth TX,63.0,42.0,55.0,65.0,59.0,57,42,45,57,46,40,51
Dayton OH,38.0,30.0,35.0,32.0,38.0,51,44,50,63,45,32,52
Denver CO,44.0,39.0,54.0,77.0,61.0,61,47,59,67,68,63,100
Des Moines-Ames IA,42.0,26.0,33.0,69.0,32.0,53,33,33,39,39,31,34
Detroit MI,69.0,51.0,67.0,82.0,74.0,60,44,39,55,45,40,55
El Paso TX,56.0,27.0,42.0,61.0,26.0,38,40,42,44,48,37,48
Eugene OR,43.0,13.0,71.0,26.0,42.0,49,63,43,66,56,50,55
Flint-Saginaw-Bay City MI,23.0,36.0,33.0,47.0,24.0,31,29,40,33,28,27,33
Fresno-Visalia CA,67.0,58.0,100.0,96.0,79.0,89,60,85,70,72,57,68
Ft. Myers-Naples FL,38.0,24.0,44.0,43.0,25.0,61,38,49,49,35,29,25
Grand Rapids-Kalamazoo-Battle Creek MI,21.0,24.0,32.0,45.0,29.0,38,28,38,39,42,35,55
Green Bay-Appleton WI,31.0,23.0,25.0,,49.0,43,22,28,28,25,21,47
Greensboro-High Point-Winston Salem NC,27.0,21.0,34.0,38.0,65.0,52,32,50,71,37,37,44
Greenville-Spartanburg SC-Asheville NC-Anderson SC,42.0,49.0,47.0,72.0,30.0,61,37,46,51,49,33,47
Harlingen-Weslaco-Brownsville-McAllen TX,30.0,35.0,43.0,16.0,23.0,36,22,20,21,27,23,27
Harrisburg-Lancaster-Lebanon-York PA,46.0,36.0,35.0,48.0,38.0,23,20,37,39,28,26,41
Hartford & New Haven CT,35.0,37.0,38.0,60.0,65.0,61,52,65,69,68,49,55
Honolulu HI,70.0,38.0,46.0,71.0,81.0,59,41,56,52,52,40,52
Houston TX,58.0,50.0,58.0,76.0,74.0,63,47,55,60,58,38,58
Huntsville-Decatur (Florence) AL,24.0,32.0,48.0,68.0,82.0,41,34,38,33,38,29,38
Indianapolis IN,50.0,32.0,58.0,57.0,44.0,48,36,50,45,55,41,43
Jacksonville FL,43.0,42.0,42.0,44.0,67.0,54,39,51,58,45,33,38
Kansas City MO,66.0,56.0,61.0,73.0,67.0,78,58,62,68,69,53,63
Knoxville TN,93.0,35.0,46.0,48.0,39.0,39,30,44,44,38,32,40
Las Vegas NV,83.0,70.0,61.0,77.0,85.0,77,73,76,80,73,61,87
Lexington KY,42.0,33.0,43.0,46.0,53.0,38,36,40,43,44,35,43
Lincoln & Hastings-Kearney NE,29.0,30.0,27.0,45.0,37.0,55,55,42,49,55,26,47
Little Rock-Pine Bluff AR,41.0,33.0,49.0,67.0,62.0,55,50,43,48,49,37,44
Los Angeles CA,63.0,60.0,77.0,86.0,87.0,82,57,67,68,63,50,65
Louisville KY,45.0,32.0,48.0,59.0,55.0,63,48,56,57,66,51,55
Madison WI,33.0,40.0,29.0,39.0,55.0,44,28,65,53,49,34,56
Memphis TN,50.0,31.0,37.0,46.0,42.0,67,49,77,64,65,49,79
Miami-Ft. Lauderdale FL,51.0,45.0,67.0,71.0,64.0,64,57,50,62,48,36,46
Milwaukee WI,53.0,39.0,35.0,48.0,85.0,75,63,59,51,54,58,77
Minneapolis-St. Paul MN,46.0,34.0,40.0,65.0,49.0,39,39,45,48,56,56,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,49.0,15.0,55.0,45.0,28.0,47,41,40,60,47,25,39
