,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,48.0,63.0,,100,88.0,53.0,38,18,61,33,9,40
Albany-Schenectady-Troy NY,36.0,27.0,40.0,48,58.0,54.0,27,37,39,32,22,42
Albuquerque-Santa Fe NM,35.0,51.0,57.0,46,70.0,73.0,70,87,77,58,45,65
Atlanta GA,41.0,39.0,62.0,67,76.0,61.0,44,64,67,50,46,47
Augusta GA,45.0,31.0,40.0,69,71.0,53.0,33,59,48,38,42,35
Austin TX,39.0,35.0,61.0,52,56.0,35.0,33,48,48,47,39,49
Bakersfield CA,80.0,100.0,40.0,57,100.0,100.0,100,85,96,100,100,86
Baltimore MD,42.0,35.0,37.0,49,55.0,66.0,41,57,50,45,36,50
Birmingham AL,36.0,32.0,44.0,27,49.0,48.0,39,53,60,52,39,46
Boston MA-Manchester NH,33.0,30.0,50.0,37,46.0,38.0,27,34,34,36,32,31
Buffalo NY,48.0,32.0,47.0,29,39.0,35.0,26,40,47,42,40,55
Burlington VT-Plattsburgh NY,38.0,19.0,55.0,23,36.0,29.0,24,30,31,27,21,26
Champaign & Springfield-Decatur IL,35.0,31.0,47.0,33,33.0,,35,28,37,40,32,36
Charleston SC,25.0,25.0,66.0,16,64.0,61.0,37,64,57,53,33,38
Charleston-Huntington WV,51.0,30.0,51.0,37,51.0,40.0,30,44,50,23,35,39
Charlotte NC,35.0,33.0,52.0,43,64.0,53.0,43,54,61,49,43,45
Chattanooga TN,65.0,52.0,53.0,50,84.0,40.0,53,43,47,46,53,50
Chicago IL,44.0,42.0,60.0,48,57.0,50.0,45,52,57,53,47,60
Cincinnati OH,30.0,30.0,62.0,41,43.0,56.0,34,47,51,44,42,56
Cleveland-Akron (Canton) OH,39.0,34.0,50.0,47,46.0,54.0,37,47,51,39,39,58
Colorado Springs-Pueblo CO,50.0,35.0,77.0,54,37.0,62.0,52,89,91,67,49,73
Columbia SC,45.0,37.0,71.0,45,58.0,50.0,46,62,51,59,48,54
Columbus OH,38.0,40.0,56.0,44,51.0,49.0,34,46,60,42,53,84
Dallas-Ft. Worth TX,50.0,41.0,62.0,52,57.0,53.0,41,50,61,46,42,53
Davenport IA-Rock Island-Moline IL,16.0,18.0,27.0,43,30.0,30.0,29,57,55,61,46,45
Dayton OH,39.0,16.0,41.0,29,51.0,45.0,37,53,70,46,36,50
Denver CO,34.0,39.0,57.0,56,62.0,58.0,45,66,71,70,73,100
Des Moines-Ames IA,36.0,19.0,23.0,40,37.0,50.0,32,40,41,41,33,36
Detroit MI,59.0,47.0,74.0,65,75.0,56.0,41,44,59,45,41,55
El Paso TX,43.0,40.0,67.0,51,12.0,40.0,32,48,50,40,37,47
Eugene OR,40.0,14.0,61.0,34,36.0,52.0,59,58,62,60,45,58
Flint-Saginaw-Bay City MI,23.0,38.0,48.0,19,25.0,27.0,38,30,31,28,25,33
Florence-Myrtle Beach SC,31.0,43.0,,64,82.0,31.0,37,47,54,45,28,54
Fresno-Visalia CA,57.0,59.0,100.0,73,83.0,81.0,56,100,71,71,63,66
Ft. Myers-Naples FL,30.0,23.0,31.0,30,31.0,62.0,38,52,47,37,32,24
Ft. Smith-Fayetteville-Springdale-Rogers AR,29.0,,45.0,44,47.0,32.0,20,32,70,50,43,40
Grand Rapids-Kalamazoo-Battle Creek MI,17.0,25.0,40.0,36,34.0,36.0,26,43,44,43,39,55
Green Bay-Appleton WI,10.0,20.0,22.0,23,47.0,40.0,20,35,33,30,20,50
Greensboro-High Point-Winston Salem NC,26.0,23.0,20.0,29,59.0,51.0,30,55,71,36,38,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48.0,45.0,54.0,60,36.0,55.0,36,56,56,51,35,49
Harlingen-Weslaco-Brownsville-McAllen TX,43.0,22.0,59.0,10,26.0,23.0,22,24,17,27,22,27
Harrisburg-Lancaster-Lebanon-York PA,32.0,29.0,45.0,33,29.0,31.0,24,42,38,26,28,40
Hartford & New Haven CT,34.0,38.0,49.0,46,54.0,58.0,47,74,73,69,54,58
Honolulu HI,57.0,38.0,54.0,60,96.0,50.0,42,61,64,52,43,55
Houston TX,46.0,47.0,66.0,59,73.0,60.0,46,58,63,59,40,59
Huntsville-Decatur (Florence) AL,13.0,61.0,62.0,44,35.0,47.0,28,50,44,41,31,40
Indianapolis IN,38.0,31.0,54.0,41,46.0,47.0,37,58,46,53,45,43
Jacksonville FL,37.0,27.0,51.0,29,59.0,51.0,34,55,63,48,34,37
Kansas City MO,47.0,53.0,65.0,52,67.0,76.0,55,76,71,70,55,66
Knoxville TN,48.0,41.0,45.0,43,51.0,40.0,24,49,47,43,35,42
Lansing MI,82.0,23.0,53.0,91,45.0,18.0,25,44,48,51,31,40
Las Vegas NV,62.0,58.0,65.0,62,88.0,72.0,64,90,82,68,66,85
Lexington KY,8.0,39.0,51.0,40,45.0,44.0,34,48,41,38,34,46
Lincoln & Hastings-Kearney NE,52.0,27.0,65.0,26,44.0,46.0,35,36,48,43,28,54
Little Rock-Pine Bluff AR,37.0,36.0,59.0,41,78.0,46.0,42,50,47,46,40,51
Los Angeles CA,54.0,58.0,85.0,66,88.0,79.0,54,75,67,62,52,60
Louisville KY,33.0,27.0,53.0,43,61.0,62.0,44,65,64,64,54,58
Madison WI,17.0,38.0,43.0,31,53.0,44.0,25,56,48,42,42,51
Memphis TN,47.0,23.0,49.0,38,22.0,65.0,50,83,69,71,53,74
Miami-Ft. Lauderdale FL,42.0,42.0,77.0,55,64.0,63.0,52,56,65,48,39,45
Milwaukee WI,47.0,39.0,40.0,35,76.0,66.0,58,66,54,48,61,75
Minneapolis-St. Paul MN,38.0,33.0,43.0,48,50.0,37.0,36,48,50,57,60,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,45.0,35.0,56.0,33,34.0,41.0,36,42,60,44,30,37
Monterey-Salinas CA,56.0,45.0,91.0,46,40.0,82.0,32,75,47,47,47,42
Nashville TN,30.0,38.0,55.0,42,53.0,47.0,42,60,60,49,40,49
New Orleans LA,24.0,32.0,46.0,56,56.0,57.0,47,62,57,69,33,60
New York NY,42.0,34.0,54.0,41,51.0,44.0,32,44,40,41,34,38
Norfolk-Portsmouth-Newport News VA,29.0,38.0,52.0,41,54.0,53.0,34,56,55,50,43,60
Oklahoma City OK,51.0,17.0,55.0,35,65.0,57.0,42,64,66,55,38,47
Omaha NE,45.0,48.0,75.0,63,59.0,68.0,36,55,67,50,41,57
Orlando-Daytona Beach-Melbourne FL,52.0,42.0,57.0,48,62.0,58.0,44,53,61,46,33,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,33.0,27.0,78.0,23,55.0,30.0,30,44,55,36,35,37
Peoria-Bloomington IL,29.0,36.0,91.0,23,33.0,38.0,29,49,51,37,32,41
Philadelphia PA,39.0,42.0,77.0,50,51.0,49.0,34,45,50,44,40,56
Phoenix AZ,46.0,46.0,76.0,54,59.0,55.0,47,52,62,54,41,49
Pittsburgh PA,32.0,32.0,46.0,36,50.0,36.0,29,29,33,33,26,33
Portland OR,51.0,43.0,39.0,39,52.0,69.0,58,86,87,75,78,95
Portland-Auburn ME,27.0,14.0,50.0,34,30.0,17.0,27,28,23,39,22,24
Providence RI-New Bedford MA,37.0,29.0,38.0,42,71.0,43.0,41,38,48,43,48,36
Raleigh-Durham (Fayetteville) NC,31.0,27.0,45.0,40,48.0,35.0,28,40,44,44,36,38
Reno NV,37.0,33.0,69.0,81,85.0,69.0,55,50,68,37,47,47
Richmond-Petersburg VA,24.0,15.0,43.0,34,37.0,40.0,31,52,50,45,33,41
Roanoke-Lynchburg VA,15.0,44.0,26.0,7,9.0,44.0,30,45,47,37,27,47
Rochester NY,34.0,23.0,48.0,37,52.0,37.0,28,48,36,33,35,49
Sacramento-Stockton-Modesto CA,60.0,71.0,97.0,69,93.0,84.0,65,99,91,77,57,66
Salt Lake City UT,33.0,31.0,68.0,54,67.0,59.0,39,50,50,49,36,41
San Antonio TX,63.0,49.0,76.0,67,72.0,57.0,39,65,61,59,42,64
San Diego CA,60.0,60.0,100.0,72,77.0,79.0,51,74,83,66,53,59
