,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,54.0,72.0,,100,62.0,68,50,,59,20,18,35
Albany-Schenectady-Troy NY,31.0,21.0,34.0,39,56.0,49,34,30.0,43,30,22,42
Albuquerque-Santa Fe NM,44.0,68.0,61.0,62,62.0,75,74,82.0,75,58,43,63
Atlanta GA,47.0,47.0,59.0,76,80.0,61,48,60.0,69,48,46,47
Augusta GA,42.0,34.0,81.0,93,71.0,59,33,66.0,53,35,34,39
Austin TX,45.0,43.0,58.0,59,57.0,35,40,48.0,50,46,38,49
Bakersfield CA,89.0,100.0,92.0,66,95.0,100,100,100.0,90,100,100,86
Baltimore MD,49.0,39.0,36.0,61,58.0,66,46,54.0,53,44,34,49
Birmingham AL,46.0,40.0,64.0,37,53.0,51,39,50.0,60,49,36,46
Boise ID,37.0,31.0,20.0,38,40.0,31,40,39.0,52,20,26,26
Boston MA-Manchester NH,42.0,35.0,46.0,47,48.0,38,30,33.0,35,36,29,30
Buffalo NY,63.0,42.0,47.0,33,43.0,36,29,44.0,50,42,39,56
Burlington VT-Plattsburgh NY,47.0,10.0,41.0,33,29.0,28,26,31.0,28,35,21,28
Champaign & Springfield-Decatur IL,36.0,35.0,49.0,51,39.0,28,34,27.0,37,37,34,38
Charleston-Huntington WV,62.0,37.0,44.0,29,49.0,48,32,34.0,54,26,33,43
Charlotte NC,46.0,38.0,47.0,56,67.0,55,47,54.0,62,46,42,45
Chattanooga TN,14.0,39.0,41.0,62,67.0,40,55,57.0,52,40,45,49
Chicago IL,56.0,50.0,55.0,56,60.0,52,48,51.0,63,52,42,59
Cincinnati OH,31.0,37.0,41.0,49,48.0,56,39,44.0,54,42,38,56
Cleveland-Akron (Canton) OH,39.0,42.0,48.0,54,49.0,54,39,45.0,50,40,36,56
Colorado Springs-Pueblo CO,44.0,62.0,54.0,54,31.0,61,56,82.0,90,65,51,65
Columbia SC,40.0,45.0,46.0,62,53.0,44,56,58.0,48,56,47,56
Columbus OH,47.0,48.0,51.0,53,50.0,48,40,49.0,63,41,50,82
Dallas-Ft. Worth TX,58.0,48.0,58.0,60,62.0,58,42,47.0,64,45,41,51
Davenport IA-Rock Island-Moline IL,39.0,27.0,28.0,71,37.0,39,31,54.0,62,60,41,44
Dayton OH,53.0,30.0,26.0,32,39.0,41,46,52.0,72,40,34,50
Denver CO,43.0,46.0,53.0,70,65.0,59,51,59.0,73,67,69,100
Des Moines-Ames IA,35.0,34.0,58.0,37,35.0,50,35,47.0,40,38,38,35
Detroit MI,68.0,57.0,70.0,78,79.0,58,46,41.0,60,44,38,56
El Paso TX,65.0,40.0,46.0,40,40.0,43,43,39.0,50,41,36,52
Eugene OR,32.0,12.0,75.0,46,29.0,45,68,36.0,66,50,40,58
Flint-Saginaw-Bay City MI,54.0,36.0,51.0,44,29.0,35,34,31.0,28,28,30,28
Fresno-Visalia CA,68.0,57.0,98.0,95,81.0,84,65,88.0,76,67,61,65
Ft. Myers-Naples FL,31.0,33.0,20.0,40,32.0,59,41,49.0,54,29,31,26
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,29.0,35.0,45,35.0,35,29,41.0,48,40,37,56
Green Bay-Appleton WI,14.0,20.0,26.0,31,57.0,38,24,35.0,30,25,19,42
Greensboro-High Point-Winston Salem NC,34.0,23.0,34.0,31,47.0,53,36,55.0,74,34,36,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,41.0,48.0,45.0,64,35.0,57,39,52.0,54,46,34,50
Harlingen-Weslaco-Brownsville-McAllen TX,85.0,50.0,56.0,12,27.0,34,23,24.0,26,20,21,27
Harrisburg-Lancaster-Lebanon-York PA,42.0,34.0,43.0,42,42.0,29,23,43.0,39,29,26,41
Hartford & New Haven CT,37.0,39.0,49.0,55,67.0,56,54,70.0,70,64,51,57
Honolulu HI,68.0,35.0,50.0,69,88.0,43,43,58.0,60,48,41,55
Houston TX,52.0,57.0,59.0,69,75.0,61,49,56.0,67,59,39,56
Huntsville-Decatur (Florence) AL,18.0,29.0,66.0,51,60.0,41,31,53.0,47,39,30,46
Indianapolis IN,44.0,37.0,59.0,54,54.0,46,40,51.0,48,52,42,44
Jacksonville FL,42.0,32.0,50.0,38,62.0,58,36,57.0,66,46,34,36
Kansas City MO,61.0,64.0,62.0,60,69.0,75,58,67.0,69,64,54,66
Knoxville TN,74.0,38.0,53.0,30,52.0,42,32,42.0,48,43,30,38
Lansing MI,15.0,33.0,55.0,49,30.0,14,27,33.0,54,56,22,39
Las Vegas NV,90.0,73.0,64.0,68,91.0,73,72,80.0,83,68,62,84
Lexington KY,34.0,23.0,45.0,57,58.0,38,42,41.0,41,38,36,42
Lincoln & Hastings-Kearney NE,82.0,28.0,40.0,24,40.0,62,46,29.0,52,48,33,39
Little Rock-Pine Bluff AR,29.0,38.0,68.0,51,84.0,49,53,49.0,51,46,36,47
Los Angeles CA,65.0,68.0,81.0,79,86.0,81,60,72.0,75,61,51,64
Louisville KY,53.0,32.0,45.0,37,55.0,67,46,61.0,61,61,48,56
Madison WI,31.0,44.0,39.0,38,58.0,42,23,57.0,58,47,34,50
Memphis TN,49.0,35.0,46.0,44,42.0,63,48,77.0,72,66,49,73
Miami-Ft. Lauderdale FL,53.0,47.0,72.0,64,70.0,62,59,55.0,67,46,36,45
Milwaukee WI,56.0,45.0,45.0,45,84.0,72,62,62.0,53,49,58,74
Minneapolis-St. Paul MN,44.0,39.0,43.0,62,52.0,38,41,45.0,51,57,57,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,43.0,37.0,47.0,40,25.0,40,46,42.0,65,46,32,38
Monterey-Salinas CA,100.0,56.0,100.0,50,45.0,78,34,76.0,80,57,44,33
Nashville TN,40.0,39.0,52.0,51,51.0,49,43,58.0,64,47,37,50
New Orleans LA,47.0,38.0,50.0,67,60.0,56,50,61.0,60,64,30,57
New York NY,50.0,41.0,52.0,50,53.0,43,35,42.0,44,40,33,38
Norfolk-Portsmouth-Newport News VA,49.0,36.0,50.0,46,47.0,54,39,52.0,55,49,39,57
Oklahoma City OK,67.0,35.0,49.0,50,65.0,55,53,61.0,65,52,40,45
Omaha NE,58.0,55.0,71.0,73,61.0,65,38,51.0,67,48,41,56
Orlando-Daytona Beach-Melbourne FL,56.0,50.0,54.0,58,64.0,55,47,50.0,64,44,33,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,47.0,29.0,,53,53.0,43,32,45.0,67,35,39,32
Peoria-Bloomington IL,38.0,34.0,36.0,39,19.0,23,36,43.0,49,42,33,42
Philadelphia PA,52.0,49.0,73.0,61,52.0,49,37,44.0,51,42,38,56
Phoenix AZ,51.0,55.0,73.0,72,65.0,57,49,50.0,64,50,36,48
Pittsburgh PA,41.0,38.0,39.0,42,51.0,35,31,24.0,36,30,24,30
Portland OR,61.0,51.0,33.0,49,59.0,73,60,82.0,88,72,77,93
Portland-Auburn ME,66.0,26.0,57.0,13,40.0,22,29,30.0,25,49,24,27
Providence RI-New Bedford MA,39.0,27.0,41.0,65,68.0,45,46,39.0,45,43,45,33
Raleigh-Durham (Fayetteville) NC,36.0,36.0,43.0,44,43.0,36,30,36.0,47,41,34,40
Richmond-Petersburg VA,28.0,31.0,44.0,38,33.0,42,35,54.0,54,45,31,42
Roanoke-Lynchburg VA,20.0,55.0,49.0,13,10.0,57,33,37.0,44,39,24,44
Rochester NY,49.0,72.0,50.0,53,60.0,32,31,58.0,36,34,38,48
Sacramento-Stockton-Modesto CA,67.0,82.0,93.0,82,100.0,84,72,93.0,92,74,50,65
Salt Lake City UT,30.0,37.0,65.0,64,73.0,59,44,49.0,52,48,35,42
San Antonio TX,64.0,66.0,73.0,75,76.0,59,44,62.0,59,57,40,61
San Diego CA,69.0,68.0,98.0,90,78.0,81,58,71.0,85,63,49,56
San Francisco-Oakland-San Jose CA,68.0,74.0,82.0,83,88.0,71,59,67.0,81,63,58,70
Santa Barbara-Santa Maria-San Luis Obispo CA,54.0,40.0,43.0,64,22.0,56,27,39.0,66,33,38,39
Savannah GA,33.0,50.0,41.0,52,39.0,44,34,44.0,39,42,38,40
Seattle-Tacoma WA,63.0,69.0,75.0,86,84.0,83,58,65.0,81,62,54,78
Shreveport LA,49.0,,51.0,53,,44,50,40.0,49,37,38,47
Sioux Falls(Mitchell) SD,40.0,22.0,54.0,43,49.0,45,17,35.0,63,28,39,27
Spokane WA,62.0,75.0,80.0,87,55.0,55,57,62.0,49,36,44,52
Springfield MO,30.0,55.0,45.0,58,35.0,62,45,64.0,64,47,31,42
Springfield-Holyoke MA,56.0,38.0,31.0,62,31.0,47,34,46.0,58,45,36,46
St. Louis MO,45.0,42.0,63.0,73,73.0,58,54,53.0,76,69,48,72
Syracuse NY,21.0,27.0,41.0,32,30.0,30,21,34.0,45,36,24,41
Tampa-St. Petersburg (Sarasota) FL,46.0,35.0,54.0,62,63.0,63,48,56.0,54,49,34,42
Toledo OH,54.0,18.0,31.0,42,36.0,25,20,32.0,48,34,44,47
Tucson (Sierra Vista) AZ,67.0,46.0,54.0,62,70.0,56,52,49.0,66,44,26,53
Tulsa OK,69.0,59.0,73.0,41,52.0,84,42,97.0,100,71,51,55
Waco-Temple-Bryan TX,28.0,33.0,34.0,65,65.0,40,47,38.0,70,46,32,54
Washington DC (Hagerstown MD),51.0,41.0,54.0,49,47.0,44,34,37.0,42,39,33,40
West Palm Beach-Ft. Pierce FL,54.0,50.0,50.0,48,51.0,55,53,59.0,52,40,38,40
Wichita-Hutchinson KS,54.0,48.0,77.0,68,75.0,48,44,67.0,55,49,47,52
Wilkes Barre-Scranton PA,37.0,32.0,50.0,81,43.0,41,29,35.0,51,36,27,37
Yakima-Pasco-Richland-Kennewick WA,37.0,92.0,58.0,58,34.0,90,67,41.0,65,42,35,70
Baton Rouge LA,,18.0,30.0,43,41.0,42,32,50.0,44,46,44,51
