,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,38.0,,,,,,,36.0,56.0,,,32.0
Albany-Schenectady-Troy NY,28.0,19.0,30.0,20.0,22.0,41.0,39.0,23.0,43.0,29.0,28.0,41.0
Albuquerque-Santa Fe NM,44.0,33.0,43.0,28.0,27.0,67.0,83.0,53.0,77.0,54.0,45.0,64.0
Atlanta GA,42.0,28.0,41.0,35.0,30.0,55.0,53.0,42.0,63.0,50.0,47.0,48.0
Austin TX,48.0,28.0,39.0,30.0,22.0,35.0,39.0,30.0,48.0,47.0,38.0,46.0
Bakersfield CA,100.0,69.0,,36.0,33.0,100.0,100.0,61.0,99.0,95.0,100.0,80.0
Baltimore MD,43.0,24.0,28.0,28.0,21.0,60.0,48.0,35.0,52.0,45.0,35.0,47.0
Birmingham AL,40.0,21.0,40.0,17.0,18.0,51.0,45.0,34.0,54.0,50.0,36.0,44.0
Boston MA-Manchester NH,38.0,22.0,31.0,21.0,18.0,35.0,32.0,21.0,32.0,36.0,29.0,30.0
Buffalo NY,40.0,27.0,32.0,15.0,16.0,35.0,32.0,31.0,43.0,42.0,38.0,54.0
Charlotte NC,35.0,20.0,34.0,27.0,26.0,51.0,52.0,36.0,54.0,50.0,44.0,46.0
Chicago IL,45.0,28.0,40.0,25.0,22.0,51.0,52.0,33.0,56.0,52.0,45.0,58.0
Cincinnati OH,30.0,20.0,28.0,26.0,16.0,47.0,41.0,29.0,48.0,45.0,38.0,55.0
Cleveland-Akron (Canton) OH,38.0,25.0,30.0,26.0,19.0,50.0,44.0,32.0,47.0,41.0,41.0,53.0
Columbus OH,45.0,26.0,33.0,24.0,19.0,42.0,42.0,30.0,58.0,43.0,51.0,79.0
Dallas-Ft. Worth TX,54.0,28.0,40.0,28.0,24.0,49.0,45.0,32.0,60.0,51.0,42.0,49.0
Denver CO,34.0,27.0,37.0,32.0,25.0,53.0,55.0,39.0,68.0,68.0,70.0,99.0
Des Moines-Ames IA,39.0,,29.0,18.0,16.0,44.0,36.0,26.0,17.0,41.0,42.0,38.0
Detroit MI,63.0,34.0,49.0,34.0,30.0,51.0,48.0,30.0,55.0,45.0,42.0,56.0
Fresno-Visalia CA,60.0,38.0,63.0,34.0,32.0,76.0,64.0,59.0,74.0,72.0,59.0,65.0
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,18.0,29.0,22.0,15.0,35.0,32.0,24.0,42.0,42.0,37.0,55.0
Greensboro-High Point-Winston Salem NC,24.0,13.0,26.0,16.0,21.0,45.0,39.0,36.0,67.0,35.0,35.0,46.0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39.0,32.0,35.0,29.0,14.0,49.0,46.0,32.0,50.0,48.0,35.0,45.0
Harrisburg-Lancaster-Lebanon-York PA,37.0,16.0,27.0,27.0,15.0,29.0,27.0,26.0,36.0,29.0,26.0,39.0
Hartford & New Haven CT,28.0,25.0,38.0,23.0,26.0,55.0,58.0,48.0,72.0,67.0,51.0,54.0
Honolulu HI,55.0,22.0,30.0,33.0,28.0,47.0,42.0,39.0,63.0,46.0,41.0,48.0
Houston TX,45.0,32.0,44.0,31.0,27.0,55.0,56.0,38.0,61.0,62.0,40.0,57.0
Indianapolis IN,36.0,22.0,39.0,27.0,22.0,43.0,47.0,33.0,49.0,52.0,44.0,45.0
