,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,67.0,38.0,37,100.0,,53,36,54,59,17,38,34
Albany-Schenectady-Troy NY,20.0,41.0,37,30.0,51.0,52,34,37,43,29,19,43
Albuquerque-Santa Fe NM,60.0,66.0,59,37.0,71.0,88,71,81,75,56,39,67
Atlanta GA,49.0,55.0,57,46.0,78.0,69,46,61,69,48,42,48
Augusta GA,65.0,34.0,84,51.0,67.0,61,31,65,53,42,40,40
Austin TX,46.0,57.0,53,39.0,53.0,38,39,47,50,45,36,52
Bakersfield CA,92.0,100.0,54,17.0,100.0,100,100,92,90,100,100,89
Baltimore MD,54.0,47.0,34,34.0,51.0,71,42,52,53,46,32,50
Baton Rouge LA,15.0,13.0,50,29.0,51.0,57,28,51,44,46,41,48
Birmingham AL,46.0,49.0,62,21.0,41.0,58,38,48,60,48,34,46
Boise ID,13.0,41.0,13,15.0,58.0,27,36,37,48,22,19,28
Boston MA-Manchester NH,43.0,41.0,43,28.0,48.0,42,28,33,35,36,28,33
Buffalo NY,66.0,40.0,43,19.0,45.0,37,24,43,50,45,37,55
Burlington VT-Plattsburgh NY,28.0,23.0,43,22.0,30.0,37,28,36,28,27,19,29
Champaign & Springfield-Decatur IL,49.0,35.0,55,12.0,24.0,44,21,27,37,39,33,35
Charleston SC,38.0,30.0,58,12.0,68.0,49,34,62,64,63,27,36
Charleston-Huntington WV,29.0,32.0,45,12.0,51.0,53,37,34,54,28,26,39
Charlotte NC,42.0,43.0,49,36.0,59.0,63,44,54,62,46,39,48
Chattanooga TN,65.0,48.0,40,39.0,79.0,49,55,49,52,39,42,54
Chicago IL,54.0,57.0,54,34.0,59.0,55,47,49,63,52,44,61
Cincinnati OH,35.0,48.0,45,32.0,45.0,62,38,45,53,40,37,55
Cleveland-Akron (Canton) OH,38.0,47.0,44,35.0,47.0,61,39,45,50,36,35,58
Colorado Springs-Pueblo CO,32.0,61.0,69,40.0,42.0,74,52,83,90,65,47,73
Columbia SC,41.0,46.0,56,13.0,60.0,46,51,57,52,55,42,58
Columbus OH,43.0,48.0,53,35.0,59.0,53,37,50,63,40,46,82
Dallas-Ft. Worth TX,60.0,55.0,57,35.0,62.0,61,41,48,64,47,38,54
Davenport IA-Rock Island-Moline IL,20.0,30.0,24,38.0,44.0,25,16,54,62,55,55,44
Dayton OH,39.0,27.0,41,30.0,34.0,56,41,54,72,43,34,50
Denver CO,42.0,52.0,53,44.0,63.0,67,47,62,73,65,62,100
Des Moines-Ames IA,37.0,19.0,32,22.0,36.0,58,34,39,40,36,34,37
Detroit MI,66.0,66.0,66,44.0,75.0,66,42,41,59,47,37,57
El Paso TX,48.0,44.0,48,16.0,19.0,40,37,38,50,36,32,53
Eugene OR,18.0,25.0,56,28.0,75.0,57,65,36,66,47,42,52
Flint-Saginaw-Bay City MI,40.0,44.0,37,20.0,23.0,24,33,31,28,30,24,38
Florence-Myrtle Beach SC,38.0,67.0,37,30.0,83.0,55,37,40,41,34,24,56
Fresno-Visalia CA,72.0,87.0,99,52.0,78.0,96,61,91,76,71,55,67
Ft. Myers-Naples FL,22.0,26.0,30,23.0,34.0,65,45,52,54,35,27,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,29.0,,21,43.0,34.0,39,20,40,63,38,28,40
Grand Rapids-Kalamazoo-Battle Creek MI,33.0,36.0,51,25.0,37.0,43,25,41,49,40,35,55
Green Bay-Appleton WI,18.0,29.0,13,15.0,48.0,31,23,31,30,30,20,47
Greensboro-High Point-Winston Salem NC,35.0,21.0,40,19.0,58.0,57,30,46,74,33,34,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52.0,57.0,41,38.0,48.0,63,38,50,54,48,31,49
Harlingen-Weslaco-Brownsville-McAllen TX,26.0,47.0,48,6.0,33.0,36,22,24,26,23,19,27
Harrisburg-Lancaster-Lebanon-York PA,54.0,37.0,44,26.0,39.0,36,25,37,39,24,23,39
Hartford & New Haven CT,41.0,47.0,47,34.0,67.0,63,52,68,70,65,46,59
Honolulu HI,64.0,45.0,56,44.0,77.0,56,37,59,60,44,39,56
Houston TX,57.0,63.0,58,40.0,73.0,67,47,57,67,57,35,59
Indianapolis IN,46.0,40.0,54,35.0,56.0,54,39,52,48,50,38,46
Jacksonville FL,39.0,44.0,57,31.0,64.0,61,36,52,66,46,35,37
Kansas City MO,52.0,70.0,54,37.0,67.0,86,58,67,69,63,48,68
Knoxville TN,40.0,64.0,56,19.0,40.0,49,27,43,48,48,30,38
Las Vegas NV,83.0,81.0,62,44.0,88.0,88,70,81,83,69,58,88
Lexington KY,14.0,43.0,25,32.0,54.0,46,39,40,41,46,31,42
Lincoln & Hastings-Kearney NE,48.0,41.0,30,21.0,46.0,58,42,47,52,37,32,45
Little Rock-Pine Bluff AR,83.0,58.0,37,37.0,53.0,49,50,48,51,47,34,47
Los Angeles CA,67.0,79.0,80,48.0,88.0,89,58,71,75,62,46,62
Louisville KY,54.0,38.0,50,33.0,64.0,71,45,63,60,60,45,57
Madison WI,39.0,51.0,46,26.0,54.0,48,26,59,58,48,33,49
Memphis TN,30.0,42.0,43,26.0,40.0,71,46,78,72,66,45,79
Miami-Ft. Lauderdale FL,48.0,55.0,70,40.0,66.0,70,56,54,67,46,33,47
Milwaukee WI,54.0,52.0,38,29.0,92.0,80,63,62,53,49,55,79
Minneapolis-St. Paul MN,45.0,44.0,38,37.0,54.0,43,37,46,51,55,52,66
Mobile AL-Pensacola (Ft. Walton Beach) FL,35.0,33.0,40,28.0,33.0,46,40,40,65,47,26,37
Monterey-Salinas CA,83.0,61.0,100,29.0,68.0,93,34,74,80,34,39,32
Nashville TN,33.0,46.0,49,33.0,50.0,53,45,60,64,48,34,51
New Orleans LA,49.0,48.0,44,37.0,64.0,59,47,60,60,61,30,64
New York NY,50.0,48.0,50,31.0,52.0,47,34,43,44,38,30,39
Norfolk-Portsmouth-Newport News VA,48.0,49.0,47,33.0,56.0,61,39,54,55,48,35,62
Oklahoma City OK,53.0,39.0,50,30.0,68.0,65,52,62,65,50,36,46
Omaha NE,47.0,62.0,64,38.0,64.0,74,37,51,67,48,36,56
Orlando-Daytona Beach-Melbourne FL,59.0,56.0,55,35.0,65.0,64,46,49,64,45,30,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21.0,39.0,58,21.0,52.0,35,31,51,67,35,34,34
Peoria-Bloomington IL,40.0,64.0,31,21.0,35.0,26,28,39,49,33,35,40
Philadelphia PA,51.0,56.0,69,36.0,52.0,52,36,44,51,46,34,57
Phoenix AZ,58.0,66.0,71,43.0,62.0,64,51,51,64,50,36,51
Pittsburgh PA,43.0,43.0,37,25.0,48.0,41,29,21,36,33,23,35
Portland OR,58.0,55.0,38,29.0,58.0,81,61,84,88,74,71,97
Portland-Auburn ME,36.0,30.0,61,17.0,37.0,11,30,28,23,32,26,36
Providence RI-New Bedford MA,44.0,47.0,37,38.0,70.0,52,45,37,45,42,41,37
Raleigh-Durham (Fayetteville) NC,35.0,37.0,47,30.0,48.0,39,28,39,46,42,32,38
Reno NV,43.0,25.0,47,55.0,88.0,79,56,53,73,51,42,49
Richmond-Petersburg VA,28.0,49.0,37,13.0,38.0,50,33,57,57,43,29,40
Roanoke-Lynchburg VA,30.0,56.0,31,7.0,10.0,40,32,35,44,34,23,43
Rochester NY,48.0,46.0,47,29.0,47.0,41,28,57,36,32,35,49
Sacramento-Stockton-Modesto CA,73.0,98.0,91,54.0,98.0,97,69,93,92,78,49,68
Salt Lake City UT,43.0,44.0,60,39.0,65.0,64,40,48,52,48,32,45
San Antonio TX,66.0,68.0,68,48.0,75.0,70,42,61,59,57,37,61
San Diego CA,70.0,79.0,93,52.0,80.0,89,57,72,85,62,44,62
San Francisco-Oakland-San Jose CA,66.0,86.0,79,50.0,86.0,77,60,66,81,62,53,72
Santa Barbara-Santa Maria-San Luis Obispo CA,26.0,53.0,44,54.0,30.0,61,34,45,66,30,29,41
Savannah GA,19.0,51.0,42,35.0,20.0,47,25,53,39,50,34,38
Seattle-Tacoma WA,65.0,80.0,69,51.0,85.0,89,56,67,81,63,53,78
Shreveport LA,51.0,25.0,53,25.0,31.0,53,53,56,54,30,28,49
Sioux Falls(Mitchell) SD,50.0,37.0,70,12.0,61.0,44,16,32,63,28,33,25
Spokane WA,65.0,61.0,75,43.0,48.0,62,53,60,49,37,34,54
Springfield MO,56.0,65.0,66,39.0,29.0,56,36,60,64,43,27,42
Springfield-Holyoke MA,56.0,36.0,38,25.0,31.0,45,25,50,58,37,35,47
St. Louis MO,42.0,53.0,59,43.0,71.0,66,50,54,76,62,43,80
Syracuse NY,27.0,33.0,49,18.0,22.0,28,20,35,43,32,26,42
Tampa-St. Petersburg (Sarasota) FL,44.0,43.0,46,36.0,64.0,71,47,57,54,50,32,45
Toledo OH,45.0,59.0,61,21.0,32.0,39,17,50,48,35,36,54
Tucson (Sierra Vista) AZ,56.0,47.0,53,35.0,67.0,41,53,44,70,43,20,55
Tulsa OK,100.0,39.0,77,32.0,50.0,86,46,100,100,69,49,53
Waco-Temple-Bryan TX,48.0,43.0,23,40.0,70.0,46,45,37,70,40,31,55
Washington DC (Hagerstown MD),49.0,49.0,50,29.0,46.0,48,32,36,42,39,31,41
West Palm Beach-Ft. Pierce FL,50.0,56.0,47,31.0,45.0,66,51,51,52,35,35,46
Wichita-Hutchinson KS,28.0,42.0,71,40.0,86.0,58,51,71,55,50,38,55
Wilkes Barre-Scranton PA,42.0,43.0,48,52.0,46.0,43,24,36,51,36,26,41
Huntsville-Decatur (Florence) AL,,48.0,70,53.0,65.0,40,28,45,47,38,27,41
Lansing MI,,39.0,56,30.0,31.0,30,26,35,54,63,25,41
Yakima-Pasco-Richland-Kennewick WA,,70.0,18,8.0,22.0,76,57,42,65,41,37,66
Amarillo TX,,,46,,,56,51,36,62,36,46,36
