,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Albany GA,100.0,,,,,,,,,,33.0,
Albany-Schenectady-Troy NY,14.0,,,,36.0,,,,,,19.0,
Atlanta GA,23.0,,,,50.0,,,,,,44.0,
Baltimore MD,24.0,,,,33.0,,,,,,35.0,
Boston MA-Manchester NH,21.0,,,,30.0,,,,,,29.0,
Buffalo NY,25.0,,,,25.0,,,,,,31.0,
Burlington VT-Plattsburgh NY,16.0,,,,19.0,,,,,,22.0,
Charlotte NC,21.0,,,,42.0,,,,,,42.0,
Cincinnati OH,18.0,,,,30.0,,,,,,39.0,
Cleveland-Akron (Canton) OH,21.0,,,,31.0,,,,,,38.0,
Columbia SC,22.0,,,,37.0,,,,,,47.0,
Columbus OH,20.0,,,,35.0,,,,,,49.0,
Dayton OH,28.0,,,,31.0,,,,,,34.0,
Detroit MI,32.0,,,,48.0,,,,,,40.0,
Ft. Myers-Naples FL,17.0,,,,19.0,,,,,,32.0,
Grand Rapids-Kalamazoo-Battle Creek MI,16.0,,,,22.0,,,,,,38.0,
Greensboro-High Point-Winston Salem NC,13.0,,,,33.0,,,,,,37.0,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,23.0,,,,21.0,,,,,,35.0,
Harrisburg-Lancaster-Lebanon-York PA,21.0,,,,27.0,,,,,,28.0,
Hartford & New Haven CT,18.0,,,,43.0,,,,,,51.0,
Indianapolis IN,19.0,,,,35.0,,,,,,41.0,
Jacksonville FL,22.0,,,,43.0,,,,,,34.0,
Knoxville TN,22.0,,,,32.0,,,,,,27.0,
Lexington KY,13.0,,,,29.0,,,,,,32.0,
Louisville KY,19.0,,,,34.0,,,,,,52.0,
Miami-Ft. Lauderdale FL,26.0,,,,42.0,,,,,,37.0,
New York NY,24.0,,,,34.0,,,,,,32.0,
Norfolk-Portsmouth-Newport News VA,23.0,,,,39.0,,,,,,40.0,
Orlando-Daytona Beach-Melbourne FL,28.0,,,,41.0,,,,,,33.0,
Philadelphia PA,24.0,,,,33.0,,,,,,38.0,
Pittsburgh PA,22.0,,,,30.0,,,,,,26.0,
Portland-Auburn ME,22.0,,,,23.0,,,,,,22.0,
Providence RI-New Bedford MA,24.0,,,,43.0,,,,,,45.0,
Raleigh-Durham (Fayetteville) NC,19.0,,,,31.0,,,,,,34.0,
Richmond-Petersburg VA,16.0,,,,27.0,,,,,,32.0,
Rochester NY,16.0,,,,36.0,,,,,,36.0,
Savannah GA,21.0,,,,,,,,,,37.0,
Springfield-Holyoke MA,27.0,,,,20.0,,,,,,27.0,
Syracuse NY,14.0,,,,20.0,,,,,,30.0,
Tampa-St. Petersburg (Sarasota) FL,22.0,,,,38.0,,,,,,35.0,
Toledo OH,30.0,,,,26.0,,,,,,40.0,
Washington DC (Hagerstown MD),23.0,,,,29.0,,,,,,33.0,
West Palm Beach-Ft. Pierce FL,26.0,,,,30.0,,,,,,40.0,
Albuquerque-Santa Fe NM,,,,,42.0,,,,,53.0,42.0,
Anchorage AK,,,,,36.0,,,,,55.0,50.0,
Augusta GA,,,,,45.0,,,,,,40.0,
Bakersfield CA,,,,,64.0,,,,,100.0,100.0,
Baton Rouge LA,,,,,44.0,,,,,43.0,53.0,
"Billings, MT",,,,,100.0,,,,,38.0,31.0,
Bluefield-Beckley-Oak Hill WV,,,,,85.0,,,,,,,
Boise ID,,,,,27.0,,,,,44.0,22.0,
Bowling Green KY,,,,,43.0,,,,,38.0,32.0,
Charleston SC,,,,,40.0,,,,,,29.0,
Charleston-Huntington WV,,,,,32.0,,,,,,27.0,
Chico-Redding CA,,,,,60.0,,,,,65.0,42.0,
Colorado Springs-Pueblo CO,,,,,24.0,,,,,59.0,56.0,
Davenport IA-Rock Island-Moline IL,,,,,31.0,,,,,60.0,36.0,
Denver CO,,,,,38.0,,,,,63.0,68.0,
Des Moines-Ames IA,,,,,23.0,,,,,36.0,39.0,
El Paso TX,,,,,16.0,,,,,49.0,36.0,
Eugene OR,,,,,36.0,,,,,51.0,48.0,
Florence-Myrtle Beach SC,,,,,56.0,,,,,,31.0,
Fresno-Visalia CA,,,,,50.0,,,,,67.0,53.0,
Ft. Wayne IN,,,,,30.0,,,,,,36.0,
Greenville-New Bern-Washington NC,,,,,27.0,,,,,,25.0,
Honolulu HI,,,,,53.0,,,,,47.0,42.0,
Huntsville-Decatur (Florence) AL,,,,,32.0,,,,,35.0,32.0,
Idaho Falls-Pocatello ID,,,,,52.0,,,,,,26.0,
Jackson MS,,,,,33.0,,,,,44.0,46.0,
Lansing MI,,,,,26.0,,,,,,28.0,
Las Vegas NV,,,,,53.0,,,,,70.0,62.0,
Lincoln & Hastings-Kearney NE,,,,,44.0,,,,,52.0,50.0,
Little Rock-Pine Bluff AR,,,,,51.0,,,,,41.0,37.0,
Los Angeles CA,,,,,54.0,,,,,60.0,50.0,
Macon GA,,,,,43.0,,,,,,46.0,
Missoula MT,,,,,40.0,,,,,,,
Mobile AL-Pensacola (Ft. Walton Beach) FL,,,,,25.0,,,,,44.0,29.0,
Monterey-Salinas CA,,,,,44.0,,,,,42.0,42.0,
Montgomery (Selma) AL,,,,,45.0,,,,,58.0,32.0,
Phoenix AZ,,,,,41.0,,,,,49.0,39.0,
Portland OR,,,,,38.0,,,,,72.0,78.0,
Reno NV,,,,,57.0,,,,,47.0,48.0,
Sacramento-Stockton-Modesto CA,,,,,62.0,,,,,72.0,53.0,
Salt Lake City UT,,,,,42.0,,,,,46.0,35.0,
San Diego CA,,,,,49.0,,,,,59.0,53.0,
San Francisco-Oakland-San Jose CA,,,,,56.0,,,,,59.0,59.0,
Santa Barbara-Santa Maria-San Luis Obispo CA,,,,,42.0,,,,,25.0,36.0,
Seattle-Tacoma WA,,,,,53.0,,,,,59.0,53.0,
Sioux Falls(Mitchell) SD,,,,,37.0,,,,,25.0,40.0,
Spokane WA,,,,,34.0,,,,,38.0,38.0,
Tallahassee FL-Thomasville GA,,,,,55.0,,,,,,28.0,
Traverse City-Cadillac MI,,,,,43.0,,,,,,,
Tri-Cities TN-VA,,,,,47.0,,,,,,37.0,
Tucson (Sierra Vista) AZ,,,,,38.0,,,,,43.0,23.0,
Tyler-Longview(Lufkin & Nacogdoches) TX,,,,,35.0,,,,,33.0,31.0,
Wilmington NC,,,,,47.0,,,,,,22.0,
Beaumont-Port Arthur TX,,,,,,,,,,99.0,33.0,
Bend OR,,,,,,,,,,52.0,31.0,
Biloxi-Gulfport MS,,,,,,,,,,30.0,24.0,
Butte-Bozeman MT,,,,,,,,,,59.0,,
Cheyenne WY-Scottsbluff NE,,,,,,,,,,64.0,59.0,
Eureka CA,,,,,,,,,,67.0,48.0,
Fargo-Valley City ND,,,,,,,,,,42.0,12.0,
Grand Junction-Montrose CO,,,,,,,,,,63.0,63.0,
Hattiesburg-Laurel MS,,,,,,,,,,74.0,,
La Crosse-Eau Claire WI,,,,,,,,,,34.0,19.0,
Laredo TX,,,,,,,,,,33.0,,
Medford-Klamath Falls OR,,,,,,,,,,42.0,31.0,
Minot-Bismarck-Dickinson(Williston) ND,,,,,,,,,,35.0,22.0,
Palm Springs CA,,,,,,,,,,44.0,52.0,
Rapid City SD,,,,,,,,,,54.0,48.0,
Wausau-Rhinelander WI,,,,,,,,,,28.0,21.0,
Yakima-Pasco-Richland-Kennewick WA,,,,,,,,,,41.0,38.0,
Yuma AZ-El Centro CA,,,,,,,,,,37.0,24.0,
Amarillo TX,,,,,,,,,,,40.0,
Austin TX,,,,,,,,,,,39.0,
Bangor ME,,,,,,,,,,,41.0,
Binghamton NY,,,,,,,,,,,25.0,
Birmingham AL,,,,,,,,,,,32.0,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,,,,,,,,,,,23.0,
Champaign & Springfield-Decatur IL,,,,,,,,,,,28.0,
Chattanooga TN,,,,,,,,,,,51.0,
Chicago IL,,,,,,,,,,,44.0,
Clarksburg-Weston WV,,,,,,,,,,,59.0,
Columbia-Jefferson City MO,,,,,,,,,,,33.0,
Columbus GA,,,,,,,,,,,33.0,
Columbus-Tupelo-West Point MS,,,,,,,,,,,41.0,
Corpus Christi TX,,,,,,,,,,,19.0,
Dallas-Ft. Worth TX,,,,,,,,,,,40.0,
Duluth MN-Superior WI,,,,,,,,,,,42.0,
Elmira NY,,,,,,,,,,,34.0,
Erie PA,,,,,,,,,,,28.0,
Evansville IN,,,,,,,,,,,40.0,
Flint-Saginaw-Bay City MI,,,,,,,,,,,33.0,
