,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,54.0,72.0,,100,60.0,68,49,,58,33,18,35
Albany-Schenectady-Troy NY,31.0,21.0,34.0,39,56.0,49,34,38.0,41,33,22,42
Albuquerque-Santa Fe NM,44.0,68.0,61.0,62,62.0,75,75,91.0,79,59,43,63
Atlanta GA,47.0,47.0,59.0,76,78.0,61,47,64.0,66,49,46,47
Augusta GA,42.0,34.0,81.0,93,71.0,59,34,59.0,50,38,34,39
Austin TX,45.0,43.0,58.0,59,57.0,35,41,52.0,47,46,38,49
Bakersfield CA,89.0,100.0,92.0,66,98.0,100,100,100.0,100,100,100,86
Baltimore MD,49.0,39.0,36.0,61,58.0,66,49,56.0,53,45,34,49
Birmingham AL,46.0,40.0,64.0,37,53.0,51,40,51.0,54,51,36,46
Boise ID,38.0,31.0,20.0,38,40.0,31,42,32.0,35,22,26,26
Boston MA-Manchester NH,42.0,35.0,46.0,47,48.0,38,32,32.0,35,36,29,30
Buffalo NY,63.0,42.0,47.0,33,43.0,36,30,46.0,48,42,39,56
Burlington VT-Plattsburgh NY,47.0,10.0,41.0,33,29.0,28,31,28.0,30,27,21,28
Champaign & Springfield-Decatur IL,36.0,35.0,49.0,51,39.0,28,41,25.0,35,40,34,38
Charleston-Huntington WV,62.0,37.0,44.0,30,49.0,48,38,45.0,50,22,33,43
Charlotte NC,46.0,38.0,47.0,56,67.0,55,54,61.0,62,48,42,45
Chattanooga TN,14.0,39.0,41.0,61,67.0,40,55,55.0,55,45,45,49
Chicago IL,56.0,50.0,55.0,56,60.0,52,52,53.0,56,52,42,59
Cincinnati OH,31.0,37.0,41.0,49,48.0,56,39,50.0,51,43,38,56
Cleveland-Akron (Canton) OH,39.0,42.0,48.0,54,49.0,54,45,46.0,48,40,36,56
Colorado Springs-Pueblo CO,44.0,62.0,54.0,54,31.0,61,65,86.0,95,64,51,65
Columbia SC,40.0,45.0,46.0,62,53.0,44,52,54.0,42,60,47,56
Columbus OH,47.0,48.0,51.0,53,50.0,48,44,52.0,61,42,50,82
Dallas-Ft. Worth TX,58.0,48.0,58.0,60,62.0,58,44,54.0,57,45,41,51
Davenport IA-Rock Island-Moline IL,39.0,27.0,28.0,71,37.0,39,38,72.0,54,61,41,44
Dayton OH,53.0,30.0,26.0,32,39.0,41,44,59.0,67,41,34,50
Denver CO,40.0,46.0,53.0,70,63.0,59,51,67.0,71,69,69,100
