,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,52.0,38.0,,,,53,32,54,38,23,,34
Albany-Schenectady-Troy NY,22.0,41.0,38.0,46.0,51.0,52,32,37,42,28,21.0,45
Albuquerque-Santa Fe NM,36.0,66.0,59.0,62.0,67.0,88,71,87,75,57,43.0,67
Amarillo TX,56.0,,47.0,,,56,53,36,60,65,58.0,35
Atlanta GA,47.0,55.0,58.0,82.0,76.0,69,44,62,65,53,45.0,48
Augusta GA,59.0,34.0,85.0,95.0,67.0,61,26,64,54,52,35.0,38
Austin TX,48.0,57.0,54.0,72.0,54.0,38,35,50,43,52,39.0,49
Bakersfield CA,100.0,100.0,51.0,,100.0,100,100,92,100,100,100.0,85
Baltimore MD,45.0,47.0,35.0,64.0,53.0,71,41,53,50,47,36.0,50
Birmingham AL,61.0,49.0,63.0,35.0,42.0,58,37,48,52,53,37.0,49
Boise ID,35.0,41.0,13.0,25.0,34.0,27,36,38,46,27,20.0,19
Boston MA-Manchester NH,41.0,41.0,44.0,49.0,44.0,42,28,33,33,39,30.0,30
Buffalo NY,41.0,40.0,48.0,36.0,41.0,37,25,43,43,44,45.0,51
Burlington VT-Plattsburgh NY,44.0,23.0,44.0,42.0,30.0,37,20,36,28,33,28.0,26
Champaign & Springfield-Decatur IL,33.0,35.0,56.0,39.0,32.0,44,34,29,39,42,40.0,39
Charleston SC,29.0,30.0,58.0,14.0,50.0,49,40,62,57,60,35.0,38
Charlotte NC,44.0,43.0,47.0,61.0,60.0,63,46,54,57,51,42.0,47
Chattanooga TN,57.0,48.0,41.0,67.0,67.0,49,46,50,40,41,46.0,50
Chicago IL,51.0,57.0,55.0,62.0,58.0,55,45,49,57,57,48.0,60
Cincinnati OH,33.0,48.0,40.0,66.0,41.0,62,39,45,48,47,38.0,54
Cleveland-Akron (Canton) OH,43.0,47.0,45.0,62.0,46.0,61,37,45,46,42,38.0,54
Colorado Springs-Pueblo CO,51.0,61.0,70.0,64.0,45.0,74,52,83,93,71,57.0,67
Columbia SC,36.0,46.0,57.0,60.0,57.0,46,46,57,51,67,46.0,59
Columbus OH,40.0,48.0,54.0,61.0,49.0,53,36,50,59,46,52.0,82
Dallas-Ft. Worth TX,55.0,55.0,58.0,65.0,57.0,61,38,49,64,50,41.0,51
Dayton OH,47.0,27.0,41.0,41.0,42.0,56,40,56,67,48,36.0,53
Denver CO,42.0,52.0,51.0,75.0,60.0,67,48,62,69,74,71.0,99
Des Moines-Ames IA,38.0,19.0,32.0,55.0,29.0,58,34,39,47,43,38.0,37
Detroit MI,65.0,66.0,67.0,85.0,72.0,66,42,41,55,46,40.0,55
El Paso TX,49.0,44.0,49.0,61.0,43.0,40,37,50,50,42,36.0,47
Eugene OR,50.0,25.0,56.0,49.0,55.0,57,64,45,51,70,31.0,55
Flint-Saginaw-Bay City MI,28.0,44.0,38.0,72.0,33.0,24,32,36,32,32,27.0,34
Florence-Myrtle Beach SC,21.0,67.0,38.0,47.0,81.0,55,19,40,48,39,24.0,61
Fresno-Visalia CA,80.0,87.0,100.0,91.0,72.0,96,59,89,74,80,58.0,64
Ft. Myers-Naples FL,47.0,26.0,30.0,59.0,30.0,65,32,52,48,37,36.0,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,22.0,,21.0,56.0,39.0,39,23,40,60,43,32.0,40
Grand Rapids-Kalamazoo-Battle Creek MI,28.0,36.0,51.0,44.0,17.0,43,26,41,46,47,39.0,54
Green Bay-Appleton WI,32.0,29.0,27.0,28.0,44.0,31,20,31,14,31,20.0,46
Greensboro-High Point-Winston Salem NC,31.0,21.0,40.0,39.0,50.0,57,34,47,66,32,32.0,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49.0,57.0,41.0,71.0,31.0,63,34,51,52,52,36.0,47
Harlingen-Weslaco-Brownsville-McAllen TX,79.0,47.0,37.0,22.0,30.0,36,22,24,24,29,18.0,27
Harrisburg-Lancaster-Lebanon-York PA,43.0,37.0,45.0,34.0,40.0,36,21,38,35,30,27.0,41
Hartford & New Haven CT,38.0,47.0,49.0,62.0,49.0,63,49,70,67,71,52.0,56
Honolulu HI,65.0,45.0,57.0,81.0,79.0,56,45,59,65,61,40.0,55
Houston TX,53.0,63.0,59.0,74.0,70.0,67,46,57,61,62,38.0,56
Indianapolis IN,43.0,40.0,55.0,50.0,50.0,54,40,52,44,57,40.0,44
Jacksonville FL,49.0,44.0,58.0,36.0,68.0,61,34,52,58,49,35.0,35
Kansas City MO,72.0,70.0,55.0,71.0,65.0,86,56,66,66,71,53.0,64
Knoxville TN,56.0,64.0,58.0,39.0,40.0,49,25,43,42,46,32.0,40
Las Vegas NV,75.0,81.0,63.0,78.0,77.0,88,68,81,73,71,62.0,86
Lexington KY,14.0,43.0,59.0,66.0,60.0,46,35,41,37,43,30.0,43
Lincoln & Hastings-Kearney NE,51.0,41.0,31.0,24.0,60.0,58,40,47,49,53,29.0,38
Little Rock-Pine Bluff AR,23.0,58.0,39.0,56.0,77.0,49,43,50,39,51,40.0,49
Los Angeles CA,63.0,79.0,81.0,86.0,83.0,89,56,71,71,70,51.0,60
Louisville KY,39.0,38.0,50.0,62.0,47.0,71,41,64,58,65,49.0,58
Madison WI,31.0,51.0,47.0,47.0,57.0,48,25,59,51,51,36.0,57
Memphis TN,39.0,42.0,44.0,46.0,38.0,71,47,81,66,70,51.0,75
Miami-Ft. Lauderdale FL,49.0,55.0,71.0,70.0,67.0,70,53,54,63,51,36.0,45
Milwaukee WI,60.0,52.0,38.0,44.0,82.0,80,58,62,55,50,57.0,75
Minneapolis-St. Paul MN,42.0,44.0,38.0,66.0,50.0,43,37,46,48,58,58.0,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,38.0,33.0,40.0,43.0,37.0,46,40,40,56,52,31.0,41
Monterey-Salinas CA,62.0,61.0,86.0,53.0,74.0,93,34,74,83,31,46.0,30
Nashville TN,37.0,46.0,50.0,51.0,51.0,53,42,61,60,52,39.0,50
New Orleans LA,33.0,48.0,45.0,72.0,59.0,59,45,61,53,70,32.0,64
New York NY,49.0,48.0,50.0,55.0,49.0,47,33,43,40,42,32.0,38
Norfolk-Portsmouth-Newport News VA,47.0,49.0,48.0,59.0,52.0,61,36,54,56,53,37.0,58
Oklahoma City OK,44.0,39.0,51.0,53.0,58.0,65,46,62,62,59,42.0,44
Omaha NE,53.0,62.0,68.0,76.0,53.0,74,37,51,64,52,40.0,56
Orlando-Daytona Beach-Melbourne FL,47.0,56.0,56.0,63.0,62.0,64,43,49,59,49,31.0,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,57.0,39.0,58.0,34.0,51.0,35,26,51,47,53,40.0,26
Peoria-Bloomington IL,53.0,64.0,32.0,62.0,40.0,26,39,39,42,42,36.0,42
Philadelphia PA,49.0,56.0,69.0,67.0,48.0,52,34,44,48,46,39.0,57
Phoenix AZ,52.0,66.0,72.0,78.0,62.0,64,48,51,59,55,38.0,48
Pittsburgh PA,44.0,43.0,37.0,46.0,46.0,41,28,21,35,32,26.0,33
Portland OR,58.0,55.0,38.0,53.0,54.0,81,60,83,84,79,76.0,100
Portland-Auburn ME,36.0,30.0,62.0,27.0,34.0,11,29,28,21,43,18.0,27
Providence RI-New Bedford MA,44.0,47.0,38.0,71.0,71.0,52,44,39,46,48,44.0,35
Raleigh-Durham (Fayetteville) NC,28.0,37.0,48.0,49.0,51.0,39,28,39,45,46,35.0,37
Reno NV,61.0,25.0,47.0,92.0,71.0,79,54,53,73,49,47.0,46
Richmond-Petersburg VA,45.0,49.0,38.0,47.0,40.0,50,31,57,54,51,33.0,40
Rochester NY,46.0,46.0,48.0,58.0,51.0,41,27,49,37,37,35.0,50
Sacramento-Stockton-Modesto CA,64.0,98.0,93.0,93.0,87.0,97,66,93,86,80,54.0,68
Salt Lake City UT,52.0,44.0,61.0,70.0,58.0,64,38,48,49,53,36.0,42
San Antonio TX,66.0,68.0,69.0,85.0,72.0,70,43,62,59,61,40.0,61
San Diego CA,69.0,79.0,97.0,94.0,73.0,89,57,72,82,71,51.0,59
San Francisco-Oakland-San Jose CA,64.0,86.0,80.0,88.0,81.0,77,56,67,73,67,61.0,69
Santa Barbara-Santa Maria-San Luis Obispo CA,54.0,53.0,45.0,90.0,41.0,61,30,46,61,35,36.0,40
Savannah GA,19.0,51.0,43.0,66.0,30.0,47,31,53,39,49,39.0,37
Seattle-Tacoma WA,64.0,80.0,70.0,92.0,82.0,89,55,67,78,68,56.0,77
Shreveport LA,18.0,25.0,54.0,16.0,41.0,53,48,57,49,30,51.0,47
Sioux Falls(Mitchell) SD,23.0,37.0,71.0,32.0,49.0,44,16,32,50,35,44.0,28
Spokane WA,74.0,61.0,76.0,84.0,48.0,62,55,60,56,43,36.0,52
Springfield MO,54.0,65.0,67.0,37.0,39.0,56,40,61,51,49,33.0,40
Springfield-Holyoke MA,54.0,36.0,39.0,44.0,29.0,45,30,50,53,45,38.0,48
St. Louis MO,43.0,53.0,60.0,79.0,68.0,66,50,54,72,70,45.0,75
Syracuse NY,25.0,33.0,50.0,34.0,28.0,28,19,36,40,34,33.0,41
Tampa-St. Petersburg (Sarasota) FL,44.0,43.0,47.0,68.0,60.0,71,44,57,51,55,35.0,42
Toledo OH,38.0,59.0,62.0,40.0,20.0,39,19,50,35,31,41.0,46
Tucson (Sierra Vista) AZ,79.0,47.0,53.0,58.0,61.0,41,51,45,65,48,25.0,54
Tulsa OK,66.0,39.0,78.0,40.0,55.0,86,41,100,96,74,51.0,58
Waco-Temple-Bryan TX,23.0,43.0,24.0,75.0,63.0,46,37,38,64,48,30.0,45
Washington DC (Hagerstown MD),45.0,49.0,51.0,54.0,44.0,48,31,36,41,43,34.0,42
West Palm Beach-Ft. Pierce FL,46.0,56.0,50.0,46.0,41.0,66,51,52,48,40,40.0,43
Wichita-Hutchinson KS,52.0,42.0,72.0,71.0,61.0,58,47,71,47,51,42.0,56
Wilkes Barre-Scranton PA,45.0,43.0,49.0,72.0,33.0,43,26,40,49,35,28.0,36
Baton Rouge LA,,13.0,51.0,60.0,69.0,57,32,51,46,33,41.0,56
Charleston-Huntington WV,,32.0,46.0,42.0,46.0,53,30,34,46,26,30.0,39
Davenport IA-Rock Island-Moline IL,,30.0,25.0,100.0,39.0,25,29,71,48,67,45.0,46
Huntsville-Decatur (Florence) AL,,48.0,71.0,43.0,61.0,40,30,45,38,46,30.0,41
Lansing MI,,39.0,57.0,74.0,54.0,30,28,35,40,51,24.0,37
Roanoke-Lynchburg VA,,56.0,31.0,16.0,10.0,40,31,33,43,33,24.0,35
Yakima-Pasco-Richland-Kennewick WA,,70.0,18.0,39.0,30.0,76,47,42,61,45,41.0,73
