,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,95.0,36.0,,100.0,,94.0,45.0,65.0,39.0,18.0,23.0,29
Albany-Schenectady-Troy NY,36.0,26.0,51.0,49.0,52.0,49.0,36.0,34.0,42.0,33.0,21.0,44
Albuquerque-Santa Fe NM,30.0,49.0,59.0,61.0,72.0,72.0,80.0,77.0,73.0,61.0,44.0,64
Amarillo TX,35.0,21.0,33.0,,40.0,26.0,57.0,43.0,81.0,34.0,41.0,33
Atlanta GA,48.0,41.0,53.0,83.0,78.0,66.0,50.0,57.0,64.0,50.0,44.0,49
Augusta GA,49.0,62.0,83.0,94.0,73.0,58.0,39.0,51.0,46.0,45.0,34.0,35
Austin TX,45.0,42.0,48.0,66.0,61.0,37.0,41.0,43.0,46.0,48.0,38.0,50
Bakersfield CA,100.0,100.0,53.0,73.0,97.0,100.0,100.0,100.0,86.0,100.0,100.0,91
Baltimore MD,51.0,35.0,35.0,65.0,54.0,66.0,48.0,49.0,52.0,48.0,35.0,51
Baton Rouge LA,31.0,11.0,43.0,68.0,57.0,46.0,34.0,48.0,46.0,41.0,41.0,51
Birmingham AL,49.0,31.0,58.0,38.0,44.0,55.0,40.0,44.0,55.0,51.0,36.0,49
Boston MA-Manchester NH,45.0,32.0,45.0,48.0,48.0,39.0,31.0,31.0,33.0,37.0,29.0,30
Buffalo NY,50.0,52.0,47.0,31.0,47.0,39.0,27.0,44.0,42.0,46.0,37.0,53
Burlington VT-Plattsburgh NY,52.0,18.0,17.0,15.0,42.0,33.0,36.0,33.0,39.0,28.0,20.0,26
Champaign & Springfield-Decatur IL,16.0,23.0,55.0,38.0,22.0,33.0,38.0,27.0,35.0,41.0,33.0,35
Charleston SC,35.0,23.0,33.0,34.0,76.0,63.0,44.0,58.0,58.0,54.0,33.0,35
Charleston-Huntington WV,20.0,43.0,40.0,44.0,37.0,42.0,37.0,46.0,50.0,31.0,30.0,51
Charlotte NC,47.0,33.0,48.0,61.0,65.0,55.0,50.0,51.0,59.0,49.0,41.0,47
Chattanooga TN,48.0,33.0,41.0,60.0,35.0,44.0,56.0,45.0,46.0,44.0,41.0,51
Chicago IL,55.0,41.0,52.0,62.0,60.0,54.0,50.0,46.0,56.0,54.0,45.0,61
Cincinnati OH,42.0,30.0,45.0,61.0,51.0,57.0,39.0,40.0,49.0,45.0,39.0,54
Cleveland-Akron (Canton) OH,43.0,34.0,40.0,64.0,50.0,56.0,40.0,43.0,47.0,40.0,38.0,60
Colorado Springs-Pueblo CO,67.0,53.0,68.0,74.0,36.0,61.0,58.0,84.0,86.0,67.0,50.0,70
Columbia SC,56.0,43.0,63.0,53.0,66.0,48.0,50.0,55.0,50.0,60.0,48.0,56
Columbus OH,44.0,39.0,51.0,58.0,57.0,47.0,42.0,45.0,56.0,44.0,48.0,83
Dallas-Ft. Worth TX,63.0,42.0,55.0,67.0,67.0,57.0,44.0,45.0,57.0,46.0,40.0,51
Dayton OH,38.0,30.0,35.0,55.0,54.0,51.0,47.0,50.0,63.0,45.0,32.0,52
Denver CO,44.0,39.0,54.0,71.0,65.0,61.0,55.0,59.0,67.0,68.0,63.0,100
Des Moines-Ames IA,42.0,26.0,33.0,47.0,35.0,53.0,37.0,33.0,39.0,39.0,31.0,34
Detroit MI,69.0,51.0,67.0,84.0,79.0,60.0,47.0,39.0,55.0,45.0,40.0,55
El Paso TX,56.0,27.0,42.0,46.0,,38.0,42.0,42.0,44.0,48.0,37.0,48
Eugene OR,43.0,13.0,71.0,58.0,54.0,49.0,76.0,43.0,66.0,56.0,50.0,55
Flint-Saginaw-Bay City MI,23.0,36.0,33.0,38.0,,31.0,39.0,40.0,33.0,28.0,27.0,33
