,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,52.0,38.0,,,32,53,32,54,59,17,24,34
Albany-Schenectady-Troy NY,22.0,41.0,38.0,46.0,46,52,32,37,43,29,21,43
Albuquerque-Santa Fe NM,36.0,66.0,59.0,62.0,64,88,71,81,75,56,44,67
Amarillo TX,56.0,,47.0,,33,56,53,36,62,36,52,36
Atlanta GA,47.0,55.0,58.0,82.0,75,69,44,61,69,48,46,48
Augusta GA,59.0,34.0,85.0,95.0,63,61,26,65,53,42,42,40
Austin TX,48.0,57.0,54.0,72.0,50,38,35,47,50,45,39,52
Bakersfield CA,100.0,100.0,51.0,,100,100,100,92,90,100,100,89
Baltimore MD,45.0,47.0,35.0,64.0,48,71,41,52,53,46,39,50
Birmingham AL,61.0,49.0,63.0,35.0,39,58,37,48,60,48,39,46
Boise ID,35.0,41.0,13.0,25.0,55,27,36,37,48,22,25,28
Boston MA-Manchester NH,41.0,41.0,44.0,49.0,45,42,28,33,35,36,29,33
Buffalo NY,41.0,40.0,48.0,36.0,30,37,25,43,50,45,40,55
Burlington VT-Plattsburgh NY,44.0,23.0,44.0,42.0,28,37,20,36,28,27,23,29
Champaign & Springfield-Decatur IL,33.0,35.0,56.0,39.0,30,44,34,27,37,39,37,35
Charleston SC,29.0,30.0,58.0,14.0,60,49,40,62,64,63,28,36
Charlotte NC,44.0,43.0,47.0,61.0,56,63,46,54,62,46,42,48
Chattanooga TN,57.0,48.0,41.0,67.0,46,49,46,49,52,39,52,54
Chicago IL,51.0,57.0,55.0,62.0,56,55,45,49,63,52,48,61
Cincinnati OH,33.0,48.0,40.0,66.0,42,62,39,45,53,40,40,55
Cleveland-Akron (Canton) OH,43.0,47.0,45.0,62.0,46,61,37,45,50,36,40,58
Colorado Springs-Pueblo CO,51.0,61.0,70.0,64.0,53,74,52,83,90,65,52,73
Columbia SC,36.0,46.0,57.0,60.0,56,46,46,57,52,55,46,58
Columbus OH,40.0,48.0,54.0,61.0,53,53,36,50,63,40,52,82
Dallas-Ft. Worth TX,55.0,55.0,58.0,65.0,57,61,38,48,64,47,42,54
Dayton OH,47.0,27.0,41.0,41.0,32,56,40,54,72,43,31,50
Denver CO,42.0,52.0,51.0,75.0,59,67,48,62,73,65,71,100
Des Moines-Ames IA,38.0,19.0,32.0,55.0,35,58,34,39,40,36,38,37
Detroit MI,65.0,66.0,67.0,85.0,70,66,42,41,59,47,41,57
El Paso TX,49.0,44.0,49.0,61.0,18,40,37,38,50,36,35,53
Eugene OR,50.0,25.0,56.0,49.0,70,57,64,36,66,47,47,52
Flint-Saginaw-Bay City MI,28.0,44.0,38.0,72.0,22,24,32,31,28,30,36,38
Florence-Myrtle Beach SC,21.0,67.0,38.0,47.0,78,55,19,40,41,34,25,56
Fresno-Visalia CA,80.0,87.0,100.0,91.0,80,96,59,91,76,71,60,67
Ft. Myers-Naples FL,47.0,26.0,30.0,59.0,22,65,32,52,54,35,32,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,22.0,,21.0,56.0,32,39,23,40,63,38,40,40
Grand Rapids-Kalamazoo-Battle Creek MI,28.0,36.0,51.0,44.0,35,43,26,41,49,40,37,55
Green Bay-Appleton WI,32.0,29.0,27.0,28.0,42,31,20,31,30,30,17,47
Greensboro-High Point-Winston Salem NC,31.0,21.0,40.0,39.0,54,57,34,46,74,33,38,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49.0,57.0,41.0,71.0,45,63,34,50,54,48,35,49
Harlingen-Weslaco-Brownsville-McAllen TX,79.0,47.0,37.0,22.0,31,36,22,24,26,23,20,27
Harrisburg-Lancaster-Lebanon-York PA,43.0,37.0,45.0,34.0,37,36,21,37,39,24,26,39
Hartford & New Haven CT,38.0,47.0,49.0,62.0,63,63,49,68,70,65,51,59
Honolulu HI,65.0,45.0,57.0,81.0,78,56,45,59,60,44,40,56
Houston TX,53.0,63.0,59.0,74.0,71,67,46,57,67,57,41,59
Indianapolis IN,43.0,40.0,55.0,50.0,53,54,40,52,48,50,44,46
Jacksonville FL,49.0,44.0,58.0,36.0,60,61,34,52,66,46,36,37
Kansas City MO,72.0,70.0,55.0,71.0,70,86,56,67,69,63,53,68
Knoxville TN,56.0,64.0,58.0,39.0,38,49,25,43,48,48,36,38
Las Vegas NV,75.0,81.0,63.0,78.0,83,88,68,81,83,69,63,88
Lexington KY,14.0,43.0,59.0,66.0,54,46,35,40,41,46,34,42
Lincoln & Hastings-Kearney NE,51.0,41.0,31.0,24.0,44,58,40,47,52,37,30,45
Little Rock-Pine Bluff AR,23.0,58.0,39.0,56.0,50,49,43,48,51,47,39,47
Los Angeles CA,63.0,79.0,81.0,86.0,83,89,56,71,75,62,52,62
Louisville KY,39.0,38.0,50.0,62.0,42,71,41,63,60,60,54,57
Madison WI,31.0,51.0,47.0,47.0,51,48,25,59,58,48,46,49
Memphis TN,39.0,42.0,44.0,46.0,38,71,47,78,72,66,50,79
Miami-Ft. Lauderdale FL,49.0,55.0,71.0,70.0,61,70,53,54,67,46,37,47
Milwaukee WI,60.0,52.0,38.0,44.0,87,80,58,62,53,49,63,79
Minneapolis-St. Paul MN,42.0,44.0,38.0,66.0,49,43,37,46,51,55,59,66
Mobile AL-Pensacola (Ft. Walton Beach) FL,38.0,33.0,40.0,43.0,31,46,40,40,65,47,27,37
Monterey-Salinas CA,62.0,61.0,86.0,53.0,64,93,34,74,80,34,39,32
Nashville TN,37.0,46.0,50.0,51.0,47,53,42,60,64,48,38,51
New Orleans LA,33.0,48.0,45.0,72.0,58,59,45,60,60,61,33,64
New York NY,49.0,48.0,50.0,55.0,50,47,33,43,44,38,34,39
Norfolk-Portsmouth-Newport News VA,47.0,49.0,48.0,59.0,53,61,36,54,55,48,40,62
Oklahoma City OK,44.0,39.0,51.0,53.0,60,65,46,62,65,50,42,46
Omaha NE,53.0,62.0,68.0,76.0,54,74,37,51,67,48,47,56
Orlando-Daytona Beach-Melbourne FL,47.0,56.0,56.0,63.0,62,64,43,49,64,45,33,42
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,57.0,39.0,58.0,34.0,42,35,26,51,67,35,46,34
Peoria-Bloomington IL,53.0,64.0,32.0,62.0,53,26,39,39,49,33,36,40
Philadelphia PA,49.0,56.0,69.0,67.0,49,52,34,44,51,46,39,57
Phoenix AZ,52.0,66.0,72.0,78.0,58,64,48,51,64,50,39,51
Pittsburgh PA,44.0,43.0,37.0,46.0,47,41,28,21,36,33,26,35
Portland OR,58.0,55.0,38.0,53.0,56,81,60,84,88,74,79,97
Portland-Auburn ME,36.0,30.0,62.0,27.0,35,11,29,28,23,32,20,36
Providence RI-New Bedford MA,44.0,47.0,38.0,71.0,66,52,44,37,45,42,52,37
Raleigh-Durham (Fayetteville) NC,28.0,37.0,48.0,49.0,45,39,28,39,46,42,35,38
Reno NV,61.0,25.0,47.0,92.0,65,79,54,53,73,51,47,49
Richmond-Petersburg VA,45.0,49.0,38.0,47.0,36,50,31,57,57,43,31,40
Rochester NY,46.0,46.0,48.0,58.0,56,41,27,57,36,32,38,49
Sacramento-Stockton-Modesto CA,64.0,98.0,93.0,93.0,92,97,66,93,92,78,54,68
Salt Lake City UT,52.0,44.0,61.0,70.0,68,64,38,48,52,48,34,45
San Antonio TX,66.0,68.0,69.0,85.0,70,70,43,61,59,57,40,61
San Diego CA,69.0,79.0,97.0,94.0,76,89,57,72,85,62,52,62
San Francisco-Oakland-San Jose CA,64.0,86.0,80.0,88.0,80,77,56,66,81,62,65,72
Santa Barbara-Santa Maria-San Luis Obispo CA,54.0,53.0,45.0,90.0,52,61,30,45,66,30,29,41
Savannah GA,19.0,51.0,43.0,66.0,22,47,31,53,39,50,34,38
Seattle-Tacoma WA,64.0,80.0,70.0,92.0,79,89,55,67,81,63,59,78
Shreveport LA,18.0,25.0,54.0,16.0,30,53,48,56,54,30,28,49
Sioux Falls(Mitchell) SD,23.0,37.0,71.0,32.0,65,44,16,32,63,28,45,25
Spokane WA,74.0,61.0,76.0,84.0,45,62,55,60,49,37,38,54
Springfield MO,54.0,65.0,67.0,37.0,27,56,40,60,64,43,30,42
Springfield-Holyoke MA,54.0,36.0,39.0,44.0,32,45,30,50,58,37,32,47
St. Louis MO,43.0,53.0,60.0,79.0,67,66,50,54,76,62,51,80
Syracuse NY,25.0,33.0,50.0,34.0,26,28,19,35,43,32,31,42
Tampa-St. Petersburg (Sarasota) FL,44.0,43.0,47.0,68.0,58,71,44,57,54,50,35,45
Toledo OH,38.0,59.0,62.0,40.0,27,39,19,50,48,35,45,54
Tucson (Sierra Vista) AZ,79.0,47.0,53.0,58.0,64,41,51,44,70,43,23,55
Tulsa OK,66.0,39.0,78.0,40.0,44,86,41,100,100,69,56,53
Waco-Temple-Bryan TX,23.0,43.0,24.0,75.0,66,46,37,37,70,40,26,55
Washington DC (Hagerstown MD),45.0,49.0,51.0,54.0,43,48,31,36,42,39,35,41
West Palm Beach-Ft. Pierce FL,46.0,56.0,50.0,46.0,43,66,51,51,52,35,42,46
Wichita-Hutchinson KS,52.0,42.0,72.0,71.0,64,58,47,71,55,50,45,55
Wilkes Barre-Scranton PA,45.0,43.0,49.0,72.0,40,43,26,36,51,36,28,41
Baton Rouge LA,,13.0,51.0,60.0,60,57,32,51,44,46,35,48
Charleston-Huntington WV,,32.0,46.0,42.0,56,53,30,34,54,28,23,39
