,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,61.0,36.0,,94,57.0,94,45,18,66,18,28,40
Albany-Schenectady-Troy NY,45.0,28.0,44.0,46,56.0,49,28,37,47,33,20,44
Albuquerque-Santa Fe NM,44.0,49.0,64.0,60,72.0,73,73,87,82,58,41,65
Atlanta GA,52.0,41.0,60.0,78,78.0,64,46,64,73,50,41,49
Augusta GA,56.0,62.0,89.0,88,73.0,58,32,59,52,48,32,35
Austin TX,49.0,42.0,60.0,62,61.0,38,38,48,53,47,36,50
Bakersfield CA,100.0,100.0,92.0,70,97.0,100,100,85,97,100,100,92
Baltimore MD,52.0,35.0,38.0,60,54.0,69,43,57,56,48,32,49
Birmingham AL,46.0,31.0,64.0,33,34.0,50,38,53,65,48,34,49
Boston MA-Manchester NH,42.0,32.0,51.0,45,48.0,39,28,34,36,37,26,30
Buffalo NY,60.0,52.0,52.0,29,50.0,39,28,40,51,46,37,54
Burlington VT-Plattsburgh NY,54.0,18.0,40.0,14,43.0,31,28,30,44,27,19,26
Champaign & Springfield-Decatur IL,44.0,23.0,71.0,36,22.0,33,36,28,39,39,34,37
Charleston SC,32.0,25.0,61.0,32,76.0,63,40,64,65,54,28,36
Charleston-Huntington WV,64.0,43.0,57.0,42,51.0,44,39,44,57,28,31,51
Charlotte NC,44.0,33.0,45.0,57,65.0,56,45,54,65,49,37,47
Chattanooga TN,45.0,54.0,41.0,57,51.0,44,53,43,50,41,42,51
Chicago IL,56.0,41.0,59.0,58,58.0,55,46,52,60,54,42,61
Cincinnati OH,37.0,30.0,47.0,54,51.0,57,36,47,55,45,35,53
Cleveland-Akron (Canton) OH,49.0,34.0,49.0,59,52.0,58,39,47,52,40,34,60
Colorado Springs-Pueblo CO,62.0,53.0,70.0,67,36.0,66,54,89,99,71,49,69
Columbia SC,56.0,43.0,51.0,55,66.0,48,48,62,56,59,43,56
Columbus OH,48.0,39.0,51.0,54,57.0,51,39,46,63,43,47,83
Dallas-Ft. Worth TX,63.0,42.0,62.0,62,62.0,57,43,50,64,46,37,51
Davenport IA-Rock Island-Moline IL,20.0,49.0,19.0,47,58.0,48,31,57,59,60,48,46
Dayton OH,50.0,30.0,41.0,37,56.0,52,43,53,73,45,32,51
Denver CO,43.0,39.0,60.0,67,61.0,61,48,66,76,67,63,100
Des Moines-Ames IA,45.0,20.0,34.0,49,35.0,54,33,40,44,37,36,35
Detroit MI,74.0,49.0,74.0,80,79.0,61,44,44,62,44,37,54
El Paso TX,41.0,27.0,67.0,43,24.0,42,40,48,49,41,29,48
Eugene OR,50.0,13.0,96.0,56,54.0,49,63,58,67,52,49,55
Flint-Saginaw-Bay City MI,29.0,35.0,34.0,37,,31,41,30,33,28,30,34
Florence-Myrtle Beach SC,39.0,47.0,22.0,42,91.0,43,40,47,58,29,23,58
Fresno-Visalia CA,71.0,58.0,98.0,90,83.0,90,58,100,78,72,54,68
Ft. Myers-Naples FL,37.0,24.0,37.0,38,32.0,62,40,52,55,37,29,25
