,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,62.0,36.0,,100.0,,94,45,65,39,18,23,29
Albany-Schenectady-Troy NY,19.0,26.0,51.0,49.0,51.0,49,31,34,42,33,21,44
Albuquerque-Santa Fe NM,34.0,49.0,59.0,61.0,65.0,72,73,77,73,61,44,64
Atlanta GA,40.0,41.0,53.0,83.0,71.0,66,47,57,64,50,44,49
Augusta GA,40.0,62.0,83.0,94.0,68.0,58,32,51,46,45,34,35
Austin TX,38.0,42.0,48.0,66.0,55.0,37,38,43,46,48,38,50
Bakersfield CA,100.0,100.0,53.0,73.0,100.0,100,100,100,86,100,100,91
Baltimore MD,39.0,35.0,35.0,65.0,52.0,66,43,49,52,48,35,51
Baton Rouge LA,19.0,11.0,43.0,68.0,48.0,46,29,48,46,41,41,51
Birmingham AL,43.0,31.0,58.0,38.0,44.0,55,38,44,55,51,36,49
Boston MA-Manchester NH,38.0,32.0,45.0,48.0,44.0,39,28,31,33,37,29,30
Buffalo NY,43.0,52.0,47.0,31.0,40.0,39,27,44,42,46,37,53
Burlington VT-Plattsburgh NY,39.0,18.0,17.0,15.0,22.0,33,28,33,39,28,20,26
Champaign & Springfield-Decatur IL,20.0,23.0,55.0,38.0,27.0,33,36,27,35,41,33,35
Charleston SC,17.0,23.0,33.0,34.0,62.0,63,35,58,58,54,33,35
Charleston-Huntington WV,13.0,43.0,40.0,44.0,50.0,42,39,46,50,31,30,51
Charlotte NC,36.0,33.0,48.0,61.0,56.0,55,50,51,59,49,41,47
Chattanooga TN,34.0,33.0,41.0,60.0,58.0,44,52,45,46,44,41,51
Chicago IL,45.0,41.0,52.0,62.0,54.0,54,46,46,56,54,45,61
Cincinnati OH,32.0,30.0,45.0,61.0,49.0,57,38,40,49,45,39,54
Cleveland-Akron (Canton) OH,40.0,34.0,40.0,64.0,47.0,56,39,43,47,40,38,60
Colorado Springs-Pueblo CO,48.0,53.0,68.0,74.0,45.0,61,52,84,86,67,50,70
Columbia SC,46.0,43.0,63.0,53.0,55.0,48,48,55,50,60,48,56
Columbus OH,41.0,39.0,51.0,58.0,53.0,47,39,45,56,44,48,83
Dallas-Ft. Worth TX,52.0,42.0,55.0,67.0,56.0,57,42,45,57,46,40,51
Davenport IA-Rock Island-Moline IL,17.0,49.0,53.0,52.0,29.0,48,31,56,53,60,37,46
Dayton OH,35.0,30.0,35.0,55.0,36.0,51,44,50,63,45,32,52
Denver CO,37.0,39.0,54.0,71.0,58.0,61,47,59,67,68,63,100
Des Moines-Ames IA,48.0,26.0,33.0,47.0,30.0,53,33,33,39,39,31,34
Detroit MI,56.0,51.0,67.0,84.0,70.0,60,44,39,55,45,40,55
El Paso TX,30.0,27.0,42.0,46.0,24.0,38,40,42,44,48,37,48
Eugene OR,47.0,13.0,71.0,58.0,39.0,49,63,43,66,56,50,55
Flint-Saginaw-Bay City MI,36.0,36.0,33.0,38.0,23.0,31,29,40,33,28,27,33
Fresno-Visalia CA,59.0,58.0,100.0,96.0,74.0,89,60,85,70,72,57,68
Ft. Myers-Naples FL,33.0,24.0,44.0,40.0,23.0,61,38,49,49,35,29,25
Grand Rapids-Kalamazoo-Battle Creek MI,28.0,24.0,32.0,38.0,31.0,38,28,38,39,42,35,55
Green Bay-Appleton WI,13.0,23.0,25.0,28.0,39.0,43,22,28,28,25,21,47
Greensboro-High Point-Winston Salem NC,28.0,21.0,34.0,31.0,61.0,52,32,50,71,37,37,44
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48.0,49.0,47.0,69.0,31.0,61,37,46,51,49,33,47
Harlingen-Weslaco-Brownsville-McAllen TX,51.0,35.0,43.0,29.0,21.0,36,22,20,21,27,23,27
Harrisburg-Lancaster-Lebanon-York PA,39.0,36.0,35.0,51.0,36.0,23,20,37,39,28,26,41
Hartford & New Haven CT,35.0,37.0,38.0,64.0,61.0,61,52,65,69,68,49,55
Honolulu HI,53.0,38.0,46.0,77.0,78.0,59,41,56,52,52,40,52
Houston TX,48.0,50.0,58.0,74.0,70.0,63,47,55,60,58,38,58
Huntsville-Decatur (Florence) AL,30.0,32.0,48.0,65.0,45.0,41,34,38,33,38,29,38
Indianapolis IN,47.0,32.0,58.0,61.0,41.0,48,36,50,45,55,41,43
Jacksonville FL,35.0,42.0,42.0,46.0,64.0,54,39,51,58,45,33,38
Kansas City MO,50.0,56.0,61.0,75.0,60.0,78,58,62,68,69,53,63
Knoxville TN,55.0,35.0,46.0,48.0,37.0,39,30,44,44,38,32,40
