,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,95.0,36.0,,100.0,57.0,94,61,65,57,18,24,31
Albany-Schenectady-Troy NY,36.0,28.0,36.0,49.0,56.0,49,42,34,41,33,21,36
Albuquerque-Santa Fe NM,30.0,49.0,59.0,63.0,72.0,73,78,78,72,58,44,67
Amarillo TX,35.0,21.0,33.0,,56.0,27,57,43,79,34,30,30
Atlanta GA,48.0,41.0,53.0,83.0,78.0,64,50,57,63,50,44,47
Augusta GA,49.0,62.0,36.0,93.0,73.0,58,33,44,45,48,34,43
Austin TX,45.0,42.0,50.0,66.0,61.0,38,41,46,46,47,38,53
Bakersfield CA,100.0,100.0,53.0,74.0,97.0,100,100,100,84,100,100,88
Baltimore MD,51.0,35.0,35.0,64.0,54.0,69,46,49,51,48,35,49
Baton Rouge LA,31.0,11.0,59.0,68.0,57.0,46,34,48,45,41,43,54
Birmingham AL,49.0,31.0,40.0,35.0,34.0,52,41,44,56,51,36,47
Boise ID,68.0,36.0,16.0,41.0,42.0,30,46,37,44,20,20,23
Boston MA-Manchester NH,45.0,32.0,45.0,47.0,48.0,39,31,31,31,37,28,30
Buffalo NY,50.0,52.0,47.0,31.0,47.0,39,28,44,44,46,38,58
Burlington VT-Plattsburgh NY,52.0,18.0,18.0,15.0,43.0,34,18,33,38,27,23,23
Champaign & Springfield-Decatur IL,41.0,23.0,55.0,38.0,22.0,33,38,28,34,39,31,38
Charleston SC,35.0,25.0,33.0,34.0,76.0,63,44,58,57,54,32,34
Charleston-Huntington WV,20.0,43.0,40.0,44.0,37.0,42,37,47,49,29,29,46
Charlotte NC,47.0,33.0,48.0,60.0,65.0,56,50,51,57,49,41,47
Chattanooga TN,48.0,54.0,41.0,60.0,35.0,44,59,48,45,44,47,43
Chicago IL,55.0,41.0,53.0,61.0,58.0,55,51,46,55,54,45,63
Cincinnati OH,42.0,30.0,45.0,57.0,51.0,57,41,40,48,45,38,57
Cleveland-Akron (Canton) OH,49.0,34.0,45.0,64.0,50.0,57,41,43,45,40,38,55
Colorado Springs-Pueblo CO,50.0,53.0,68.0,71.0,36.0,66,57,84,86,71,50,66
Columbia SC,56.0,43.0,63.0,53.0,66.0,48,53,55,49,59,48,62
Columbus OH,44.0,39.0,50.0,58.0,57.0,49,41,45,55,43,44,83
Dallas-Ft. Worth TX,63.0,42.0,55.0,66.0,62.0,57,45,45,56,46,40,53
Dayton OH,38.0,30.0,38.0,39.0,54.0,52,47,50,64,45,32,51
Denver CO,44.0,39.0,54.0,70.0,61.0,61,55,59,66,67,63,100
Des Moines-Ames IA,42.0,20.0,33.0,52.0,35.0,54,37,33,38,37,31,36
Detroit MI,69.0,49.0,67.0,84.0,79.0,61,48,38,54,44,40,56
El Paso TX,56.0,27.0,61.0,46.0,24.0,38,41,50,43,41,38,52
Eugene OR,44.0,13.0,53.0,57.0,54.0,49,75,37,62,52,50,57
