,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,55.0,51.0,,52,74.0,30,54,41,78,,28,50
Albany-Schenectady-Troy NY,21.0,32.0,38.0,53,43.0,49,28,41,44,31.0,19,45
Albuquerque-Santa Fe NM,23.0,54.0,56.0,62,74.0,86,75,87,80,60.0,42,68
Atlanta GA,42.0,41.0,53.0,91,80.0,66,46,66,70,53.0,41,49
Austin TX,41.0,40.0,53.0,68,55.0,39,37,53,50,50.0,34,51
Bakersfield CA,100.0,100.0,21.0,71,97.0,100,100,92,100,100.0,100,93
Baltimore MD,37.0,38.0,31.0,57,54.0,70,42,57,57,48.0,31,52
Birmingham AL,49.0,34.0,40.0,39,53.0,54,36,57,59,51.0,35,48
Boise ID,25.0,40.0,10.0,40,41.0,21,31,38,41,23.0,21,21
Boston MA-Manchester NH,37.0,30.0,43.0,49,48.0,40,28,35,35,39.0,26,33
Buffalo NY,50.0,49.0,37.0,47,45.0,37,26,46,49,47.0,37,57
Burlington VT-Plattsburgh NY,30.0,,36.0,28,35.0,29,29,34,35,29.0,19,36
Champaign & Springfield-Decatur IL,37.0,28.0,46.0,29,33.0,33,35,21,34,44.0,32,43
Charleston SC,99.0,36.0,31.0,52,66.0,58,36,65,50,61.0,27,39
Charleston-Huntington WV,33.0,23.0,34.0,32,54.0,53,34,34,57,24.0,27,42
Charlotte NC,41.0,36.0,43.0,62,72.0,60,48,57,64,51.0,38,50
Chattanooga TN,82.0,35.0,51.0,75,54.0,36,50,53,48,47.0,44,50
Chicago IL,47.0,45.0,54.0,65,60.0,55,49,52,63,56.0,42,64
Cincinnati OH,35.0,23.0,43.0,55,48.0,59,38,49,53,46.0,34,57
Cleveland-Akron (Canton) OH,50.0,42.0,40.0,60,55.0,60,39,49,52,41.0,34,60
Colorado Springs-Pueblo CO,58.0,57.0,55.0,70,41.0,64,49,93,92,76.0,49,74
Columbia SC,37.0,27.0,52.0,60,60.0,52,46,63,53,65.0,41,60
Columbus OH,35.0,40.0,49.0,60,62.0,51,37,52,61,45.0,44,88
Dallas-Ft. Worth TX,52.0,43.0,55.0,68,64.0,58,41,53,61,51.0,37,53
Davenport IA-Rock Island-Moline IL,42.0,42.0,52.0,48,69.0,42,27,71,56,59.0,38,47
Dayton OH,44.0,28.0,27.0,53,47.0,46,44,67,74,43.0,32,54
Denver CO,33.0,40.0,51.0,80,67.0,64,49,69,80,71.0,63,100
Des Moines-Ames IA,36.0,21.0,26.0,37,30.0,48,35,40,39,37.0,33,41
Detroit MI,55.0,52.0,66.0,86,81.0,62,44,48,59,47.0,37,57
El Paso TX,49.0,57.0,57.0,46,54.0,54,40,49,50,37.0,30,54
Eugene OR,31.0,10.0,60.0,38,57.0,59,66,64,82,60.0,40,63
Flint-Saginaw-Bay City MI,15.0,39.0,53.0,31,25.0,25,38,39,35,31.0,29,35
Fresno-Visalia CA,66.0,56.0,100.0,91,100.0,85,63,89,77,74.0,53,71
Ft. Myers-Naples FL,41.0,31.0,30.0,45,52.0,65,38,55,48,37.0,28,29
Ft. Smith-Fayetteville-Springdale-Rogers AR,23.0,16.0,23.0,92,40.0,37,25,43,57,41.0,34,36
Grand Rapids-Kalamazoo-Battle Creek MI,37.0,25.0,40.0,47,47.0,40,30,47,48,45.0,33,58
Green Bay-Appleton WI,10.0,20.0,24.0,46,45.0,35,22,31,29,23.0,16,49
Greensboro-High Point-Winston Salem NC,24.0,20.0,32.0,33,58.0,55,35,62,66,35.0,33,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40.0,47.0,41.0,79,37.0,61,40,59,54,52.0,31,49
Harlingen-Weslaco-Brownsville-McAllen TX,52.0,51.0,45.0,51,30.0,35,23,24,22,27.0,21,30
Harrisburg-Lancaster-Lebanon-York PA,37.0,37.0,41.0,44,33.0,32,21,38,40,30.0,23,40
Hartford & New Haven CT,29.0,39.0,36.0,66,67.0,61,52,80,72,69.0,45,59
