,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,69.0,100.0,100.0,,55.0,,,52.0,,,22.0,28
Austin TX,49.0,49.0,38.0,,58.0,39.0,,54.0,,,39.0,48
Birmingham AL,54.0,47.0,36.0,,53.0,50.0,,54.0,,,34.0,42
Champaign & Springfield-Decatur IL,39.0,23.0,43.0,,31.0,22.0,,34.0,,,35.0,37
Chattanooga TN,59.0,44.0,,,71.0,48.0,,46.0,,,48.0,51
Chicago IL,55.0,57.0,38.0,,59.0,53.0,,51.0,,,46.0,61
Dallas-Ft. Worth TX,62.0,55.0,39.0,,65.0,55.0,,52.0,,,42.0,54
Ft. Smith-Fayetteville-Springdale-Rogers AR,21.0,15.0,,,31.0,46.0,,44.0,,,39.0,34
Green Bay-Appleton WI,13.0,24.0,22.0,,53.0,42.0,,33.0,,,17.0,45
Harlingen-Weslaco-Brownsville-McAllen TX,69.0,24.0,32.0,,26.0,35.0,,27.0,,,17.0,23
Houston TX,54.0,64.0,42.0,,73.0,62.0,,60.0,,,39.0,59
Kansas City MO,62.0,79.0,44.0,,65.0,75.0,,70.0,,,55.0,67
Madison WI,37.0,57.0,31.0,,57.0,40.0,,62.0,,,36.0,52
Memphis TN,37.0,56.0,29.0,,38.0,78.0,,86.0,,,53.0,79
Milwaukee WI,47.0,45.0,23.0,,85.0,71.0,,65.0,,,60.0,77
Minneapolis-St. Paul MN,49.0,42.0,28.0,,53.0,38.0,,48.0,,,59.0,62
Nashville TN,25.0,46.0,35.0,,55.0,44.0,,61.0,,,37.0,48
New Orleans LA,50.0,45.0,31.0,,61.0,63.0,,63.0,,,33.0,61
Oklahoma City OK,47.0,30.0,36.0,,64.0,60.0,,65.0,,,39.0,42
Omaha NE,59.0,57.0,33.0,,61.0,74.0,,54.0,,,41.0,53
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48.0,24.0,34.0,,56.0,37.0,,35.0,,,41.0,29
Peoria-Bloomington IL,100.0,72.0,30.0,,31.0,27.0,,30.0,,,34.0,44
Roanoke-Lynchburg VA,47.0,35.0,18.0,,11.0,50.0,,39.0,,,26.0,48
San Antonio TX,69.0,66.0,51.0,,67.0,59.0,,66.0,,,43.0,61
Shreveport LA,77.0,,57.0,,75.0,65.0,,54.0,,,42.0,47
Springfield MO,60.0,54.0,30.0,,38.0,48.0,,71.0,,,31.0,41
St. Louis MO,50.0,47.0,41.0,,77.0,59.0,,57.0,,,47.0,74
Tulsa OK,76.0,41.0,51.0,,46.0,79.0,,100.0,,,53.0,54
Waco-Temple-Bryan TX,28.0,77.0,22.0,,68.0,43.0,,44.0,,,37.0,51
Wichita-Hutchinson KS,44.0,52.0,48.0,,78.0,56.0,,70.0,,,46.0,54
Wilkes Barre-Scranton PA,48.0,29.0,34.0,,44.0,43.0,,40.0,,,26.0,38
Albany-Schenectady-Troy NY,,20.0,29.0,,58.0,48.0,,38.0,,39.0,22.0,44
Albuquerque-Santa Fe NM,,58.0,38.0,,63.0,79.0,,83.0,,,46.0,65
Amarillo TX,,65.0,38.0,,46.0,37.0,,49.0,,,35.0,41
Atlanta GA,,53.0,38.0,,81.0,62.0,,65.0,,73.0,47.0,47
Augusta GA,,36.0,46.0,,82.0,45.0,,54.0,,64.0,37.0,34
Bakersfield CA,,88.0,32.0,,68.0,100.0,,83.0,,,100.0,90
Baltimore MD,,46.0,25.0,,56.0,66.0,,58.0,,69.0,35.0,49
Baton Rouge LA,,10.0,30.0,,50.0,43.0,,57.0,,,44.0,48
Boise ID,,49.0,12.0,,24.0,25.0,,35.0,,,33.0,26
Boston MA-Manchester NH,,40.0,31.0,,45.0,39.0,,34.0,,52.0,29.0,31
Buffalo NY,,40.0,32.0,,37.0,38.0,,45.0,,76.0,41.0,52
Burlington VT-Plattsburgh NY,,17.0,20.0,,18.0,34.0,,33.0,,47.0,17.0,29
Charleston SC,,16.0,24.0,,50.0,57.0,,65.0,,90.0,24.0,37
Charleston-Huntington WV,,40.0,,,55.0,43.0,,41.0,,36.0,32.0,34
Charlotte NC,,41.0,34.0,,64.0,56.0,,56.0,,73.0,41.0,48
Cincinnati OH,,37.0,20.0,,41.0,58.0,,47.0,,61.0,41.0,56
Cleveland-Akron (Canton) OH,,50.0,30.0,,44.0,55.0,,50.0,,57.0,38.0,57
Colorado Springs-Pueblo CO,,71.0,47.0,,47.0,67.0,,89.0,,,52.0,69
Columbia SC,,48.0,27.0,,53.0,48.0,,61.0,,82.0,48.0,60
Columbus OH,,49.0,32.0,,54.0,46.0,,50.0,,67.0,51.0,83
Davenport IA-Rock Island-Moline IL,,32.0,20.0,,51.0,42.0,,81.0,,,38.0,45
Dayton OH,,44.0,26.0,,52.0,52.0,,66.0,,65.0,33.0,57
Denver CO,,54.0,35.0,,64.0,58.0,,64.0,,,71.0,100
Des Moines-Ames IA,,21.0,23.0,,32.0,33.0,,40.0,,,39.0,34
Detroit MI,,64.0,45.0,,81.0,58.0,,44.0,,67.0,39.0,55
El Paso TX,,47.0,44.0,,44.0,38.0,,49.0,,,37.0,50
Eugene OR,,29.0,46.0,,40.0,59.0,,33.0,,,49.0,57
Flint-Saginaw-Bay City MI,,39.0,38.0,,,30.0,,40.0,,42.0,33.0,33
Florence-Myrtle Beach SC,,43.0,14.0,,85.0,33.0,,49.0,,51.0,27.0,61
Fresno-Visalia CA,,83.0,62.0,,90.0,83.0,,91.0,,,59.0,66
Ft. Myers-Naples FL,,40.0,14.0,,47.0,59.0,,49.0,,56.0,32.0,26
