,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,62.0,91.0,36,,100,65,14,20,79,,29,41
Albany-Schenectady-Troy NY,21.0,31.0,42,47.0,37,52,27,35,47,28.0,23,43
Albuquerque-Santa Fe NM,43.0,66.0,60,54.0,38,73,70,86,81,53.0,46,66
Atlanta GA,46.0,47.0,55,82.0,43,64,43,66,67,45.0,46,48
Augusta GA,33.0,33.0,88,80.0,39,45,29,54,60,44.0,38,43
Austin TX,49.0,50.0,60,73.0,33,46,36,51,50,43.0,38,50
Bakersfield CA,100.0,100.0,73,73.0,58,95,100,100,100,100.0,100,84
Baltimore MD,48.0,39.0,35,61.0,31,73,41,57,50,43.0,34,50
Birmingham AL,45.0,44.0,57,39.0,29,57,36,53,60,43.0,37,45
Boise ID,28.0,33.0,22,27.0,7,29,31,36,45,21.0,25,26
Boston MA-Manchester NH,38.0,37.0,47,49.0,26,40,27,35,34,32.0,29,33
Buffalo NY,36.0,36.0,50,35.0,30,37,25,48,44,39.0,39,53
Champaign & Springfield-Decatur IL,31.0,20.0,60,30.0,12,38,32,28,38,32.0,33,40
Charleston SC,32.0,28.0,70,74.0,35,66,38,63,63,52.0,29,46
Charleston-Huntington WV,27.0,50.0,73,19.0,18,46,31,44,59,25.0,28,39
Charlotte NC,42.0,38.0,46,58.0,35,60,46,57,63,43.0,41,47
Chattanooga TN,22.0,46.0,73,63.0,27,46,51,51,53,41.0,51,51
Chicago IL,51.0,52.0,58,63.0,34,54,44,53,62,50.0,47,59
Cincinnati OH,36.0,35.0,41,60.0,24,59,36,48,51,40.0,39,54
Cleveland-Akron (Canton) OH,53.0,42.0,47,63.0,27,57,36,48,50,36.0,38,57
Colorado Springs-Pueblo CO,53.0,34.0,72,63.0,17,72,49,86,97,60.0,53,71
Columbia SC,38.0,45.0,62,55.0,30,49,47,61,48,52.0,49,59
Columbus OH,47.0,47.0,50,57.0,31,45,35,52,60,40.0,48,88
Dallas-Ft. Worth TX,58.0,50.0,59,67.0,34,60,37,52,61,43.0,41,51
Davenport IA-Rock Island-Moline IL,44.0,29.0,15,55.0,20,45,35,60,59,59.0,45,43
Dayton OH,40.0,37.0,36,47.0,26,53,41,58,74,50.0,34,53
Denver CO,42.0,50.0,56,77.0,36,66,47,65,75,62.0,69,100
Des Moines-Ames IA,25.0,18.0,34,49.0,21,50,33,38,42,35.0,38,32
Detroit MI,63.0,58.0,67,84.0,43,60,41,43,58,43.0,40,54
El Paso TX,41.0,83.0,42,37.0,11,38,36,49,37,36.0,36,51
Eugene OR,50.0,19.0,49,86.0,34,52,60,30,66,52.0,40,58
Flint-Saginaw-Bay City MI,42.0,32.0,54,47.0,21,33,35,33,35,22.0,32,34
Fresno-Visalia CA,59.0,70.0,91,97.0,43,93,60,80,75,68.0,60,61
Ft. Myers-Naples FL,11.0,38.0,39,46.0,16,66,36,53,47,30.0,30,26
Ft. Smith-Fayetteville-Springdale-Rogers AR,19.0,24.0,33,55.0,35,35,19,50,64,31.0,34,37
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,29.0,42,56.0,20,38,25,43,46,39.0,37,53
Greensboro-High Point-Winston Salem NC,27.0,38.0,36,35.0,31,56,29,58,72,30.0,36,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28.0,43.0,37,73.0,16,64,34,56,53,47.0,33,49
Harlingen-Weslaco-Brownsville-McAllen TX,65.0,35.0,36,20.0,22,35,27,18,18,26.0,22,28
Harrisburg-Lancaster-Lebanon-York PA,50.0,26.0,38,48.0,17,31,23,38,37,26.0,26,44
Hartford & New Haven CT,41.0,43.0,48,63.0,39,63,50,77,71,60.0,50,54
Honolulu HI,59.0,42.0,55,76.0,48,56,40,59,65,52.0,40,54
Houston TX,52.0,56.0,62,77.0,40,66,45,58,65,55.0,39,58
Indianapolis IN,45.0,40.0,62,58.0,30,49,38,56,52,48.0,40,44
Jackson MS,50.0,47.0,59,25.0,41,50,42,41,37,45.0,39,42
Jacksonville FL,45.0,23.0,59,52.0,34,60,34,55,58,42.0,36,36
Kansas City MO,57.0,65.0,66,73.0,33,81,54,69,74,63.0,53,64
Knoxville TN,59.0,37.0,40,37.0,26,45,29,46,48,39.0,39,45
Las Vegas NV,82.0,80.0,68,82.0,43,75,66,80,83,68.0,58,86
Lexington KY,31.0,44.0,51,56.0,32,41,32,46,39,40.0,33,44
Lincoln & Hastings-Kearney NE,44.0,41.0,67,63.0,26,41,42,40,51,45.0,30,44
Little Rock-Pine Bluff AR,30.0,42.0,48,56.0,40,53,47,50,50,44.0,37,49
Los Angeles CA,63.0,70.0,82,91.0,49,87,54,75,73,60.0,50,61
Louisville KY,42.0,55.0,53,73.0,31,69,42,63,62,58.0,51,60
Madison WI,28.0,41.0,45,38.0,30,43,25,63,56,45.0,36,51
Memphis TN,50.0,30.0,25,51.0,25,70,50,83,66,65.0,52,73
Miami-Ft. Lauderdale FL,47.0,49.0,74,70.0,36,66,53,56,65,44.0,37,47
Milwaukee WI,51.0,48.0,40,48.0,49,78,57,66,54,47.0,62,76
Minneapolis-St. Paul MN,44.0,39.0,42,64.0,28,40,36,49,52,53.0,57,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,73.0,23.0,56,34.0,18,45,31,47,65,42.0,29,37
Monterey-Salinas CA,67.0,51.0,100,50.0,38,100,31,79,78,35.0,39,29
Nashville TN,35.0,40.0,51,64.0,28,53,41,62,60,46.0,36,50
New Orleans LA,47.0,38.0,42,73.0,34,58,44,61,56,62.0,31,58
New York NY,51.0,42.0,52,56.0,29,46,32,44,42,37.0,33,39
Norfolk-Portsmouth-Newport News VA,47.0,41.0,47,58.0,31,54,35,59,59,44.0,41,60
Oklahoma City OK,46.0,33.0,54,51.0,38,61,48,62,60,48.0,43,45
Omaha NE,60.0,52.0,70,77.0,35,83,35,55,66,44.0,39,57
Orlando-Daytona Beach-Melbourne FL,55.0,52.0,53,62.0,38,64,43,53,63,42.0,33,43
Peoria-Bloomington IL,74.0,36.0,36,22.0,12,32,38,35,47,29.0,35,41
Philadelphia PA,47.0,50.0,72,68.0,29,52,35,45,49,41.0,38,58
Phoenix AZ,52.0,56.0,73,74.0,36,59,47,55,64,50.0,38,49
Pittsburgh PA,39.0,37.0,39,47.0,29,38,25,26,36,28.0,25,33
Portland OR,53.0,51.0,37,52.0,31,76,57,83,90,67.0,78,96
Portland-Auburn ME,38.0,28.0,51,35.0,26,12,28,30,22,35.0,20,25
Providence RI-New Bedford MA,43.0,41.0,37,56.0,35,49,41,40,48,38.0,43,36
Raleigh-Durham (Fayetteville) NC,35.0,35.0,43,52.0,28,38,25,40,45,40.0,34,40
Reno NV,68.0,,64,100.0,49,73,57,59,79,45.0,45,49
Richmond-Petersburg VA,24.0,36.0,27,47.0,21,36,30,62,59,42.0,32,43
Roanoke-Lynchburg VA,23.0,39.0,52,14.0,5,47,33,39,49,34.0,20,45
Rochester NY,38.0,34.0,48,41.0,28,40,26,48,46,31.0,36,49
Sacramento-Stockton-Modesto CA,61.0,83.0,91,95.0,52,91,66,98,92,70.0,51,66
Salt Lake City UT,38.0,38.0,66,65.0,39,61,40,49,52,45.0,36,42
San Antonio TX,57.0,63.0,74,83.0,40,70,40,66,63,52.0,40,63
San Diego CA,73.0,68.0,97,90.0,43,84,51,73,81,60.0,52,61
San Francisco-Oakland-San Jose CA,65.0,73.0,82,89.0,47,76,55,69,80,59.0,59,72
Santa Barbara-Santa Maria-San Luis Obispo CA,31.0,44.0,59,74.0,24,63,31,50,70,31.0,45,42
Savannah GA,54.0,46.0,37,59.0,22,50,32,50,32,43.0,38,37
Seattle-Tacoma WA,62.0,73.0,75,91.0,48,84,54,70,80,57.0,57,80
Shreveport LA,36.0,18.0,26,21.0,14,50,42,52,52,29.0,39,48
Sioux Falls(Mitchell) SD,33.0,23.0,54,48.0,35,37,17,43,48,25.0,49,23
Spokane WA,62.0,61.0,76,78.0,23,64,57,67,51,37.0,37,52
Springfield MO,66.0,42.0,40,60.0,25,58,41,66,57,45.0,30,42
Springfield-Holyoke MA,39.0,39.0,42,37.0,18,50,26,51,58,36.0,36,45
St. Louis MO,44.0,46.0,61,73.0,38,63,48,57,73,59.0,46,75
Syracuse NY,37.0,17.0,43,42.0,20,18,18,54,39,22.0,34,43
Tampa-St. Petersburg (Sarasota) FL,42.0,30.0,49,59.0,35,68,43,61,53,44.0,34,44
Toledo OH,40.0,37.0,60,69.0,15,30,21,59,31,27.0,43,51
Tucson (Sierra Vista) AZ,54.0,45.0,47,71.0,33,64,45,55,64,42.0,27,54
Tulsa OK,69.0,53.0,66,46.0,30,82,41,96,97,62.0,54,55
Waco-Temple-Bryan TX,38.0,36.0,25,75.0,37,42,41,38,59,42.0,31,51
Washington DC (Hagerstown MD),48.0,42.0,52,57.0,25,46,31,40,42,39.0,33,41
West Palm Beach-Ft. Pierce FL,49.0,50.0,53,54.0,25,57,46,60,50,36.0,38,42
Wichita-Hutchinson KS,28.0,47.0,66,58.0,34,45,43,75,57,44.0,43,59
Wilkes Barre-Scranton PA,31.0,41.0,57,66.0,34,44,25,40,46,35.0,27,40
Yakima-Pasco-Richland-Kennewick WA,22.0,56.0,24,,6,59,54,40,72,40.0,35,76
Baton Rouge LA,,15.0,61,71.0,23,27,28,62,45,41.0,42,51
Burlington VT-Plattsburgh NY,,36.0,44,33.0,17,35,21,34,34,26.0,22,29
Florence-Myrtle Beach SC,,60.0,39,60.0,47,28,34,46,47,33.0,29,52
Green Bay-Appleton WI,,29.0,23,34.0,28,42,19,36,35,24.0,16,39
Huntsville-Decatur (Florence) AL,,42.0,52,83.0,39,41,28,49,39,36.0,44,43
Lansing MI,,15.0,51,51.0,16,26,29,38,50,50.0,24,38
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,,29.0,55,38.0,28,36,27,45,63,31.0,45,34
Amarillo TX,,,51,30.0,24,47,41,51,62,58.0,40,37
