,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,55.0,35.0,,48.0,74.0,51,54,32,42,,25,33
Albany-Schenectady-Troy NY,21.0,26.0,38.0,60.0,43.0,49,28,37,44,31.0,21,47
Albuquerque-Santa Fe NM,23.0,38.0,56.0,62.0,74.0,71,75,84,86,60.0,48,65
Atlanta GA,42.0,39.0,53.0,81.0,80.0,61,46,58,66,53.0,47,47
Austin TX,41.0,37.0,53.0,70.0,55.0,36,37,46,47,50.0,40,49
Bakersfield CA,100.0,100.0,21.0,71.0,97.0,100,100,100,99,100.0,100,85
Baltimore MD,37.0,33.0,31.0,61.0,54.0,63,42,48,51,48.0,36,48
Birmingham AL,49.0,50.0,40.0,34.0,53.0,47,36,51,57,51.0,38,47
Boise ID,25.0,26.0,10.0,44.0,41.0,25,31,33,44,23.0,28,21
Boston MA-Manchester NH,37.0,30.0,43.0,47.0,48.0,38,28,31,35,39.0,30,31
Buffalo NY,50.0,35.0,37.0,37.0,45.0,37,26,39,44,47.0,43,56
Burlington VT-Plattsburgh NY,30.0,21.0,36.0,32.0,35.0,33,29,23,30,29.0,22,28
Champaign & Springfield-Decatur IL,37.0,9.0,46.0,36.0,33.0,28,35,21,33,44.0,34,40
Charleston SC,99.0,,31.0,33.0,66.0,52,36,63,67,61.0,32,38
Charleston-Huntington WV,33.0,10.0,34.0,35.0,54.0,39,34,40,51,24.0,34,35
Charlotte NC,41.0,33.0,43.0,61.0,72.0,50,48,53,60,51.0,43,46
Chattanooga TN,82.0,30.0,51.0,63.0,54.0,46,50,50,46,47.0,55,48
Chicago IL,47.0,42.0,54.0,60.0,60.0,52,49,48,57,56.0,48,61
Cincinnati OH,35.0,29.0,43.0,55.0,48.0,55,38,43,51,46.0,41,54
Cleveland-Akron (Canton) OH,50.0,35.0,40.0,60.0,55.0,55,39,42,49,41.0,39,58
Colorado Springs-Pueblo CO,58.0,43.0,55.0,64.0,41.0,63,49,82,91,76.0,55,67
Columbia SC,37.0,45.0,52.0,49.0,60.0,48,46,59,55,65.0,51,61
Columbus OH,35.0,37.0,49.0,55.0,62.0,45,37,48,60,45.0,53,83
Dallas-Ft. Worth TX,52.0,44.0,55.0,63.0,64.0,55,41,48,60,51.0,43,52
Davenport IA-Rock Island-Moline IL,42.0,26.0,52.0,56.0,69.0,44,27,59,65,59.0,46,48
Dayton OH,44.0,30.0,27.0,48.0,47.0,55,44,59,66,43.0,40,52
Denver CO,33.0,39.0,51.0,78.0,67.0,60,49,61,72,71.0,74,100
Des Moines-Ames IA,36.0,25.0,26.0,54.0,30.0,50,35,31,34,37.0,38,33
Detroit MI,55.0,49.0,66.0,84.0,81.0,57,44,40,56,47.0,42,56
El Paso TX,49.0,41.0,57.0,58.0,54.0,39,40,46,57,37.0,44,51
Eugene OR,31.0,14.0,60.0,41.0,57.0,63,66,40,79,60.0,48,55
Flint-Saginaw-Bay City MI,15.0,33.0,53.0,54.0,25.0,26,38,34,31,31.0,32,34
Fresno-Visalia CA,66.0,68.0,100.0,94.0,100.0,81,63,86,76,74.0,61,67
Ft. Myers-Naples FL,41.0,25.0,30.0,32.0,52.0,74,38,50,48,37.0,35,29
Ft. Smith-Fayetteville-Springdale-Rogers AR,23.0,,23.0,66.0,40.0,36,25,37,62,41.0,35,31
Grand Rapids-Kalamazoo-Battle Creek MI,37.0,21.0,40.0,43.0,47.0,30,30,39,52,45.0,39,57
Green Bay-Appleton WI,10.0,36.0,24.0,16.0,45.0,39,22,32,33,23.0,17,47
Greensboro-High Point-Winston Salem NC,24.0,23.0,32.0,34.0,58.0,49,35,51,66,35.0,39,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40.0,37.0,41.0,63.0,37.0,57,40,54,53,52.0,34,49
Harlingen-Weslaco-Brownsville-McAllen TX,52.0,27.0,45.0,24.0,30.0,29,23,17,25,27.0,20,27
Harrisburg-Lancaster-Lebanon-York PA,37.0,30.0,41.0,42.0,33.0,31,21,34,36,30.0,27,40
Hartford & New Haven CT,29.0,30.0,36.0,60.0,67.0,59,52,72,71,69.0,52,57
Honolulu HI,51.0,33.0,62.0,72.0,84.0,53,41,56,65,57.0,43,51
Houston TX,49.0,47.0,56.0,71.0,77.0,60,50,57,63,61.0,39,57
Indianapolis IN,40.0,32.0,53.0,58.0,58.0,46,39,54,48,58.0,45,44
Jacksonville FL,40.0,34.0,55.0,49.0,60.0,55,37,53,60,48.0,40,37
Kansas City MO,56.0,54.0,57.0,64.0,69.0,76,55,66,73,72.0,60,64
Knoxville TN,76.0,29.0,40.0,63.0,63.0,32,25,48,49,44.0,37,43
Las Vegas NV,84.0,65.0,60.0,70.0,93.0,70,68,79,87,73.0,62,85
Lexington KY,9.0,43.0,45.0,58.0,68.0,36,37,38,38,43.0,32,47
Lincoln & Hastings-Kearney NE,65.0,28.0,26.0,25.0,56.0,58,40,38,51,50.0,29,49
Little Rock-Pine Bluff AR,38.0,34.0,46.0,63.0,69.0,49,48,43,50,45.0,42,47
Los Angeles CA,61.0,59.0,76.0,80.0,91.0,81,58,70,71,64.0,53,61
Louisville KY,57.0,30.0,46.0,57.0,58.0,64,49,57,63,66.0,52,60
Madison WI,34.0,39.0,42.0,32.0,53.0,40,26,52,55,52.0,40,56
Memphis TN,27.0,25.0,35.0,45.0,39.0,66,49,80,68,70.0,55,82
Miami-Ft. Lauderdale FL,49.0,36.0,67.0,68.0,73.0,61,56,54,65,49.0,37,46
Milwaukee WI,47.0,38.0,42.0,30.0,98.0,71,61,61,54,55.0,64,79
Minneapolis-St. Paul MN,41.0,32.0,42.0,64.0,53.0,38,39,45,50,60.0,60,61
Mobile AL-Pensacola (Ft. Walton Beach) FL,16.0,36.0,50.0,43.0,33.0,47,44,38,64,48.0,33,39
Monterey-Salinas CA,61.0,51.0,64.0,57.0,39.0,73,38,66,90,41.0,53,34
Nashville TN,29.0,33.0,47.0,59.0,52.0,48,44,57,62,51.0,38,50
New Orleans LA,45.0,30.0,43.0,68.0,62.0,55,51,59,59,67.0,34,60
New York NY,45.0,36.0,48.0,53.0,54.0,43,35,41,43,41.0,35,38
Norfolk-Portsmouth-Newport News VA,41.0,33.0,46.0,57.0,52.0,54,39,55,57,50.0,42,59
