,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,61.0,44.0,,64,30,50,40,55,54,19,,43
Albany-Schenectady-Troy NY,21.0,25.0,40.0,40,35,41,34,42,38,31,21.0,39
Albuquerque-Santa Fe NM,26.0,55.0,64.0,51,40,77,82,89,78,62,44.0,62
Atlanta GA,49.0,46.0,57.0,77,50,61,52,66,64,49,46.0,46
Augusta GA,61.0,36.0,68.0,67,47,53,34,53,56,51,41.0,34
Austin TX,46.0,42.0,56.0,68,32,35,43,47,46,48,40.0,49
Bakersfield CA,100.0,100.0,62.0,60,100,100,100,99,94,100,100.0,82
Baltimore MD,47.0,39.0,37.0,55,34,65,46,59,50,49,36.0,47
Birmingham AL,49.0,63.0,54.0,35,36,51,43,54,57,55,35.0,44
Boise ID,39.0,34.0,11.0,47,25,27,37,36,42,23,21.0,25
Boston MA-Manchester NH,41.0,35.0,47.0,42,30,38,32,34,33,35,29.0,28
Buffalo NY,57.0,45.0,48.0,22,27,34,28,42,42,45,41.0,55
Burlington VT-Plattsburgh NY,44.0,,32.0,37,21,25,25,33,28,33,25.0,25
Champaign & Springfield-Decatur IL,47.0,17.0,58.0,33,17,31,38,24,38,41,35.0,34
Charleston SC,39.0,28.0,49.0,21,52,59,44,63,59,56,26.0,35
Charlotte NC,43.0,38.0,48.0,53,43,54,50,56,59,52,46.0,46
Chattanooga TN,15.0,41.0,64.0,67,35,35,60,58,47,44,47.0,47
Chicago IL,52.0,49.0,55.0,56,36,52,53,48,55,54,48.0,59
Cincinnati OH,39.0,35.0,39.0,54,30,59,44,46,55,45,38.0,55
Cleveland-Akron (Canton) OH,43.0,41.0,46.0,58,29,51,44,49,45,41,43.0,58
Colorado Springs-Pueblo CO,41.0,54.0,85.0,62,30,65,44,95,80,74,56.0,65
Columbia SC,50.0,45.0,60.0,53,30,49,55,63,58,60,48.0,57
Columbus OH,48.0,47.0,52.0,53,32,48,40,51,59,43,51.0,78
Dallas-Ft. Worth TX,60.0,48.0,56.0,60,40,55,46,51,61,49,40.0,50
Davenport IA-Rock Island-Moline IL,25.0,25.0,,52,27,41,35,67,57,66,46.0,49
Dayton OH,35.0,33.0,38.0,58,41,50,48,59,68,48,32.0,55
Denver CO,41.0,46.0,54.0,63,40,58,56,63,72,74,73.0,100
Des Moines-Ames IA,54.0,26.0,53.0,47,18,42,36,41,39,41,36.0,35
Detroit MI,66.0,55.0,67.0,76,50,59,49,44,56,50,41.0,53
El Paso TX,42.0,39.0,59.0,47,12,29,44,52,51,42,34.0,51
Eugene OR,38.0,17.0,70.0,49,32,69,84,44,58,55,49.0,48
Flint-Saginaw-Bay City MI,53.0,34.0,39.0,35,20,26,47,40,35,19,30.0,31
Florence-Myrtle Beach SC,21.0,48.0,33.0,42,59,46,45,37,44,33,25.0,52
Fresno-Visalia CA,67.0,70.0,90.0,100,46,81,74,99,73,76,57.0,63
Ft. Myers-Naples FL,37.0,27.0,38.0,37,20,58,42,55,49,40,33.0,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,30.0,11.0,46.0,63,19,39,27,37,65,38,41.0,35
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,35.0,37.0,50,22,35,32,43,42,46,36.0,54
Green Bay-Appleton WI,42.0,24.0,31.0,26,28,35,24,37,35,31,19.0,46
Greensboro-High Point-Winston Salem NC,42.0,6.0,32.0,26,41,54,39,56,70,37,39.0,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,25.0,45.0,41.0,70,24,57,40,58,53,51,35.0,47
Harlingen-Weslaco-Brownsville-McAllen TX,95.0,37.0,74.0,23,20,34,23,17,25,26,20.0,31
Harrisburg-Lancaster-Lebanon-York PA,50.0,42.0,34.0,44,24,30,26,41,38,30,25.0,39
Hartford & New Haven CT,29.0,43.0,49.0,52,42,58,57,79,73,71,52.0,55
Honolulu HI,64.0,40.0,50.0,67,51,59,46,59,64,46,42.0,51
Houston TX,52.0,57.0,62.0,67,47,61,56,60,63,61,40.0,57
Huntsville-Decatur (Florence) AL,25.0,27.0,76.0,54,45,19,30,47,50,42,34.0,38
Indianapolis IN,49.0,36.0,56.0,53,34,45,44,57,47,55,44.0,42
Jackson MS,44.0,34.0,43.0,49,50,43,45,42,41,42,41.0,43
Jacksonville FL,58.0,29.0,52.0,46,45,54,38,52,64,48,38.0,36
Kansas City MO,60.0,65.0,63.0,65,44,79,67,70,71,70,53.0,63
Knoxville TN,66.0,53.0,48.0,40,35,46,34,49,48,48,32.0,41
Lansing MI,13.0,62.0,51.0,54,22,22,24,50,45,58,22.0,42
Las Vegas NV,83.0,70.0,67.0,68,58,71,76,85,84,75,63.0,83
Lexington KY,18.0,43.0,37.0,52,27,29,42,43,36,47,36.0,38
Lincoln & Hastings-Kearney NE,61.0,26.0,43.0,43,39,50,44,40,48,51,26.0,45
Little Rock-Pine Bluff AR,62.0,50.0,55.0,71,43,45,56,57,47,50,44.0,44
