,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,53.0,36.0,,100.0,41.0,57,38,40,48,12,28,17
Albany-Schenectady-Troy NY,31.0,31.0,32.0,46.0,48.0,47,37,41,41,32,21,46
Albuquerque-Santa Fe NM,43.0,55.0,64.0,38.0,67.0,77,79,86,75,58,48,71
Atlanta GA,46.0,41.0,55.0,69.0,68.0,61,50,65,66,51,45,49
Augusta GA,45.0,30.0,72.0,73.0,60.0,52,35,54,55,47,37,40
Austin TX,47.0,38.0,51.0,57.0,56.0,37,42,49,46,52,41,53
Bakersfield CA,77.0,100.0,79.0,26.0,100.0,100,100,100,95,100,100,89
Baltimore MD,47.0,36.0,35.0,51.0,50.0,64,48,55,50,49,36,50
Birmingham AL,42.0,33.0,56.0,31.0,44.0,50,42,48,56,49,36,49
Boise ID,39.0,13.0,18.0,27.0,37.0,36,39,43,39,19,19,20
Boston MA-Manchester NH,41.0,31.0,45.0,42.0,45.0,40,30,33,35,37,31,32
Buffalo NY,20.0,62.0,45.0,33.0,34.0,35,29,38,47,40,42,57
Burlington VT-Plattsburgh NY,53.0,29.0,34.0,24.0,30.0,34,38,29,30,43,20,27
Champaign & Springfield-Decatur IL,37.0,24.0,62.0,39.0,26.0,31,32,23,36,38,39,44
Charleston-Huntington WV,12.0,19.0,46.0,32.0,39.0,40,31,48,54,32,31,47
Charlotte NC,43.0,35.0,42.0,50.0,60.0,53,51,56,61,51,44,48
Chicago IL,50.0,44.0,54.0,51.0,53.0,50,50,53,59,56,48,58
Cincinnati OH,34.0,29.0,45.0,51.0,38.0,56,43,47,51,45,42,56
Cleveland-Akron (Canton) OH,43.0,37.0,40.0,52.0,46.0,54,45,47,49,43,40,56
Colorado Springs-Pueblo CO,54.0,48.0,69.0,51.0,28.0,54,59,86,90,70,46,72
Columbia SC,55.0,59.0,55.0,52.0,49.0,54,49,63,53,62,53,57
Columbus OH,45.0,39.0,47.0,43.0,54.0,45,40,51,59,46,55,85
Dallas-Ft. Worth TX,58.0,44.0,54.0,53.0,55.0,55,43,51,66,49,43,52
Davenport IA-Rock Island-Moline IL,40.0,19.0,32.0,41.0,64.0,35,30,69,62,64,46,48
Dayton OH,62.0,30.0,37.0,49.0,51.0,58,45,55,68,44,36,51
Denver CO,39.0,36.0,50.0,65.0,57.0,59,53,63,72,72,72,100
Des Moines-Ames IA,36.0,16.0,37.0,44.0,30.0,48,42,44,38,39,43,36
Detroit MI,67.0,52.0,67.0,72.0,69.0,57,47,42,56,48,43,56
El Paso TX,61.0,49.0,46.0,49.0,32.0,35,38,51,49,34,38,55
Eugene OR,36.0,23.0,58.0,43.0,40.0,53,75,52,70,55,52,59
Fresno-Visalia CA,68.0,58.0,100.0,83.0,72.0,76,57,89,76,79,58,69
Ft. Myers-Naples FL,36.0,28.0,28.0,37.0,30.0,57,42,56,49,41,38,27
Ft. Smith-Fayetteville-Springdale-Rogers AR,24.0,27.0,27.0,46.0,27.0,19,23,47,77,46,45,39
Grand Rapids-Kalamazoo-Battle Creek MI,27.0,25.0,35.0,43.0,29.0,33,29,43,47,46,39,56
Green Bay-Appleton WI,15.0,23.0,14.0,30.0,54.0,36,21,34,27,22,17,48
Greensboro-High Point-Winston Salem NC,23.0,9.0,32.0,27.0,46.0,51,37,47,72,39,35,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40.0,41.0,38.0,49.0,33.0,58,39,54,52,51,36,52
Harlingen-Weslaco-Brownsville-McAllen TX,92.0,45.0,59.0,22.0,26.0,32,24,27,23,32,20,30
Harrisburg-Lancaster-Lebanon-York PA,41.0,24.0,33.0,43.0,30.0,32,26,40,35,32,28,40
Hartford & New Haven CT,38.0,39.0,42.0,57.0,62.0,63,58,74,69,73,52,59
Honolulu HI,63.0,34.0,45.0,70.0,70.0,44,44,61,62,54,44,59
Houston TX,52.0,47.0,57.0,63.0,65.0,60,53,58,64,60,41,60
Huntsville-Decatur (Florence) AL,22.0,41.0,73.0,52.0,51.0,42,31,49,41,42,34,41
Indianapolis IN,43.0,30.0,59.0,52.0,54.0,46,44,57,47,56,44,44
Jacksonville FL,48.0,32.0,53.0,47.0,76.0,57,38,58,70,45,38,40
Kansas City MO,57.0,56.0,63.0,56.0,60.0,69,60,69,72,70,55,68
Knoxville TN,56.0,35.0,46.0,28.0,39.0,48,30,46,51,45,32,43
Lansing MI,25.0,28.0,35.0,41.0,,35,25,44,42,58,25,52
Las Vegas NV,70.0,57.0,62.0,64.0,83.0,74,75,85,81,76,64,89
Lexington KY,15.0,34.0,43.0,46.0,50.0,40,40,42,47,43,35,44
Lincoln & Hastings-Kearney NE,56.0,28.0,41.0,33.0,48.0,52,47,35,50,44,29,47
Little Rock-Pine Bluff AR,48.0,39.0,61.0,59.0,69.0,52,53,52,47,52,39,48
Los Angeles CA,61.0,61.0,77.0,72.0,79.0,77,62,72,71,66,54,62
Louisville KY,35.0,28.0,49.0,43.0,54.0,63,49,68,61,61,50,58
Madison WI,45.0,28.0,39.0,34.0,52.0,41,29,63,56,58,39,55
Memphis TN,25.0,51.0,45.0,31.0,40.0,65,54,84,68,75,51,80
Miami-Ft. Lauderdale FL,45.0,43.0,68.0,57.0,60.0,62,63,56,61,50,40,48
Milwaukee WI,64.0,41.0,48.0,39.0,78.0,73,70,64,53,55,64,78
Minneapolis-St. Paul MN,43.0,35.0,37.0,57.0,47.0,37,43,47,50,62,62,65
Mobile AL-Pensacola (Ft. Walton Beach) FL,30.0,31.0,50.0,34.0,33.0,48,44,42,58,48,32,38
Monterey-Salinas CA,100.0,53.0,96.0,47.0,52.0,86,40,81,69,42,39,33
Nashville TN,33.0,40.0,50.0,48.0,51.0,48,48,59,64,51,39,51
New Orleans LA,40.0,31.0,50.0,60.0,52.0,51,51,65,56,71,36,56
New York NY,49.0,37.0,48.0,46.0,47.0,43,37,45,40,41,35,40
Norfolk-Portsmouth-Newport News VA,44.0,41.0,44.0,47.0,48.0,52,41,55,55,54,42,61
Oklahoma City OK,52.0,29.0,54.0,42.0,58.0,56,58,62,60,54,43,48
Omaha NE,57.0,49.0,63.0,62.0,56.0,68,39,59,64,52,46,60
Orlando-Daytona Beach-Melbourne FL,55.0,41.0,48.0,53.0,61.0,56,49,53,63,49,35,44
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,35.0,25.0,51.0,30.0,56.0,28,31,42,67,39,38,30
Peoria-Bloomington IL,18.0,38.0,44.0,62.0,35.0,17,30,34,46,39,37,41
Philadelphia PA,48.0,42.0,66.0,58.0,47.0,47,39,46,47,45,40,59
Phoenix AZ,54.0,47.0,68.0,62.0,57.0,56,55,51,60,55,40,51
Pittsburgh PA,41.0,38.0,38.0,37.0,41.0,39,32,25,36,34,27,34
Portland OR,58.0,52.0,36.0,43.0,50.0,72,68,88,85,77,80,100
Portland-Auburn ME,13.0,24.0,48.0,25.0,33.0,11,36,33,25,45,23,28
Providence RI-New Bedford MA,49.0,31.0,28.0,51.0,64.0,43,58,38,53,40,47,39
Raleigh-Durham (Fayetteville) NC,38.0,32.0,45.0,44.0,43.0,37,31,40,43,46,37,40
Reno NV,28.0,35.0,48.0,90.0,66.0,65,70,46,78,49,44,50
Richmond-Petersburg VA,26.0,32.0,36.0,41.0,16.0,39,40,59,54,47,30,40
Rochester NY,41.0,30.0,34.0,44.0,47.0,41,31,45,39,37,40,51
Sacramento-Stockton-Modesto CA,66.0,73.0,87.0,76.0,86.0,85,76,97,88,79,58,69
Salt Lake City UT,42.0,36.0,55.0,59.0,61.0,56,46,51,50,52,37,45
San Antonio TX,66.0,54.0,70.0,69.0,67.0,60,50,66,61,60,42,63
San Diego CA,70.0,61.0,90.0,80.0,70.0,78,59,72,84,67,54,62
San Francisco-Oakland-San Jose CA,65.0,69.0,76.0,74.0,78.0,67,64,69,77,68,65,71
Santa Barbara-Santa Maria-San Luis Obispo CA,81.0,35.0,33.0,76.0,,68,37,51,65,29,34,40
