,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,48.0,32.0,100.0,76.0,50.0,69,46,30,66,32,17,38
Albany-Schenectady-Troy NY,20.0,31.0,14.0,59.0,59.0,44,31,35,49,32,21,44
Albuquerque-Santa Fe NM,46.0,73.0,26.0,60.0,73.0,84,67,83,78,56,46,68
Atlanta GA,39.0,45.0,26.0,82.0,81.0,64,45,63,68,48,47,47
Augusta GA,100.0,,37.0,93.0,74.0,67,37,53,63,43,39,37
Austin TX,40.0,44.0,25.0,74.0,56.0,37,35,50,48,45,40,48
Bakersfield CA,66.0,100.0,43.0,58.0,98.0,100,100,94,94,100,100,83
Baltimore MD,37.0,38.0,16.0,60.0,57.0,72,44,56,51,41,37,47
Birmingham AL,21.0,34.0,26.0,37.0,42.0,56,39,54,53,50,35,50
Boise ID,11.0,67.0,7.0,46.0,32.0,22,37,32,51,22,25,23
Boston MA-Manchester NH,37.0,34.0,22.0,47.0,50.0,40,29,34,34,35,29,30
Buffalo NY,30.0,40.0,23.0,39.0,48.0,36,28,50,49,41,42,54
Burlington VT-Plattsburgh NY,60.0,22.0,18.0,33.0,40.0,39,28,28,24,30,21,26
Champaign & Springfield-Decatur IL,33.0,26.0,10.0,55.0,29.0,39,35,30,35,36,37,36
Charleston SC,24.0,19.0,23.0,51.0,92.0,61,29,62,62,48,31,37
Charlotte NC,38.0,37.0,22.0,64.0,66.0,59,48,59,61,48,43,46
Chattanooga TN,59.0,38.0,18.0,70.0,29.0,37,47,52,51,40,50,50
Chicago IL,44.0,47.0,25.0,60.0,60.0,52,47,50,59,52,49,60
Cincinnati OH,30.0,33.0,19.0,56.0,46.0,60,38,46,51,43,39,54
Cleveland-Akron (Canton) OH,43.0,38.0,20.0,59.0,49.0,58,40,46,49,39,39,53
Colorado Springs-Pueblo CO,33.0,47.0,31.0,62.0,40.0,64,54,88,89,65,55,69
Columbia SC,18.0,35.0,25.0,61.0,53.0,44,51,55,53,61,49,59
Columbus OH,38.0,42.0,24.0,61.0,59.0,50,38,51,63,41,53,83
Dallas-Ft. Worth TX,52.0,43.0,27.0,66.0,63.0,59,41,51,61,46,41,51
Davenport IA-Rock Island-Moline IL,34.0,23.0,,74.0,50.0,42,15,65,59,57,50,47
Dayton OH,48.0,29.0,18.0,77.0,57.0,51,45,56,66,44,37,51
Denver CO,35.0,42.0,27.0,77.0,65.0,63,50,63,76,68,73,98
Des Moines-Ames IA,32.0,32.0,19.0,48.0,52.0,45,33,40,49,38,36,35
Detroit MI,57.0,54.0,32.0,83.0,74.0,63,44,43,61,42,42,55
El Paso TX,48.0,50.0,22.0,60.0,,41,38,49,57,44,37,50
Eugene OR,54.0,12.0,31.0,,48.0,46,67,40,65,56,41,61
Flint-Saginaw-Bay City MI,17.0,29.0,18.0,27.0,42.0,36,34,29,31,28,33,34
Florence-Myrtle Beach SC,19.0,47.0,,61.0,85.0,33,41,42,54,34,25,59
Fresno-Visalia CA,59.0,69.0,40.0,100.0,77.0,93,60,90,76,73,60,63
Ft. Myers-Naples FL,25.0,26.0,13.0,41.0,47.0,76,35,53,48,35,32,27
Grand Rapids-Kalamazoo-Battle Creek MI,25.0,26.0,12.0,62.0,25.0,38,27,42,45,41,38,55
Green Bay-Appleton WI,9.0,9.0,14.0,31.0,46.0,49,20,31,31,27,18,46
Greensboro-High Point-Winston Salem NC,50.0,20.0,14.0,20.0,64.0,58,33,51,75,33,38,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38.0,38.0,21.0,77.0,35.0,61,39,53,53,48,35,47
Harlingen-Weslaco-Brownsville-McAllen TX,51.0,57.0,17.0,32.0,28.0,39,23,25,17,26,18,25
Harrisburg-Lancaster-Lebanon-York PA,34.0,31.0,23.0,39.0,42.0,33,21,44,39,28,27,40
Hartford & New Haven CT,32.0,42.0,24.0,59.0,68.0,63,51,74,74,65,54,56
Honolulu HI,58.0,33.0,26.0,86.0,84.0,53,40,60,64,47,45,53
Houston TX,47.0,53.0,27.0,75.0,77.0,65,47,60,64,57,39,56
Huntsville-Decatur (Florence) AL,16.0,38.0,30.0,74.0,37.0,39,30,49,40,38,36,39
Indianapolis IN,40.0,33.0,25.0,70.0,55.0,54,39,52,49,52,40,44
Jacksonville FL,38.0,43.0,22.0,44.0,63.0,62,37,56,61,45,39,34
Kansas City MO,49.0,64.0,31.0,69.0,66.0,83,61,68,74,64,53,65
Knoxville TN,28.0,36.0,28.0,36.0,66.0,45,25,48,44,42,34,40
Lansing MI,32.0,28.0,23.0,50.0,31.0,29,27,37,50,46,22,39
Las Vegas NV,74.0,71.0,30.0,82.0,91.0,80,69,83,82,67,64,83
Lexington KY,26.0,32.0,16.0,67.0,70.0,42,46,46,40,42,33,43
Little Rock-Pine Bluff AR,15.0,43.0,20.0,47.0,74.0,52,47,49,45,47,40,48
Los Angeles CA,56.0,65.0,37.0,84.0,91.0,88,57,72,72,64,53,60
Louisville KY,31.0,36.0,23.0,59.0,57.0,83,45,63,62,66,50,63
Madison WI,32.0,42.0,20.0,43.0,61.0,50,28,51,56,53,35,60
Memphis TN,37.0,30.0,21.0,35.0,46.0,68,47,84,68,64,52,77
Miami-Ft. Lauderdale FL,43.0,47.0,32.0,68.0,67.0,64,52,56,66,47,37,45
Milwaukee WI,45.0,39.0,20.0,47.0,98.0,76,62,63,54,46,59,75
Minneapolis-St. Paul MN,39.0,36.0,20.0,67.0,53.0,41,39,48,52,55,59,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,30.0,25.0,27.0,47.0,36.0,54,41,39,63,47,35,36
Monterey-Salinas CA,50.0,60.0,32.0,69.0,69.0,94,37,74,76,38,54,35
Nashville TN,27.0,37.0,24.0,62.0,50.0,53,45,59,62,48,40,50
New Orleans LA,40.0,33.0,22.0,76.0,67.0,57,45,61,58,64,33,60
New York NY,42.0,40.0,24.0,54.0,53.0,46,34,43,40,39,33,38
Norfolk-Portsmouth-Newport News VA,38.0,34.0,23.0,52.0,53.0,58,37,55,59,49,39,57
Oklahoma City OK,40.0,32.0,22.0,53.0,65.0,59,53,61,61,49,42,46
Omaha NE,49.0,54.0,31.0,81.0,60.0,80,35,59,64,48,42,53
Orlando-Daytona Beach-Melbourne FL,48.0,46.0,23.0,66.0,65.0,58,43,54,60,45,32,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,34.0,44.0,26.0,49.0,55.0,7,25,43,63,25,43,37
Peoria-Bloomington IL,39.0,17.0,29.0,43.0,44.0,22,30,44,56,24,46,36
Philadelphia PA,41.0,46.0,32.0,67.0,53.0,51,36,43,48,42,40,57
Phoenix AZ,51.0,52.0,33.0,75.0,66.0,60,49,53,65,50,40,49
Pittsburgh PA,32.0,34.0,19.0,51.0,48.0,39,32,26,35,31,26,33
Portland OR,48.0,44.0,17.0,49.0,58.0,78,63,82,90,72,78,100
Portland-Auburn ME,25.0,23.0,22.0,27.0,40.0,24,26,26,28,39,17,23
Providence RI-New Bedford MA,47.0,38.0,13.0,65.0,63.0,45,46,41,49,44,47,36
Raleigh-Durham (Fayetteville) NC,32.0,31.0,20.0,52.0,50.0,40,29,38,44,43,36,38
Richmond-Petersburg VA,22.0,27.0,18.0,63.0,39.0,43,34,57,53,46,28,43
Roanoke-Lynchburg VA,15.0,36.0,21.0,9.0,10.0,53,34,39,51,32,26,48
Rochester NY,61.0,25.0,17.0,50.0,58.0,39,23,45,36,33,37,48
Sacramento-Stockton-Modesto CA,59.0,78.0,44.0,96.0,100.0,93,68,95,92,73,56,67
Salt Lake City UT,39.0,37.0,27.0,70.0,79.0,60,40,49,51,48,36,42
San Antonio TX,64.0,55.0,34.0,83.0,72.0,65,43,65,61,55,41,61
San Diego CA,58.0,66.0,44.0,98.0,83.0,81,56,76,85,64,52,59
San Francisco-Oakland-San Jose CA,55.0,72.0,37.0,87.0,88.0,74,58,71,79,62,62,69
Santa Barbara-Santa Maria-San Luis Obispo CA,48.0,44.0,23.0,80.0,38.0,61,37,50,71,28,38,40
Savannah GA,41.0,44.0,26.0,52.0,35.0,51,26,51,38,41,38,39
Seattle-Tacoma WA,53.0,66.0,34.0,94.0,84.0,86,57,71,81,61,57,77
Shreveport LA,32.0,25.0,27.0,19.0,33.0,45,45,61,46,25,38,46
Sioux Falls(Mitchell) SD,29.0,32.0,30.0,22.0,64.0,59,19,45,50,27,40,31
Spokane WA,50.0,67.0,31.0,82.0,48.0,64,59,58,58,40,41,51
Springfield MO,56.0,50.0,21.0,55.0,25.0,52,40,63,61,50,33,39
Springfield-Holyoke MA,47.0,39.0,25.0,71.0,37.0,55,29,47,53,39,37,51
St. Louis MO,38.0,43.0,28.0,76.0,75.0,63,51,53,76,65,47,74
Syracuse NY,23.0,35.0,16.0,49.0,19.0,32,10,40,43,32,29,41
Tampa-St. Petersburg (Sarasota) FL,40.0,35.0,21.0,66.0,67.0,69,45,60,53,49,36,43
Toledo OH,57.0,44.0,25.0,55.0,34.0,23,19,52,36,31,38,46
Tucson (Sierra Vista) AZ,65.0,42.0,21.0,64.0,55.0,41,47,49,63,41,25,57
Tulsa OK,58.0,31.0,34.0,50.0,48.0,85,42,100,100,70,45,55
Waco-Temple-Bryan TX,30.0,31.0,13.0,76.0,62.0,43,47,39,61,44,36,49
Washington DC (Hagerstown MD),39.0,41.0,25.0,54.0,47.0,49,32,37,43,40,35,42
West Palm Beach-Ft. Pierce FL,40.0,46.0,25.0,58.0,46.0,59,52,61,50,37,43,42
Wichita-Hutchinson KS,38.0,43.0,27.0,70.0,68.0,55,50,72,55,44,42,57
Wilkes Barre-Scranton PA,26.0,38.0,25.0,47.0,39.0,46,27,38,42,34,28,36
Yakima-Pasco-Richland-Kennewick WA,28.0,79.0,21.0,41.0,31.0,58,68,41,66,27,37,72
Amarillo TX,,25.0,23.0,63.0,30.0,55,54,42,76,48,44,32
Baton Rouge LA,,19.0,23.0,38.0,45.0,47,27,51,45,43,44,50
Charleston-Huntington WV,,31.0,17.0,45.0,57.0,44,33,41,51,29,36,32
Lincoln & Hastings-Kearney NE,,53.0,31.0,28.0,57.0,56,42,47,49,33,33,35
Reno NV,,58.0,20.0,76.0,72.0,72,44,43,75,41,44,50
Ft. Smith-Fayetteville-Springdale-Rogers AR,,,13.0,72.0,58.0,39,24,41,64,40,37,34
