,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,51.0,38.0,87.0,,80,91,32,30,100,21,28,34
Albany-Schenectady-Troy NY,21.0,41.0,36.0,48.0,51,53,32,31,41,29,21,45
Albuquerque-Santa Fe NM,47.0,66.0,57.0,60.0,60,82,71,89,80,52,43,67
Atlanta GA,42.0,55.0,51.0,81.0,68,63,44,63,67,48,45,48
Augusta GA,66.0,34.0,66.0,87.0,65,53,26,56,51,48,36,40
Austin TX,43.0,57.0,51.0,68.0,51,37,35,50,48,47,38,48
Bakersfield CA,100.0,100.0,58.0,55.0,100,100,100,99,93,100,100,85
Baltimore MD,43.0,47.0,32.0,61.0,55,68,41,54,47,42,36,47
Baton Rouge LA,18.0,13.0,44.0,61.0,45,46,32,51,45,30,41,54
Birmingham AL,22.0,49.0,54.0,39.0,43,53,37,53,59,48,37,49
Boise ID,12.0,41.0,17.0,46.0,51,30,36,47,45,24,20,21
Boston MA-Manchester NH,39.0,41.0,44.0,47.0,41,38,28,33,32,35,30,30
Buffalo NY,32.0,40.0,45.0,36.0,42,35,26,44,48,41,45,51
Burlington VT-Plattsburgh NY,33.0,23.0,34.0,27.0,24,36,20,28,29,30,28,26
Champaign & Springfield-Decatur IL,40.0,35.0,38.0,35.0,33,27,34,29,44,38,35,36
Charleston SC,30.0,30.0,44.0,21.0,66,66,40,63,58,55,28,38
Charlotte NC,41.0,43.0,44.0,62.0,57,57,46,55,61,47,40,47
Chattanooga TN,63.0,48.0,34.0,66.0,25,42,46,49,50,37,46,50
Chicago IL,48.0,57.0,48.0,60.0,52,52,45,51,56,52,48,60
Cincinnati OH,33.0,48.0,45.0,56.0,38,56,36,45,51,43,37,55
Cleveland-Akron (Canton) OH,40.0,47.0,41.0,58.0,42,54,37,47,49,38,38,54
Colorado Springs-Pueblo CO,43.0,58.0,53.0,64.0,35,60,52,88,88,64,51,67
Columbia SC,19.0,46.0,38.0,77.0,45,46,46,55,53,61,46,59
Columbus OH,47.0,48.0,47.0,61.0,51,48,36,49,64,41,52,82
Dallas-Ft. Worth TX,53.0,55.0,52.0,66.0,56,55,38,51,60,46,41,51
Dayton OH,63.0,27.0,35.0,52.0,53,43,40,53,76,44,36,53
Denver CO,40.0,52.0,50.0,79.0,58,62,48,63,74,67,71,99
Des Moines-Ames IA,25.0,19.0,37.0,48.0,45,48,34,40,38,39,38,37
Detroit MI,61.0,66.0,61.0,84.0,64,59,42,43,60,42,40,55
El Paso TX,17.0,44.0,42.0,60.0,19,36,35,50,50,38,36,48
Eugene OR,22.0,25.0,60.0,38.0,53,65,64,52,64,55,31,55
Flint-Saginaw-Bay City MI,28.0,44.0,,37.0,29,29,30,26,30,29,27,36
Florence-Myrtle Beach SC,21.0,67.0,37.0,65.0,75,42,19,41,45,36,21,59
Fresno-Visalia CA,61.0,87.0,86.0,100.0,70,89,59,86,76,73,58,67
Ft. Myers-Naples FL,28.0,26.0,24.0,45.0,37,52,32,52,49,33,36,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,32.0,,26.0,69.0,42,33,23,41,59,40,32,40
Grand Rapids-Kalamazoo-Battle Creek MI,21.0,36.0,37.0,43.0,36,37,26,40,46,42,39,54
Greensboro-High Point-Winston Salem NC,19.0,27.0,28.0,31.0,55,51,34,50,68,29,32,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43.0,57.0,39.0,77.0,33,58,34,53,53,47,36,47
Harlingen-Weslaco-Brownsville-McAllen TX,29.0,54.0,60.0,25.0,24,33,22,24,17,27,18,27
Harrisburg-Lancaster-Lebanon-York PA,41.0,37.0,38.0,39.0,24,33,21,39,35,29,27,41
Hartford & New Haven CT,34.0,47.0,44.0,60.0,59,59,49,74,74,65,50,56
Honolulu HI,62.0,45.0,46.0,86.0,73,52,45,65,56,56,40,51
