,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,61.0,36.0,,86.0,,57,35,61,50,17,32,17
Albany-Schenectady-Troy NY,13.0,28.0,32.0,58.0,45.0,47,35,36,41,30,24,46
Albuquerque-Santa Fe NM,38.0,55.0,64.0,70.0,57.0,77,76,95,81,58,47,71
Amarillo TX,80.0,,47.0,,69.0,70,42,56,78,50,54,39
Atlanta GA,42.0,41.0,55.0,86.0,73.0,62,48,68,67,51,48,49
Augusta GA,38.0,30.0,72.0,96.0,62.0,52,27,65,63,50,37,40
Austin TX,44.0,38.0,53.0,73.0,54.0,37,38,53,49,44,42,53
Bakersfield CA,100.0,100.0,79.0,67.0,100.0,100,100,99,92,100,100,89
Baltimore MD,47.0,36.0,35.0,63.0,52.0,64,45,62,55,44,39,50
Birmingham AL,34.0,33.0,52.0,38.0,38.0,51,43,56,60,52,38,49
Boise ID,21.0,31.0,18.0,54.0,32.0,36,44,47,53,22,28,20
Boston MA-Manchester NH,39.0,31.0,45.0,51.0,44.0,39,27,36,33,35,31,32
Buffalo NY,48.0,62.0,45.0,38.0,38.0,35,32,47,49,52,44,57
Burlington VT-Plattsburgh NY,37.0,27.0,34.0,47.0,50.0,34,31,37,30,34,25,27
Champaign & Springfield-Decatur IL,46.0,24.0,62.0,39.0,39.0,31,40,25,36,41,42,44
Charleston SC,33.0,33.0,75.0,28.0,77.0,56,42,73,63,56,36,41
Charleston-Huntington WV,46.0,19.0,46.0,,43.0,40,32,48,53,27,34,47
Charlotte NC,38.0,35.0,42.0,65.0,62.0,53,49,57,61,45,44,48
Chattanooga TN,25.0,35.0,38.0,72.0,68.0,32,56,54,50,43,46,53
Chicago IL,47.0,44.0,53.0,65.0,52.0,50,48,53,56,52,50,58
Cincinnati OH,30.0,29.0,45.0,62.0,43.0,56,39,49,53,45,40,56
Cleveland-Akron (Canton) OH,45.0,37.0,42.0,69.0,44.0,54,40,50,49,39,41,56
Colorado Springs-Pueblo CO,47.0,48.0,69.0,52.0,56.0,62,55,96,92,65,56,72
Columbia SC,57.0,59.0,62.0,59.0,42.0,54,49,64,48,52,50,57
Columbus OH,41.0,39.0,48.0,62.0,49.0,45,37,55,63,42,57,85
Dallas-Ft. Worth TX,51.0,42.0,54.0,67.0,58.0,55,42,55,61,47,45,52
Davenport IA-Rock Island-Moline IL,34.0,19.0,32.0,74.0,37.0,35,29,67,68,64,47,48
Dayton OH,51.0,30.0,37.0,55.0,60.0,58,43,55,66,45,38,51
Denver CO,36.0,36.0,50.0,80.0,59.0,59,49,67,72,69,75,100
Des Moines-Ames IA,36.0,21.0,37.0,38.0,36.0,48,33,41,34,39,38,36
Detroit MI,62.0,51.0,67.0,88.0,72.0,57,44,45,57,47,44,56
El Paso TX,46.0,49.0,43.0,62.0,29.0,35,39,49,52,33,42,55
Eugene OR,37.0,23.0,61.0,33.0,44.0,53,66,62,68,55,47,59
Flint-Saginaw-Bay City MI,16.0,36.0,42.0,38.0,41.0,29,30,42,36,28,29,33
Florence-Myrtle Beach SC,100.0,34.0,55.0,63.0,73.0,29,41,42,64,35,28,58
Fresno-Visalia CA,61.0,58.0,100.0,100.0,74.0,76,59,96,71,73,60,69
Ft. Myers-Naples FL,33.0,28.0,28.0,46.0,28.0,57,38,51,47,38,35,27
Grand Rapids-Kalamazoo-Battle Creek MI,26.0,23.0,35.0,36.0,29.0,33,26,44,49,43,38,56
Green Bay-Appleton WI,8.0,23.0,14.0,49.0,21.0,36,15,35,29,21,21,48
Greensboro-High Point-Winston Salem NC,30.0,9.0,32.0,34.0,55.0,51,35,57,63,34,40,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44.0,41.0,38.0,75.0,30.0,58,39,57,54,49,36,52
Harlingen-Weslaco-Brownsville-McAllen TX,48.0,45.0,59.0,16.0,31.0,32,29,26,23,27,20,30
Harrisburg-Lancaster-Lebanon-York PA,43.0,24.0,33.0,52.0,30.0,32,23,41,37,28,28,40
Hartford & New Haven CT,37.0,37.0,42.0,61.0,60.0,63,57,79,71,67,55,59
Honolulu HI,61.0,25.0,45.0,76.0,75.0,50,44,62,68,50,45,59
Houston TX,49.0,47.0,57.0,76.0,68.0,60,51,62,65,59,41,60
Indianapolis IN,43.0,29.0,59.0,59.0,49.0,46,41,55,47,51,48,44
Jacksonville FL,35.0,35.0,53.0,47.0,51.0,57,37,61,65,47,38,40
Kansas City MO,56.0,56.0,63.0,72.0,62.0,69,59,75,70,67,59,68
Knoxville TN,57.0,35.0,46.0,34.0,39.0,48,30,48,45,43,32,43
Lansing MI,28.0,28.0,35.0,66.0,32.0,35,26,26,50,50,22,52
Las Vegas NV,74.0,57.0,62.0,83.0,80.0,74,71,83,81,73,68,89
Lexington KY,33.0,34.0,43.0,60.0,46.0,40,36,47,40,42,35,44
Lincoln & Hastings-Kearney NE,41.0,33.0,41.0,69.0,41.0,52,49,39,54,48,31,47
Little Rock-Pine Bluff AR,11.0,39.0,50.0,57.0,60.0,52,51,46,55,46,40,48
Los Angeles CA,57.0,61.0,77.0,88.0,81.0,77,58,81,72,61,54,62
Louisville KY,37.0,33.0,48.0,37.0,49.0,63,46,68,63,64,55,58
Madison WI,47.0,48.0,39.0,30.0,51.0,41,21,63,60,40,37,55
Memphis TN,21.0,51.0,45.0,43.0,43.0,65,50,89,61,68,55,80
Miami-Ft. Lauderdale FL,43.0,43.0,68.0,73.0,62.0,60,57,59,65,47,40,48
Milwaukee WI,48.0,41.0,47.0,49.0,82.0,73,64,69,55,49,66,78
Minneapolis-St. Paul MN,42.0,35.0,37.0,65.0,46.0,37,40,53,50,57,65,65
Mobile AL-Pensacola (Ft. Walton Beach) FL,35.0,31.0,48.0,47.0,27.0,48,47,40,61,46,32,38
Monterey-Salinas CA,46.0,53.0,96.0,62.0,57.0,86,34,74,86,42,44,33
Nashville TN,33.0,34.0,50.0,65.0,46.0,48,47,65,65,49,40,51
New Orleans LA,46.0,31.0,50.0,77.0,46.0,52,47,65,59,65,34,56
New York NY,45.0,37.0,48.0,57.0,47.0,43,35,46,43,40,35,40
Norfolk-Portsmouth-Newport News VA,37.0,41.0,44.0,57.0,50.0,52,38,57,61,49,43,61
Oklahoma City OK,39.0,29.0,54.0,55.0,61.0,56,54,68,60,55,44,48
Omaha NE,53.0,49.0,63.0,80.0,54.0,68,38,57,66,48,45,60
Orlando-Daytona Beach-Melbourne FL,51.0,41.0,48.0,66.0,60.0,56,46,54,58,47,35,44
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,36.0,25.0,51.0,34.0,43.0,28,34,42,70,35,38,30
Peoria-Bloomington IL,48.0,38.0,44.0,63.0,47.0,17,22,44,49,35,44,41
Philadelphia PA,49.0,44.0,66.0,67.0,47.0,47,37,48,50,44,42,59
Phoenix AZ,48.0,47.0,68.0,81.0,57.0,56,53,55,62,52,40,51
Pittsburgh PA,35.0,38.0,38.0,44.0,47.0,39,31,28,36,31,29,34
Portland OR,55.0,52.0,36.0,54.0,50.0,72,63,90,88,71,84,100
Portland-Auburn ME,30.0,24.0,48.0,40.0,46.0,11,22,32,26,47,22,28
Providence RI-New Bedford MA,39.0,31.0,28.0,73.0,56.0,43,52,41,54,39,47,39
Raleigh-Durham (Fayetteville) NC,34.0,30.0,42.0,49.0,45.0,36,30,41,48,44,38,40
Reno NV,17.0,35.0,48.0,88.0,81.0,65,59,50,68,50,51,50
Richmond-Petersburg VA,31.0,31.0,36.0,52.0,35.0,39,35,59,58,47,29,40
Roanoke-Lynchburg VA,20.0,54.0,48.0,16.0,11.0,49,34,38,44,32,25,46
Rochester NY,54.0,30.0,34.0,64.0,54.0,41,31,43,35,35,38,51
Sacramento-Stockton-Modesto CA,60.0,73.0,91.0,97.0,90.0,85,73,100,88,74,58,69
Salt Lake City UT,39.0,36.0,59.0,69.0,56.0,56,44,53,49,48,38,45
San Antonio TX,61.0,54.0,70.0,86.0,69.0,62,43,69,61,58,43,63
San Diego CA,63.0,61.0,90.0,99.0,71.0,78,56,75,87,65,57,62
San Francisco-Oakland-San Jose CA,61.0,69.0,76.0,91.0,77.0,67,61,73,75,62,64,71
Santa Barbara-Santa Maria-San Luis Obispo CA,30.0,35.0,33.0,70.0,39.0,68,38,60,65,35,41,40
Savannah GA,31.0,40.0,53.0,54.0,34.0,51,34,61,36,47,41,37
Seattle-Tacoma WA,56.0,60.0,69.0,95.0,78.0,82,61,73,82,63,59,82
Shreveport LA,59.0,17.0,62.0,45.0,52.0,57,58,54,52,33,45,45
Sioux Falls(Mitchell) SD,27.0,16.0,68.0,40.0,67.0,38,31,35,50,38,45,33
Spokane WA,67.0,50.0,74.0,94.0,53.0,53,57,60,58,43,41,54
Springfield MO,54.0,49.0,39.0,59.0,34.0,54,41,65,64,52,35,44
Springfield-Holyoke MA,15.0,31.0,33.0,53.0,50.0,46,28,56,58,41,28,45
St. Louis MO,35.0,41.0,56.0,81.0,67.0,58,52,57,76,64,50,78
Syracuse NY,27.0,25.0,46.0,43.0,24.0,28,22,37,44,33,31,41
Tampa-St. Petersburg (Sarasota) FL,40.0,32.0,48.0,68.0,60.0,62,48,63,53,49,37,47
Toledo OH,34.0,34.0,66.0,59.0,34.0,13,21,51,39,30,44,49
Tucson (Sierra Vista) AZ,55.0,41.0,53.0,61.0,46.0,61,52,59,62,43,30,54
Tulsa OK,68.0,38.0,55.0,51.0,47.0,89,44,92,100,72,59,58
Washington DC (Hagerstown MD),45.0,37.0,50.0,56.0,42.0,46,34,40,44,40,38,42
West Palm Beach-Ft. Pierce FL,35.0,44.0,47.0,60.0,53.0,58,52,63,48,38,42,46
Wichita-Hutchinson KS,11.0,38.0,57.0,74.0,61.0,51,56,74,59,54,49,58
Wilkes Barre-Scranton PA,49.0,33.0,47.0,84.0,37.0,41,21,39,41,35,30,40
Baton Rouge LA,,15.0,46.0,62.0,52.0,48,35,57,45,46,42,55
Ft. Smith-Fayetteville-Springdale-Rogers AR,,15.0,27.0,62.0,53.0,19,21,44,65,36,42,39
Huntsville-Decatur (Florence) AL,,41.0,73.0,81.0,62.0,42,35,57,37,38,39,41
Waco-Temple-Bryan TX,,31.0,29.0,72.0,58.0,42,50,56,63,49,36,54
Yakima-Pasco-Richland-Kennewick WA,,35.0,45.0,47.0,29.0,50,53,38,62,37,42,71
