,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,52.0,49.0,37,83,,53,50,24,59,17,18,33
Albany-Schenectady-Troy NY,22.0,35.0,37,46,51.0,50,34,38,43,29,22,42
Albuquerque-Santa Fe NM,36.0,60.0,59,53,68.0,88,74,95,75,56,43,66
Amarillo TX,56.0,,46,62,,56,52,55,61,35,35,35
Atlanta GA,47.0,45.0,57,79,77.0,69,48,64,69,48,46,48
Augusta GA,59.0,37.0,84,88,68.0,61,33,59,53,42,34,40
Austin TX,48.0,41.0,53,67,54.0,38,40,53,50,46,38,51
Bakersfield CA,100.0,100.0,54,48,100.0,100,100,95,90,100,100,89
Baltimore MD,45.0,36.0,34,54,53.0,71,46,59,53,49,34,50
Birmingham AL,62.0,34.0,62,33,42.0,58,39,52,60,48,36,46
Boise ID,35.0,9.0,13,33,35.0,27,40,35,52,22,26,28
Boston MA-Manchester NH,41.0,36.0,43,45,44.0,42,30,35,35,36,29,33
Buffalo NY,41.0,41.0,43,28,41.0,37,29,43,50,45,39,55
Burlington VT-Plattsburgh NY,40.0,21.0,43,56,30.0,37,26,38,28,27,21,29
Champaign & Springfield-Decatur IL,33.0,25.0,55,31,33.0,44,34,33,37,39,34,34
Charleston SC,28.0,36.0,58,36,51.0,49,50,65,64,63,29,36
Charlotte NC,44.0,35.0,49,59,62.0,63,47,56,62,46,42,48
Chattanooga TN,16.0,35.0,40,48,68.0,49,55,56,52,39,45,54
Chicago IL,51.0,49.0,54,57,58.0,59,48,52,63,52,42,61
Cincinnati OH,33.0,36.0,45,61,47.0,62,39,51,54,40,38,55
Cleveland-Akron (Canton) OH,43.0,40.0,44,66,47.0,61,39,46,50,36,36,58
Colorado Springs-Pueblo CO,51.0,36.0,69,65,45.0,74,56,83,90,65,51,69
Columbia SC,36.0,66.0,56,61,58.0,52,56,63,48,55,47,58
Columbus OH,50.0,39.0,53,60,46.0,53,40,53,63,40,50,82
Dallas-Ft. Worth TX,55.0,48.0,57,63,57.0,61,42,52,64,47,41,53
Dayton OH,47.0,35.0,41,39,43.0,56,46,55,72,43,34,50
Denver CO,41.0,44.0,53,78,60.0,67,51,64,73,65,69,100
