,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,55.0,51.0,,,74.0,51,54,41,78,,39,34
Albany-Schenectady-Troy NY,21.0,32.0,38.0,55.0,43.0,49,28,41,44,31.0,24,43
Albuquerque-Santa Fe NM,23.0,54.0,56.0,62.0,74.0,71,75,87,80,60.0,42,71
Atlanta GA,42.0,41.0,53.0,79.0,80.0,61,46,66,70,53.0,43,47
Austin TX,41.0,40.0,53.0,67.0,55.0,36,37,53,50,50.0,36,51
Bakersfield CA,100.0,100.0,21.0,69.0,97.0,100,100,92,100,100.0,100,92
Baltimore MD,37.0,38.0,31.0,58.0,54.0,63,42,57,57,48.0,34,50
Birmingham AL,49.0,34.0,40.0,47.0,53.0,47,36,57,59,51.0,34,48
Boise ID,25.0,40.0,10.0,62.0,41.0,25,31,38,41,23.0,26,27
Boston MA-Manchester NH,37.0,30.0,43.0,45.0,48.0,38,28,35,35,39.0,28,30
Buffalo NY,50.0,49.0,37.0,30.0,45.0,37,26,46,49,47.0,37,55
Burlington VT-Plattsburgh NY,30.0,,36.0,43.0,35.0,33,29,34,35,29.0,25,29
Champaign & Springfield-Decatur IL,37.0,28.0,46.0,46.0,33.0,28,35,21,34,44.0,39,41
Charleston SC,99.0,36.0,31.0,22.0,66.0,52,36,65,50,61.0,29,39
Charleston-Huntington WV,33.0,23.0,34.0,20.0,54.0,39,34,34,57,24.0,29,41
Charlotte NC,41.0,36.0,43.0,56.0,72.0,50,48,57,64,51.0,42,48
Chattanooga TN,82.0,35.0,51.0,70.0,54.0,46,50,53,48,47.0,48,49
Chicago IL,47.0,45.0,54.0,55.0,60.0,52,49,52,63,56.0,44,62
Cincinnati OH,35.0,23.0,43.0,56.0,48.0,55,38,49,53,46.0,38,54
Cleveland-Akron (Canton) OH,50.0,42.0,40.0,56.0,55.0,55,39,49,52,41.0,39,57
Colorado Springs-Pueblo CO,58.0,57.0,55.0,60.0,41.0,63,49,93,92,76.0,52,72
Columbia SC,37.0,27.0,52.0,59.0,60.0,48,46,63,53,65.0,48,58
Columbus OH,35.0,40.0,49.0,50.0,62.0,45,37,52,61,45.0,50,87
Dallas-Ft. Worth TX,52.0,43.0,55.0,58.0,64.0,55,41,53,61,51.0,39,50
Davenport IA-Rock Island-Moline IL,42.0,42.0,52.0,56.0,69.0,44,27,71,56,59.0,42,54
Dayton OH,44.0,28.0,27.0,49.0,47.0,55,44,67,74,43.0,33,54
Denver CO,33.0,40.0,51.0,68.0,67.0,60,49,69,80,71.0,69,100
Des Moines-Ames IA,36.0,21.0,26.0,53.0,30.0,50,35,40,39,37.0,37,38
Detroit MI,55.0,52.0,66.0,76.0,81.0,57,44,48,59,47.0,39,58
El Paso TX,49.0,57.0,57.0,45.0,54.0,39,40,49,50,37.0,44,50
