,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,41.0,,,52,27,30,43,35,78,,28,39
Albany-Schenectady-Troy NY,21.0,36.0,40.0,52,44,49,32,36,45,31.0,19,45
Albuquerque-Santa Fe NM,30.0,95.0,65.0,60,66,86,69,90,80,60.0,41,64
Atlanta GA,33.0,61.0,59.0,84,61,66,46,60,69,53.0,40,46
Austin TX,37.0,55.0,58.0,68,45,39,33,51,46,50.0,34,51
Bakersfield CA,64.0,56.0,92.0,71,100,100,100,91,100,100.0,100,94
Baltimore MD,35.0,49.0,36.0,57,42,70,41,53,55,48.0,31,54
Baton Rouge LA,17.0,11.0,55.0,53,41,52,33,46,49,36.0,37,48
Birmingham AL,39.0,60.0,60.0,39,36,54,38,54,59,53.0,30,47
Boise ID,18.0,29.0,15.0,40,37,21,29,42,40,23.0,21,22
Boston MA-Manchester NH,30.0,46.0,47.0,49,37,40,27,33,35,39.0,26,31
Buffalo NY,29.0,56.0,47.0,47,34,37,22,44,45,47.0,37,56
Burlington VT-Plattsburgh NY,34.0,30.0,34.0,27,28,29,29,35,30,29.0,19,29
Champaign & Springfield-Decatur IL,25.0,60.0,24.0,29,22,33,30,23,41,44.0,31,41
Charleston SC,29.0,26.0,48.0,52,60,58,40,55,50,61.0,27,39
Charleston-Huntington WV,32.0,29.0,41.0,32,50,53,33,43,57,25.0,31,33
Charlotte NC,32.0,51.0,49.0,62,52,60,46,55,61,51.0,37,47
Chattanooga TN,28.0,51.0,57.0,75,40,36,53,52,43,44.0,43,48
Chicago IL,38.0,60.0,57.0,65,46,55,43,49,62,56.0,43,60
Cincinnati OH,26.0,44.0,41.0,54,37,59,37,44,51,46.0,33,58
Cleveland-Akron (Canton) OH,31.0,51.0,48.0,60,39,60,36,43,51,41.0,33,57
Colorado Springs-Pueblo CO,32.0,70.0,70.0,70,31,64,54,92,98,76.0,48,68
Columbia SC,37.0,58.0,58.0,59,45,52,48,59,56,65.0,41,59
Columbus OH,33.0,58.0,53.0,60,44,41,33,47,61,46.0,43,86
Dallas-Ft. Worth TX,44.0,62.0,57.0,68,48,58,39,50,61,51.0,36,52
Davenport IA-Rock Island-Moline IL,29.0,31.0,29.0,48,34,42,30,63,49,59.0,36,45
Dayton OH,32.0,,39.0,53,36,46,43,57,73,43.0,31,48
Denver CO,31.0,56.0,56.0,80,51,64,46,58,73,71.0,61,100
Des Moines-Ames IA,43.0,44.0,40.0,37,23,48,32,42,48,37.0,32,35
Detroit MI,48.0,71.0,66.0,86,60,62,41,42,59,47.0,36,55
El Paso TX,43.0,68.0,55.0,46,28,54,40,47,51,37.0,30,50
Eugene OR,24.0,16.0,66.0,38,36,59,61,46,54,60.0,38,60
Flint-Saginaw-Bay City MI,26.0,61.0,39.0,32,11,25,31,29,32,31.0,29,32
Fresno-Visalia CA,49.0,91.0,100.0,90,58,85,59,92,78,74.0,52,61
Ft. Myers-Naples FL,24.0,36.0,37.0,46,29,65,36,51,48,39.0,27,24
Ft. Smith-Fayetteville-Springdale-Rogers AR,32.0,,16.0,92,10,37,37,41,57,41.0,33,36
Grand Rapids-Kalamazoo-Battle Creek MI,17.0,33.0,37.0,47,24,40,26,42,47,45.0,32,56
Green Bay-Appleton WI,14.0,12.0,36.0,46,35,35,20,33,15,23.0,15,47
Greensboro-High Point-Winston Salem NC,26.0,29.0,36.0,33,44,55,32,52,63,35.0,32,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,37.0,53.0,41.0,78,28,61,38,52,53,52.0,30,50
Harlingen-Weslaco-Brownsville-McAllen TX,46.0,77.0,38.0,51,16,35,23,25,25,27.0,20,27
Harrisburg-Lancaster-Lebanon-York PA,24.0,42.0,42.0,44,27,32,20,33,39,30.0,23,42
Hartford & New Haven CT,30.0,56.0,54.0,66,47,61,50,76,74,69.0,44,55
Honolulu HI,43.0,46.0,42.0,79,64,55,40,61,69,57.0,35,51
Houston TX,39.0,70.0,63.0,82,59,65,47,59,65,61.0,34,57
Huntsville-Decatur (Florence) AL,17.0,51.0,69.0,80,91,41,38,48,40,51.0,28,40
Indianapolis IN,46.0,44.0,54.0,61,43,50,40,53,47,58.0,36,45
Jacksonville FL,28.0,29.0,53.0,44,56,57,36,60,61,48.0,31,35
Kansas City MO,44.0,81.0,66.0,79,49,76,57,70,74,72.0,48,67
Knoxville TN,48.0,35.0,53.0,49,50,49,29,51,59,44.0,29,41
Lansing MI,17.0,39.0,45.0,45,32,26,25,36,43,51.0,15,40
