,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,43.0,35.0,60.0,,74.0,45,54,41,78,30,39,34
Albany-Schenectady-Troy NY,16.0,26.0,40.0,48.0,43.0,42,28,41,44,37,24,42
Albuquerque-Santa Fe NM,29.0,38.0,50.0,50.0,74.0,69,75,87,80,65,42,71
Atlanta GA,33.0,41.0,52.0,84.0,80.0,56,46,66,70,54,43,48
Augusta GA,35.0,33.0,78.0,95.0,77.0,58,26,54,61,48,31,44
Austin TX,34.0,37.0,49.0,68.0,55.0,33,37,53,50,57,36,50
Bakersfield CA,100.0,100.0,62.0,76.0,97.0,100,100,92,100,100,100,92
Baltimore MD,33.0,33.0,39.0,66.0,54.0,59,42,57,57,50,34,50
Birmingham AL,37.0,50.0,49.0,50.0,53.0,45,36,57,59,57,34,48
Boise ID,26.0,26.0,17.0,69.0,41.0,13,31,38,41,25,26,27
Boston MA-Manchester NH,30.0,30.0,42.0,46.0,48.0,35,28,35,35,40,28,32
Buffalo NY,30.0,33.0,34.0,33.0,45.0,33,26,46,49,51,37,55
Burlington VT-Plattsburgh NY,28.0,21.0,32.0,30.0,35.0,27,29,34,35,30,25,29
Champaign & Springfield-Decatur IL,11.0,22.0,45.0,51.0,33.0,30,35,21,34,42,39,35
Charleston-Huntington WV,12.0,10.0,44.0,23.0,54.0,44,34,34,57,36,29,41
Charlotte NC,30.0,33.0,43.0,60.0,72.0,49,48,57,64,52,42,47
Chattanooga TN,35.0,30.0,34.0,78.0,54.0,34,50,53,48,45,48,54
Chicago IL,36.0,42.0,46.0,61.0,60.0,45,49,52,63,61,44,62
Cincinnati OH,24.0,29.0,39.0,62.0,48.0,51,38,49,53,52,38,53
Cleveland-Akron (Canton) OH,29.0,35.0,41.0,58.0,55.0,49,39,49,52,46,39,58
Colorado Springs-Pueblo CO,44.0,43.0,68.0,74.0,41.0,52,49,93,92,72,52,70
Columbia SC,36.0,45.0,52.0,35.0,60.0,37,46,63,53,61,48,58
Columbus OH,26.0,37.0,56.0,58.0,62.0,44,37,52,61,44,50,87
Dallas-Ft. Worth TX,39.0,44.0,52.0,64.0,64.0,50,41,53,61,53,39,50
Dayton OH,36.0,30.0,33.0,54.0,47.0,43,44,67,74,42,33,48
Denver CO,31.0,40.0,49.0,76.0,67.0,55,49,69,80,77,69,100
Des Moines-Ames IA,9.0,25.0,36.0,59.0,30.0,43,35,40,39,40,37,37
Detroit MI,44.0,50.0,62.0,85.0,81.0,53,44,48,59,50,39,56
El Paso TX,29.0,41.0,36.0,60.0,54.0,36,40,49,50,45,44,51
Eugene OR,39.0,14.0,69.0,38.0,57.0,45,66,64,82,60,42,69
Flint-Saginaw-Bay City MI,23.0,33.0,42.0,28.0,25.0,30,38,39,35,42,25,36
Florence-Myrtle Beach SC,15.0,44.0,,58.0,84.0,27,29,45,43,36,25,50
Fresno-Visalia CA,49.0,68.0,86.0,86.0,100.0,74,63,89,77,84,57,68
Ft. Myers-Naples FL,20.0,25.0,25.0,47.0,52.0,52,38,55,48,42,34,26
Grand Rapids-Kalamazoo-Battle Creek MI,20.0,22.0,32.0,44.0,47.0,32,30,47,48,49,37,56
Green Bay-Appleton WI,19.0,36.0,33.0,39.0,45.0,34,22,31,29,35,21,47
Greensboro-High Point-Winston Salem NC,20.0,23.0,34.0,40.0,58.0,47,35,62,66,41,36,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34.0,37.0,41.0,78.0,37.0,53,40,59,54,54,33,50
Harlingen-Weslaco-Brownsville-McAllen TX,48.0,27.0,39.0,16.0,30.0,31,23,24,22,30,19,28
Harrisburg-Lancaster-Lebanon-York PA,27.0,30.0,34.0,58.0,33.0,30,21,38,40,34,25,43
Hartford & New Haven CT,28.0,30.0,44.0,57.0,67.0,56,52,80,72,74,53,58
Honolulu HI,44.0,33.0,41.0,73.0,84.0,40,41,62,64,56,40,53
Houston TX,36.0,47.0,57.0,74.0,77.0,56,50,61,64,67,38,58
Huntsville-Decatur (Florence) AL,10.0,26.0,51.0,85.0,47.0,38,24,47,42,38,30,43
Indianapolis IN,34.0,32.0,46.0,61.0,58.0,44,39,54,48,58,43,45
Jacksonville FL,32.0,21.0,49.0,42.0,60.0,52,37,59,68,53,35,37
Kansas City MO,47.0,54.0,58.0,71.0,69.0,65,55,72,78,75,54,68
Knoxville TN,39.0,29.0,44.0,40.0,63.0,32,25,44,60,39,35,45
Las Vegas NV,56.0,65.0,57.0,81.0,93.0,65,68,86,84,77,62,88
Lincoln & Hastings-Kearney NE,55.0,28.0,47.0,23.0,56.0,47,40,39,58,60,34,42
Little Rock-Pine Bluff AR,38.0,34.0,50.0,68.0,69.0,46,48,53,52,53,40,45
Los Angeles CA,46.0,59.0,73.0,86.0,91.0,74,58,77,74,69,51,61
Louisville KY,33.0,30.0,44.0,63.0,58.0,59,49,64,63,69,51,64
Madison WI,26.0,39.0,40.0,40.0,53.0,48,26,65,63,60,34,55
Memphis TN,22.0,25.0,40.0,45.0,39.0,59,49,87,70,74,48,81
Miami-Ft. Lauderdale FL,35.0,36.0,60.0,67.0,73.0,56,56,59,66,54,36,46
Milwaukee WI,47.0,38.0,37.0,43.0,98.0,65,61,69,53,56,58,77
Minneapolis-St. Paul MN,32.0,33.0,38.0,63.0,53.0,33,39,51,53,63,58,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,28.0,36.0,46.0,44.0,33.0,37,44,44,64,48,30,39
Monterey-Salinas CA,43.0,51.0,100.0,33.0,39.0,73,38,85,80,38,42,35
Nashville TN,19.0,33.0,47.0,58.0,52.0,41,44,66,61,56,38,48
New Orleans LA,21.0,30.0,40.0,69.0,62.0,48,51,62,60,72,33,60
New York NY,35.0,36.0,46.0,54.0,54.0,40,35,48,43,45,32,39
Norfolk-Portsmouth-Newport News VA,32.0,33.0,46.0,48.0,52.0,42,39,58,56,53,40,62
