,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,14.0,,,,,,,59.0,54.0,,,33.0
Albany-Schenectady-Troy NY,7.0,22.0,25.0,21.0,55.0,18.0,39.0,36.0,40.0,22.0,17.0,44.0
Albuquerque-Santa Fe NM,10.0,50.0,42.0,27.0,70.0,32.0,82.0,82.0,73.0,40.0,36.0,63.0
Atlanta GA,12.0,46.0,37.0,36.0,80.0,26.0,51.0,64.0,62.0,37.0,35.0,49.0
Austin TX,14.0,42.0,37.0,29.0,60.0,17.0,39.0,48.0,47.0,34.0,29.0,46.0
Bakersfield CA,32.0,100.0,42.0,28.0,80.0,44.0,100.0,96.0,100.0,68.0,72.0,85.0
Baltimore MD,13.0,37.0,25.0,27.0,54.0,28.0,49.0,53.0,51.0,34.0,27.0,47.0
Birmingham AL,13.0,33.0,37.0,18.0,53.0,20.0,42.0,48.0,52.0,36.0,27.0,44.0
Boston MA-Manchester NH,12.0,35.0,29.0,22.0,48.0,17.0,32.0,33.0,31.0,27.0,22.0,29.0
Buffalo NY,12.0,41.0,31.0,16.0,53.0,17.0,29.0,44.0,48.0,31.0,29.0,50.0
Charlotte NC,11.0,37.0,30.0,28.0,70.0,25.0,51.0,55.0,53.0,36.0,32.0,46.0
Chattanooga TN,20.0,,,23.0,62.0,19.0,57.0,59.0,45.0,32.0,30.0,49.0
Chicago IL,14.0,46.0,38.0,26.0,59.0,24.0,52.0,50.0,56.0,39.0,34.0,58.0
Cincinnati OH,8.0,28.0,28.0,29.0,44.0,24.0,41.0,45.0,48.0,33.0,29.0,52.0
Cleveland-Akron (Canton) OH,10.0,39.0,27.0,28.0,51.0,23.0,43.0,48.0,46.0,30.0,31.0,53.0
Colorado Springs-Pueblo CO,15.0,43.0,49.0,26.0,40.0,28.0,58.0,85.0,84.0,56.0,42.0,68.0
Columbus OH,12.0,46.0,33.0,24.0,54.0,20.0,45.0,45.0,54.0,34.0,38.0,80.0
Dallas-Ft. Worth TX,15.0,46.0,38.0,29.0,64.0,23.0,45.0,49.0,61.0,37.0,32.0,49.0
