,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,62.0,41.0,31,,100.0,65,14,20,79,,29,41
Albany-Schenectady-Troy NY,21.0,30.0,35,47.0,35.0,52,27,35,47,28.0,23,43
Albuquerque-Santa Fe NM,43.0,64.0,51,54.0,38.0,73,70,86,81,53.0,46,66
Atlanta GA,46.0,46.0,47,82.0,43.0,64,43,66,67,45.0,46,48
Austin TX,49.0,49.0,51,73.0,33.0,46,36,51,50,43.0,38,50
Bakersfield CA,100.0,100.0,62,73.0,57.0,95,100,100,100,100.0,100,84
Baltimore MD,48.0,37.0,30,61.0,31.0,73,41,57,50,43.0,34,50
Birmingham AL,45.0,43.0,48,39.0,29.0,57,36,53,60,43.0,37,45
Boise ID,33.0,32.0,19,27.0,7.0,29,31,36,45,21.0,25,26
Boston MA-Manchester NH,38.0,37.0,40,49.0,26.0,40,27,35,34,32.0,29,33
Buffalo NY,36.0,53.0,42,33.0,30.0,37,25,48,44,39.0,39,53
Champaign & Springfield-Decatur IL,31.0,41.0,51,30.0,,38,32,28,38,32.0,33,40
Charleston SC,32.0,27.0,59,74.0,38.0,66,38,63,63,52.0,29,46
Charleston-Huntington WV,27.0,49.0,61,19.0,18.0,46,31,44,59,25.0,28,39
Charlotte NC,42.0,37.0,39,58.0,35.0,60,46,57,63,43.0,41,47
Chattanooga TN,22.0,45.0,62,63.0,27.0,46,51,51,53,41.0,51,51
Chicago IL,52.0,51.0,49,63.0,34.0,54,44,53,62,50.0,47,59
Cincinnati OH,36.0,34.0,36,60.0,24.0,59,36,48,51,40.0,39,54
Cleveland-Akron (Canton) OH,53.0,41.0,40,63.0,27.0,57,36,48,50,36.0,38,57
Colorado Springs-Pueblo CO,53.0,34.0,59,63.0,17.0,72,49,86,97,60.0,53,71
Columbia SC,38.0,45.0,52,55.0,34.0,49,47,61,48,52.0,49,59
Columbus OH,46.0,46.0,43,59.0,31.0,45,35,52,60,40.0,48,88
Dallas-Ft. Worth TX,58.0,49.0,50,67.0,34.0,60,37,52,61,43.0,41,51
Davenport IA-Rock Island-Moline IL,19.0,23.0,13,55.0,20.0,45,35,60,59,59.0,45,43
Dayton OH,40.0,36.0,30,47.0,26.0,53,41,58,74,50.0,34,53
Denver CO,42.0,49.0,47,77.0,36.0,66,47,65,75,62.0,69,100
Detroit MI,63.0,57.0,57,84.0,43.0,60,41,43,58,43.0,40,54
El Paso TX,40.0,82.0,35,37.0,11.0,38,36,49,37,36.0,36,51
Eugene OR,49.0,18.0,42,44.0,34.0,52,60,30,66,52.0,40,58
Flint-Saginaw-Bay City MI,41.0,31.0,46,47.0,21.0,33,35,33,35,22.0,32,34
Fresno-Visalia CA,59.0,69.0,100,97.0,43.0,93,60,80,75,68.0,60,61
Ft. Myers-Naples FL,11.0,37.0,33,46.0,16.0,66,36,53,47,30.0,30,26
Ft. Smith-Fayetteville-Springdale-Rogers AR,18.0,24.0,28,55.0,35.0,35,19,50,64,31.0,34,37
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,30.0,36,56.0,20.0,38,25,43,46,39.0,37,53
Greensboro-High Point-Winston Salem NC,27.0,38.0,30,35.0,31.0,56,29,58,72,30.0,36,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28.0,42.0,32,73.0,16.0,64,34,56,53,47.0,33,49
Harlingen-Weslaco-Brownsville-McAllen TX,64.0,34.0,30,20.0,22.0,35,27,18,18,26.0,22,28
Harrisburg-Lancaster-Lebanon-York PA,49.0,25.0,32,48.0,17.0,31,23,38,37,26.0,26,44
Hartford & New Haven CT,40.0,42.0,40,63.0,39.0,63,50,77,71,60.0,50,54
Honolulu HI,59.0,41.0,44,76.0,47.0,56,40,59,65,52.0,40,54
Houston TX,52.0,55.0,52,77.0,40.0,66,45,58,65,55.0,39,58
Indianapolis IN,44.0,39.0,50,58.0,30.0,49,38,56,52,48.0,40,44
Jackson MS,49.0,46.0,50,25.0,41.0,50,42,41,37,45.0,39,42
Jacksonville FL,45.0,39.0,49,52.0,34.0,60,34,55,58,42.0,36,36
Kansas City MO,57.0,63.0,56,67.0,33.0,81,54,69,74,63.0,53,64
Knoxville TN,59.0,61.0,34,51.0,26.0,45,29,46,48,39.0,39,45
Las Vegas NV,81.0,79.0,58,82.0,43.0,75,66,80,83,68.0,58,86
Lexington KY,31.0,43.0,43,56.0,32.0,41,32,46,39,40.0,33,44
Lincoln & Hastings-Kearney NE,43.0,40.0,57,63.0,25.0,41,42,40,51,45.0,30,44
Little Rock-Pine Bluff AR,30.0,59.0,41,56.0,40.0,53,47,50,50,44.0,37,49
Los Angeles CA,63.0,68.0,69,90.0,49.0,87,54,75,73,60.0,50,61
Louisville KY,42.0,54.0,45,73.0,31.0,69,42,63,62,58.0,51,60
Madison WI,29.0,40.0,38,38.0,30.0,43,25,63,56,45.0,36,51
Memphis TN,50.0,29.0,22,54.0,25.0,70,50,83,66,65.0,52,73
Miami-Ft. Lauderdale FL,47.0,48.0,63,70.0,36.0,66,53,56,65,44.0,37,47
