,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,52.0,49.0,37,,,53,50,54,59,17,18,33
Albany-Schenectady-Troy NY,22.0,35.0,37,58.0,51.0,50,34,37,43,29,22,42
Albuquerque-Santa Fe NM,36.0,60.0,59,62.0,68.0,88,74,81,75,56,43,66
Amarillo TX,56.0,,46,,,56,52,44,61,35,35,35
Atlanta GA,47.0,45.0,57,82.0,77.0,69,48,61,69,48,46,48
Augusta GA,59.0,37.0,84,95.0,68.0,61,33,65,53,42,34,40
Austin TX,48.0,41.0,53,74.0,54.0,38,40,47,50,46,38,51
Bakersfield CA,100.0,100.0,54,,100.0,100,100,92,90,100,100,89
Baltimore MD,45.0,36.0,34,64.0,53.0,71,46,52,53,49,34,50
Birmingham AL,62.0,34.0,62,35.0,42.0,58,39,48,60,48,36,46
Boise ID,35.0,9.0,13,25.0,35.0,27,40,37,52,22,26,28
Boston MA-Manchester NH,41.0,36.0,43,49.0,44.0,42,30,32,35,36,29,33
Buffalo NY,41.0,41.0,43,36.0,41.0,37,29,43,50,45,39,55
Burlington VT-Plattsburgh NY,40.0,21.0,43,17.0,30.0,37,26,36,28,27,21,29
Champaign & Springfield-Decatur IL,33.0,25.0,55,39.0,33.0,44,34,27,37,39,34,34
Charleston SC,28.0,36.0,58,14.0,51.0,49,50,60,64,63,29,36
Charlotte NC,44.0,35.0,49,76.0,62.0,63,47,54,62,46,42,48
Chattanooga TN,16.0,35.0,40,59.0,68.0,49,55,49,52,39,45,54
Chicago IL,51.0,49.0,54,62.0,58.0,59,48,49,63,52,42,61
Cincinnati OH,33.0,36.0,45,66.0,47.0,62,39,45,54,40,38,55
Cleveland-Akron (Canton) OH,43.0,40.0,44,62.0,47.0,61,39,45,50,36,36,58
Colorado Springs-Pueblo CO,51.0,36.0,69,64.0,45.0,74,56,83,90,65,51,69
Columbia SC,36.0,66.0,56,60.0,58.0,52,56,56,48,55,47,58
Columbus OH,50.0,39.0,53,61.0,46.0,53,40,50,63,40,50,82
Dallas-Ft. Worth TX,55.0,48.0,57,65.0,57.0,61,42,48,64,47,41,53
Dayton OH,47.0,35.0,41,41.0,43.0,56,46,54,72,43,34,50
Denver CO,41.0,44.0,53,75.0,60.0,67,51,62,73,65,69,100
Des Moines-Ames IA,38.0,28.0,32,55.0,29.0,58,35,39,40,36,38,36
Detroit MI,65.0,54.0,66,84.0,73.0,66,46,41,60,47,38,56
El Paso TX,48.0,60.0,48,65.0,44.0,40,43,38,50,36,36,57
Eugene OR,50.0,16.0,56,49.0,58.0,57,68,36,66,47,40,52
Flint-Saginaw-Bay City MI,28.0,32.0,37,30.0,28.0,24,34,31,28,30,30,38
Florence-Myrtle Beach SC,21.0,47.0,37,49.0,81.0,55,40,46,41,38,27,56
Fresno-Visalia CA,80.0,73.0,99,91.0,73.0,92,65,91,76,71,61,66
Ft. Myers-Naples FL,47.0,12.0,30,49.0,30.0,65,41,52,54,35,31,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,23.0,,21,56.0,21.0,43,22,40,63,38,35,39
Grand Rapids-Kalamazoo-Battle Creek MI,28.0,23.0,51,40.0,17.0,43,29,42,48,40,37,55
Green Bay-Appleton WI,32.0,26.0,13,29.0,45.0,31,24,31,30,30,19,46
Greensboro-High Point-Winston Salem NC,31.0,21.0,40,39.0,57.0,57,36,46,74,33,36,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49.0,53.0,41,71.0,31.0,63,39,50,54,48,34,49
Harlingen-Weslaco-Brownsville-McAllen TX,79.0,42.0,48,23.0,30.0,36,23,23,26,23,21,27
Harrisburg-Lancaster-Lebanon-York PA,42.0,30.0,44,50.0,41.0,36,23,37,39,24,26,39
Hartford & New Haven CT,39.0,45.0,47,59.0,50.0,63,54,68,70,65,51,60
Honolulu HI,57.0,37.0,56,81.0,80.0,56,43,59,60,44,41,56
Houston TX,53.0,55.0,58,74.0,71.0,66,49,57,67,57,39,59
Indianapolis IN,43.0,37.0,54,50.0,55.0,54,40,52,48,50,42,46
Jacksonville FL,49.0,35.0,57,36.0,69.0,60,36,52,66,46,34,36
Kansas City MO,72.0,59.0,54,64.0,66.0,86,58,67,69,63,54,68
Knoxville TN,31.0,38.0,56,39.0,40.0,49,32,43,48,48,30,38
Lansing MI,19.0,,56,74.0,55.0,30,27,36,54,63,22,40
Las Vegas NV,75.0,75.0,62,78.0,78.0,88,72,81,83,69,62,85
Lexington KY,14.0,38.0,25,66.0,61.0,46,42,40,41,46,36,42
Lincoln & Hastings-Kearney NE,51.0,28.0,30,24.0,61.0,61,46,48,52,37,33,45
Little Rock-Pine Bluff AR,23.0,62.0,37,56.0,73.0,49,53,48,51,47,36,47
Los Angeles CA,63.0,66.0,80,86.0,83.0,89,60,71,75,62,51,62
Louisville KY,39.0,30.0,50,57.0,48.0,71,46,63,61,60,48,57
Madison WI,31.0,46.0,46,46.0,54.0,48,23,59,58,47,34,49
Memphis TN,39.0,37.0,43,38.0,39.0,75,48,78,72,65,49,78
Miami-Ft. Lauderdale FL,47.0,48.0,70,69.0,63.0,70,59,54,67,46,36,46
Milwaukee WI,62.0,51.0,38,43.0,80.0,80,62,62,53,49,58,78
Minneapolis-St. Paul MN,42.0,36.0,38,66.0,50.0,43,41,46,51,55,57,66
Mobile AL-Pensacola (Ft. Walton Beach) FL,39.0,16.0,40,43.0,37.0,46,46,40,65,47,32,40
Monterey-Salinas CA,62.0,34.0,100,,49.0,93,34,74,80,34,44,32
Nashville TN,38.0,43.0,49,51.0,52.0,53,43,60,64,48,37,50
New Orleans LA,33.0,38.0,44,72.0,60.0,61,50,60,60,61,30,63
New York NY,49.0,41.0,50,55.0,50.0,47,35,43,44,38,33,39
Norfolk-Portsmouth-Newport News VA,47.0,40.0,47,59.0,52.0,59,39,54,55,48,39,62
Oklahoma City OK,44.0,32.0,50,53.0,58.0,65,53,62,65,50,40,46
Omaha NE,53.0,45.0,64,76.0,54.0,74,38,51,67,48,41,55
Orlando-Daytona Beach-Melbourne FL,47.0,49.0,55,63.0,62.0,64,47,49,64,45,33,42
