,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,41.0,,,49,27,30,42,41,30,24,28,39
Albany-Schenectady-Troy NY,22.0,36.0,39.0,53,44,49,31,38,50,31,19,45
Albuquerque-Santa Fe NM,32.0,95.0,62.0,61,66,86,67,87,76,61,41,64
Atlanta GA,33.0,61.0,58.0,85,61,66,43,64,67,52,40,46
Austin TX,35.0,55.0,57.0,66,45,39,34,50,49,47,34,51
Bakersfield CA,63.0,56.0,91.0,68,100,100,100,95,96,100,100,94
Baltimore MD,36.0,49.0,35.0,57,42,70,39,61,52,50,31,54
Baton Rouge LA,18.0,11.0,53.0,53,41,52,32,55,52,46,37,48
Birmingham AL,38.0,60.0,61.0,39,36,54,36,49,59,54,30,47
Boise ID,18.0,29.0,15.0,40,37,21,30,56,48,18,21,22
Boston MA-Manchester NH,31.0,46.0,48.0,49,37,40,27,34,35,38,26,31
Buffalo NY,30.0,56.0,45.0,47,34,37,21,45,42,44,37,56
Burlington VT-Plattsburgh NY,33.0,30.0,33.0,27,28,29,28,31,28,35,19,29
Champaign & Springfield-Decatur IL,24.0,60.0,23.0,30,22,33,29,17,37,40,31,41
Charleston SC,29.0,26.0,50.0,53,60,58,39,65,57,52,27,39
Charleston-Huntington WV,30.0,29.0,41.0,32,50,53,34,42,52,30,31,33
Charlotte NC,32.0,51.0,48.0,63,52,60,46,57,66,51,37,47
Chattanooga TN,28.0,51.0,56.0,73,40,36,51,55,50,44,43,48
Chicago IL,39.0,60.0,55.0,63,46,55,44,52,60,56,43,60
Cincinnati OH,26.0,44.0,40.0,54,37,59,36,47,53,46,33,58
Cleveland-Akron (Canton) OH,31.0,51.0,46.0,62,39,60,35,49,48,41,33,57
Colorado Springs-Pueblo CO,32.0,70.0,70.0,69,31,64,52,90,90,72,48,68
Columbia SC,38.0,58.0,58.0,60,45,52,48,67,56,59,41,59
Columbus OH,33.0,58.0,50.0,61,44,41,33,50,61,49,43,86
Dallas-Ft. Worth TX,44.0,62.0,57.0,69,48,58,38,52,61,49,36,52
Davenport IA-Rock Island-Moline IL,28.0,31.0,27.0,48,34,42,30,69,50,64,36,45
Dayton OH,33.0,,37.0,52,36,46,43,58,69,43,31,48
Denver CO,31.0,56.0,55.0,78,51,64,47,64,75,70,61,100
Des Moines-Ames IA,43.0,44.0,40.0,37,23,48,31,41,40,41,32,35
Detroit MI,48.0,71.0,66.0,87,60,62,40,44,59,48,36,55
El Paso TX,43.0,68.0,55.0,46,28,54,37,46,50,45,30,50
Eugene OR,25.0,16.0,65.0,37,36,59,60,42,63,60,38,60
Flint-Saginaw-Bay City MI,26.0,61.0,38.0,32,11,25,30,29,32,31,29,32
Fresno-Visalia CA,48.0,91.0,100.0,89,58,85,58,92,77,75,52,61
Ft. Myers-Naples FL,23.0,36.0,35.0,47,29,65,33,52,50,38,27,24
Ft. Smith-Fayetteville-Springdale-Rogers AR,31.0,,16.0,91,10,37,35,44,65,52,33,36
Grand Rapids-Kalamazoo-Battle Creek MI,18.0,33.0,37.0,47,24,40,26,51,47,45,32,56
Green Bay-Appleton WI,14.0,12.0,36.0,46,35,35,19,35,35,30,15,47
Greensboro-High Point-Winston Salem NC,25.0,29.0,33.0,33,44,55,32,53,70,36,32,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,36.0,53.0,43.0,80,28,61,37,54,53,52,30,50
Harlingen-Weslaco-Brownsville-McAllen TX,44.0,77.0,38.0,52,16,35,22,25,25,23,20,27
Harrisburg-Lancaster-Lebanon-York PA,25.0,42.0,41.0,44,27,32,20,41,37,32,23,42
Hartford & New Haven CT,30.0,56.0,52.0,66,47,61,49,77,75,70,44,55
Honolulu HI,44.0,46.0,41.0,79,64,55,40,60,62,51,35,51
Houston TX,40.0,70.0,61.0,81,59,65,46,63,65,64,34,57
Huntsville-Decatur (Florence) AL,17.0,51.0,66.0,79,91,41,38,49,40,42,28,40
Indianapolis IN,46.0,44.0,53.0,62,43,50,39,55,49,55,36,45
Jacksonville FL,29.0,29.0,50.0,41,56,57,35,57,64,54,31,35
Kansas City MO,43.0,81.0,63.0,79,49,76,58,71,75,71,48,67
Knoxville TN,46.0,35.0,52.0,49,50,49,28,47,48,49,29,41
Lansing MI,16.0,39.0,44.0,45,32,26,26,34,48,52,15,40
Las Vegas NV,65.0,94.0,63.0,80,67,77,65,86,83,73,57,85
Lexington KY,16.0,42.0,44.0,66,44,41,34,44,41,47,28,44
Lincoln & Hastings-Kearney NE,61.0,70.0,44.0,69,35,59,40,43,50,50,25,36
Little Rock-Pine Bluff AR,15.0,56.0,44.0,75,60,48,45,50,50,47,37,48
Los Angeles CA,48.0,89.0,81.0,87,69,80,54,74,73,69,47,60
Louisville KY,35.0,31.0,47.0,63,35,67,43,63,63,65,45,63
Madison WI,21.0,51.0,36.0,44,44,44,25,57,56,58,31,60
Memphis TN,37.0,40.0,46.0,48,33,71,49,86,67,69,46,77
Miami-Ft. Lauderdale FL,35.0,60.0,70.0,73,50,65,50,58,66,51,31,46
Milwaukee WI,42.0,55.0,37.0,50,74,78,58,65,53,52,54,76
Minneapolis-St. Paul MN,31.0,48.0,41.0,68,41,41,37,50,52,58,51,65
Mobile AL-Pensacola (Ft. Walton Beach) FL,32.0,45.0,52.0,45,29,41,38,42,61,51,30,37
Monterey-Salinas CA,100.0,32.0,69.0,53,52,83,35,76,67,47,45,32
Nashville TN,27.0,51.0,50.0,54,39,50,40,60,64,52,33,49
New Orleans LA,38.0,46.0,41.0,73,48,58,48,65,59,70,29,59
New York NY,36.0,54.0,53.0,56,40,47,32,45,41,42,29,38
Norfolk-Portsmouth-Newport News VA,33.0,49.0,56.0,38,43,55,35,56,59,51,35,58
Oklahoma City OK,37.0,43.0,54.0,57,50,62,50,62,60,58,36,47
Omaha NE,43.0,69.0,66.0,73,44,68,33,56,69,55,37,51
Orlando-Daytona Beach-Melbourne FL,42.0,64.0,53.0,70,50,63,41,55,62,49,29,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,26.0,57.0,46.0,35,37,30,27,40,69,40,36,32
Peoria-Bloomington IL,33.0,67.0,49.0,73,33,25,28,42,56,25,38,43
Philadelphia PA,37.0,63.0,69.0,70,40,51,34,45,50,46,35,58
Phoenix AZ,41.0,67.0,68.0,79,53,60,47,53,64,55,34,48
Pittsburgh PA,27.0,48.0,39.0,49,39,38,30,26,38,34,22,33
Portland OR,39.0,68.0,38.0,54,46,80,60,84,91,80,66,96
Portland-Auburn ME,13.0,42.0,48.0,26,31,17,26,31,24,43,14,24
Providence RI-New Bedford MA,29.0,50.0,28.0,67,55,47,45,43,50,44,41,37
Raleigh-Durham (Fayetteville) NC,27.0,42.0,42.0,55,36,41,27,38,46,47,32,37
Reno NV,17.0,76.0,60.0,97,68,76,42,52,71,44,38,50
Richmond-Petersburg VA,24.0,43.0,38.0,49,29,42,33,58,52,47,24,43
Rochester NY,28.0,34.0,19.0,55,37,42,25,51,39,35,37,47
Sacramento-Stockton-Modesto CA,50.0,97.0,96.0,100,75,93,64,96,94,80,47,67
Salt Lake City UT,34.0,47.0,60.0,74,52,62,37,51,51,52,30,43
San Antonio TX,49.0,73.0,75.0,88,57,67,41,67,62,64,36,62
San Diego CA,51.0,86.0,96.0,99,61,85,52,77,86,69,45,59
San Francisco-Oakland-San Jose CA,48.0,94.0,81.0,89,67,76,55,72,80,67,52,71
Santa Barbara-Santa Maria-San Luis Obispo CA,51.0,100.0,51.0,81,23,58,35,56,67,33,33,39
Savannah GA,48.0,57.0,43.0,51,26,55,24,56,26,45,32,39
Seattle-Tacoma WA,46.0,90.0,74.0,96,64,86,54,73,81,65,53,79
Shreveport LA,51.0,73.0,52.0,41,65,52,49,63,55,33,32,47
Sioux Falls(Mitchell) SD,28.0,19.0,70.0,28,25,44,18,47,54,30,34,30
Spokane WA,37.0,72.0,73.0,89,48,57,45,84,54,46,35,53
Springfield MO,54.0,61.0,40.0,71,20,55,37,67,62,55,26,41
Springfield-Holyoke MA,43.0,52.0,52.0,73,32,52,28,45,57,43,29,52
St. Louis MO,33.0,55.0,60.0,79,59,64,47,53,75,72,41,75
Syracuse NY,20.0,32.0,35.0,36,26,32,10,42,50,32,27,37
Tampa-St. Petersburg (Sarasota) FL,31.0,42.0,46.0,68,49,66,43,61,52,51,31,44
Toledo OH,50.0,62.0,70.0,64,20,31,19,48,42,32,41,47
Tucson (Sierra Vista) AZ,36.0,56.0,58.0,63,47,62,45,55,64,44,22,56
Tulsa OK,53.0,62.0,77.0,51,43,85,42,100,100,78,46,58
Waco-Temple-Bryan TX,19.0,40.0,41.0,66,56,38,39,44,65,47,31,42
Washington DC (Hagerstown MD),33.0,54.0,54.0,55,36,49,30,39,43,43,30,40
West Palm Beach-Ft. Pierce FL,40.0,58.0,46.0,56,33,60,48,61,51,41,33,40
Wichita-Hutchinson KS,30.0,52.0,68.0,79,61,62,49,71,58,50,38,53
Wilkes Barre-Scranton PA,30.0,49.0,56.0,79,33,43,26,39,48,44,24,38
Augusta GA,,30.0,56.0,96,55,55,35,62,58,47,35,38
Florence-Myrtle Beach SC,,62.0,31.0,70,65,30,39,41,50,35,23,55
Roanoke-Lynchburg VA,,73.0,40.0,14,9,58,32,47,46,35,21,50
Yakima-Pasco-Richland-Kennewick WA,,57.0,48.0,57,16,72,64,43,63,47,32,71
Amarillo TX,,,50.0,35,59,52,51,56,46,50,35,35
