,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,61.0,44.0,,64.0,30,50,40,55,54,24,28,43
Albany-Schenectady-Troy NY,21.0,25.0,40.0,40.0,35,41,34,42,38,30,22,39
Albuquerque-Santa Fe NM,26.0,55.0,64.0,51.0,40,77,80,89,78,57,45,62
Atlanta GA,49.0,46.0,57.0,77.0,50,61,52,66,64,48,46,46
Augusta GA,61.0,36.0,68.0,67.0,47,53,48,53,56,47,38,34
Austin TX,46.0,42.0,56.0,68.0,32,35,43,47,46,46,40,49
Bakersfield CA,100.0,100.0,62.0,60.0,100,100,100,99,94,100,100,82
Baltimore MD,47.0,39.0,37.0,55.0,34,65,46,59,50,45,36,47
Birmingham AL,49.0,63.0,54.0,35.0,36,51,43,54,57,50,38,44
Boise ID,39.0,34.0,11.0,47.0,25,27,37,36,42,23,21,25
Boston MA-Manchester NH,41.0,35.0,47.0,42.0,30,38,32,34,33,36,29,28
Buffalo NY,57.0,45.0,48.0,22.0,27,34,28,42,42,42,37,55
Burlington VT-Plattsburgh NY,44.0,,32.0,37.0,21,25,32,33,28,31,16,25
Champaign & Springfield-Decatur IL,47.0,17.0,58.0,33.0,17,31,38,24,38,38,37,34
Charleston SC,39.0,28.0,49.0,21.0,52,59,44,63,59,56,38,35
Charlotte NC,43.0,38.0,48.0,53.0,43,54,50,56,59,47,43,46
Chattanooga TN,15.0,41.0,64.0,67.0,35,35,67,58,47,36,48,47
Chicago IL,52.0,49.0,55.0,56.0,36,52,53,48,55,56,46,59
Cincinnati OH,39.0,35.0,39.0,54.0,30,59,44,46,55,46,40,55
Cleveland-Akron (Canton) OH,43.0,41.0,46.0,58.0,29,51,44,49,45,38,40,58
Colorado Springs-Pueblo CO,41.0,54.0,85.0,62.0,30,65,44,95,80,64,50,65
Columbia SC,50.0,45.0,60.0,53.0,30,49,59,63,58,55,46,57
Columbus OH,48.0,47.0,52.0,53.0,32,48,40,51,59,40,53,78
Dallas-Ft. Worth TX,60.0,48.0,56.0,60.0,40,55,46,51,61,47,42,50
Davenport IA-Rock Island-Moline IL,25.0,25.0,,52.0,27,41,35,67,57,59,48,49
Dayton OH,35.0,33.0,38.0,58.0,41,50,48,59,68,45,35,55
Denver CO,41.0,46.0,54.0,63.0,40,58,56,63,72,66,71,100
Des Moines-Ames IA,54.0,26.0,53.0,47.0,18,42,36,41,39,39,40,35
Detroit MI,66.0,55.0,67.0,76.0,50,59,49,44,56,43,41,53
El Paso TX,42.0,39.0,59.0,47.0,12,29,40,52,51,42,37,51
Eugene OR,38.0,17.0,70.0,49.0,32,69,84,44,58,57,45,48
Flint-Saginaw-Bay City MI,53.0,34.0,39.0,35.0,20,26,47,40,35,28,30,31
Florence-Myrtle Beach SC,21.0,48.0,33.0,42.0,59,46,45,37,44,28,25,52
Fresno-Visalia CA,67.0,70.0,90.0,100.0,46,81,74,99,73,71,55,63
Ft. Myers-Naples FL,37.0,27.0,38.0,37.0,20,58,42,55,49,38,32,25
Ft. Smith-Fayetteville-Springdale-Rogers AR,30.0,11.0,46.0,63.0,19,39,27,37,65,52,43,35
Grand Rapids-Kalamazoo-Battle Creek MI,30.0,35.0,37.0,50.0,22,35,32,43,42,48,38,54
Green Bay-Appleton WI,42.0,24.0,31.0,26.0,28,35,19,37,35,27,11,46
Greensboro-High Point-Winston Salem NC,42.0,6.0,32.0,26.0,41,54,39,56,70,35,38,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,25.0,45.0,41.0,70.0,24,57,41,58,53,50,35,47
Harlingen-Weslaco-Brownsville-McAllen TX,95.0,37.0,74.0,23.0,20,34,23,17,25,27,20,31
Harrisburg-Lancaster-Lebanon-York PA,50.0,42.0,34.0,44.0,24,30,26,41,38,28,26,39
Hartford & New Haven CT,29.0,43.0,49.0,52.0,42,58,57,79,73,66,53,55
Honolulu HI,64.0,40.0,50.0,67.0,51,59,46,59,64,53,38,51
Houston TX,52.0,57.0,62.0,67.0,47,61,56,60,63,59,39,57
Huntsville-Decatur (Florence) AL,25.0,27.0,76.0,54.0,45,19,30,47,50,38,36,38
